GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001MA,B25098_001EA,B25098_002MA,B25098_002EA,B25098_003EA,B25098_003MA,B25098_004EA,B25098_004MA,B25098_005EA,B25098_005MA,B25098_006MA,B25098_006EA,B25098_007MA,B25098_007EA,B25098_008EA,B25098_008MA,B25098_009EA,B25098_009MA,B25098_010EA,B25098_010MA,B25098_011MA,B25098_011EA,B25098_012MA,B25098_012EA,B25098_013MA,B25098_013EA,B25098_014EA,B25098_014MA,B25098_015EA,B25098_015MA,B25098_016EA,B25098_016MA,B25098_017MA,B25098_017EA,B25098_018MA,B25098_018EA,B25098_019EA,B25098_019MA,state
0400000US01,1253199,12678,706185,12254,19694,2096,54860,3581,50583,3727,83271,5107,146556,5713,114273,5731,145414,5528,91534,4126,547014,10244,39014,3300,119087,4774,67064,3736,82109,3994,99352,4628,55132,3569,50171,3199,35085,2607,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,102297,3493,1811,611,3137,700,3884,973,7240,1451,15288,1816,16736,1854,27454,2374,26747,2501,57047,2852,3248,679,6811,977,5448,942,6700,1173,11510,1527,6354,1019,9563,1357,7413,1243,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,1064351,11053,29096,2434,69658,4441,67092,4411,120361,5220,202392,7239,171564,5341,220445,6324,183743,6250,587970,9396,43186,3523,101122,4198,63500,3181,83807,4462,107451,4537,66839,3388,68390,3654,53675,3606,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,416168,10084,12622,1599,33571,2869,30251,3076,53837,4228,89343,5068,70528,4331,73921,3993,52095,3292,336231,7826,23344,2385,71642,3849,44337,2825,55543,3510,61484,3885,30929,2380,28334,2425,20618,1995,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,5026144,24796,97564,4643,224843,7203,198282,7656,363068,9132,691382,12433,681502,13807,1134975,15341,1634528,16769,2098946,18787,114271,5932,299379,8098,191876,6712,250751,7171,340414,7286,250430,7733,305403,7166,346422,7217,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,994409,10836,21169,2242,40647,2752,40402,3014,86161,4426,162877,6799,159994,5720,242688,5597,240471,5970,400415,7760,22930,2532,53428,3489,40688,2968,55332,3478,72309,3583,47177,3027,53128,3105,55423,2619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,611242,8820,8430,1413,19243,2371,22118,2202,43134,2866,88146,4639,88840,3967,148537,5713,192794,5577,286992,5911,10010,1327,32347,2635,21571,2156,35273,2627,51720,3088,36920,2659,47286,3111,51865,2555,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,164071,5348,6118,1436,7594,1149,8816,1512,14719,1882,30461,2575,26078,2440,34101,2652,36184,2897,89877,3601,5709,1288,14002,2239,9527,1403,12822,1662,15940,2004,10093,1424,10972,1475,10812,1438,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,90270,3334,1934,618,4337,998,1919,681,2923,735,9562,1542,9283,1349,18117,1910,42195,2661,28535,2032,1232,547,2362,660,1811,636,2286,766,3906,793,3436,847,4829,975,8673,1360,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,2850011,25547,82686,4795,214525,7077,194641,8406,343625,10813,551073,10055,447591,11608,542710,12800,473160,10760,2160176,20634,146467,5561,399738,9395,249266,8863,324386,8569,373417,8893,231470,8044,220927,7208,214505,6677,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
