GEO_ID,B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,NAME,B14007I_001MA,B14007I_001EA,B14007I_002EA,B14007I_002MA,B14007I_003EA,B14007I_003MA,B14007I_004EA,B14007I_004MA,B14007I_005EA,B14007I_005MA,B14007I_006MA,B14007I_006EA,B14007I_007MA,B14007I_007EA,B14007I_008EA,B14007I_008MA,B14007I_009EA,B14007I_009MA,B14007I_010EA,B14007I_010MA,B14007I_011EA,B14007I_011MA,B14007I_012MA,B14007I_012EA,B14007I_013MA,B14007I_013EA,B14007I_014MA,B14007I_014EA,B14007I_015EA,B14007I_015MA,B14007I_016EA,B14007I_016MA,B14007I_017MA,B14007I_017EA,B14007I_018MA,B14007I_018EA,B14007I_019MA,B14007I_019EA,state
0400000US01,189169,2566,71509,3437,2797,822,5103,1252,3919,1003,6576,1391,5377,1324,5497,1484,4706,1368,4795,1238,5135,1558,5246,1384,3758,1042,1855,660,3978,971,2305,911,9075,1716,1387,768,117660,3294,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48395,649,16936,1375,551,399,1031,668,568,384,963,521,538,395,1168,524,1855,655,318,132,522,266,922,437,1375,609,1196,641,565,292,933,465,4218,1091,213,227,31459,1407,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2091402,4033,704990,7709,33021,3870,35423,3438,34020,3393,40186,3171,41871,3914,43844,4099,45835,3645,43032,3259,40678,3395,39735,3251,40268,3419,43500,2898,37597,2750,47643,3523,122898,5774,15439,2391,1386412,7740,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,209044,1975,81417,3247,4266,1077,6793,1381,3724,1140,5590,1154,6077,1451,4651,1139,6037,1379,4993,1140,4425,1342,3943,1104,4160,1144,4875,1069,5482,1224,3794,876,11538,2088,1069,497,127627,3098,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14730462,7409,4981926,20161,263037,8432,277281,9234,238907,7981,251230,9114,253066,7242,262487,8400,277053,8830,274751,9037,258843,7760,277672,9511,262866,7979,257019,7401,274531,7366,313181,8973,1130377,16694,109625,6089,9748536,20309,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1145412,2696,387890,6476,21018,2386,21045,2502,22603,2626,20123,2488,25724,2824,24585,2794,24874,2445,23762,2523,19854,2284,21666,2839,23586,2817,20273,2221,23886,2443,25892,2698,60576,4430,8423,1564,757522,6693,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,551642,1932,188694,4348,11540,2082,9897,1727,12328,1962,8784,1768,10773,1867,9370,1581,10493,1885,9833,1521,11472,2079,10581,1924,10661,1726,11322,1733,9697,1488,10841,1818,35882,3595,5220,1460,362948,4395,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84348,1046,30408,1563,1230,614,2236,914,2143,841,1056,467,2084,843,2897,832,1449,636,2419,738,1582,787,1851,674,1044,435,1286,564,2222,880,2049,708,4419,1198,441,272,53940,1880,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,72461,902,22982,1440,1925,803,2458,841,936,529,1686,706,662,581,1817,748,775,525,552,429,628,440,461,345,1462,626,1098,524,325,265,424,475,5320,1181,2453,812,49479,1769,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5155700,6002,1420702,14701,85822,5646,71398,4975,72858,5364,71621,5285,77507,5351,73725,4578,71101,5483,78425,5068,69712,4703,76420,5529,70334,4991,76271,4589,71301,5424,81435,5651,311702,12662,61070,5588,3734998,14512,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,940939,4927,337287,7233,20622,3044,21550,2604,19311,2496,20359,2986,21494,2264,23451,2612,23184,3034,19644,2968,20413,2615,22360,2651,21657,2276,19312,2203,16165,2186,18455,2301,40933,3518,8377,2088,603652,6317,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
