B27003_001E,GEO_ID,B27003_001M,B27003_002E,B27003_002M,B27003_003E,B27003_003M,B27003_004E,B27003_004M,B27003_005E,B27003_005M,B27003_006E,B27003_006M,B27003_007E,B27003_007M,B27003_008E,B27003_008M,B27003_009E,B27003_009M,B27003_010E,B27003_010M,B27003_011E,B27003_011M,B27003_012E,B27003_012M,B27003_013E,B27003_013M,B27003_014E,B27003_014M,B27003_015E,B27003_015M,B27003_016E,B27003_016M,B27003_017E,B27003_017M,B27003_018E,B27003_018M,B27003_019E,B27003_019M,B27003_020E,B27003_020M,B27003_021E,B27003_021M,B27003_022E,B27003_022M,B27003_023E,B27003_023M,B27003_024E,B27003_024M,B27003_025E,B27003_025M,B27003_026E,B27003_026M,B27003_027E,B27003_027M,B27003_028E,B27003_028M,B27003_029E,B27003_029M,B27003_030E,B27003_030M,B27003_031E,B27003_031M,B27003_032E,B27003_032M,B27003_033E,B27003_033M,B27003_034E,B27003_034M,B27003_035E,B27003_035M,B27003_036E,B27003_036M,B27003_037E,B27003_037M,B27003_038E,B27003_038M,B27003_039E,B27003_039M,B27003_040E,B27003_040M,B27003_041E,B27003_041M,B27003_042E,B27003_042M,B27003_043E,B27003_043M,B27003_044E,B27003_044M,B27003_045E,B27003_045M,B27003_046E,B27003_046M,B27003_047E,B27003_047M,B27003_048E,B27003_048M,B27003_049E,B27003_049M,B27003_050E,B27003_050M,B27003_051E,B27003_051M,B27003_052E,B27003_052M,B27003_053E,B27003_053M,B27003_054E,B27003_054M,B27003_055E,B27003_055M,B27003_056E,B27003_056M,B27003_057E,B27003_057M,B27003_001EA,B27003_001MA,NAME,B27003_002EA,B27003_002MA,B27003_003MA,B27003_003EA,B27003_004MA,B27003_004EA,B27003_005MA,B27003_005EA,B27003_006MA,B27003_006EA,B27003_007EA,B27003_007MA,B27003_008EA,B27003_008MA,B27003_009EA,B27003_009MA,B27003_010EA,B27003_010MA,B27003_011MA,B27003_011EA,B27003_012EA,B27003_012MA,B27003_013MA,B27003_013EA,B27003_014MA,B27003_014EA,B27003_015MA,B27003_015EA,B27003_016MA,B27003_016EA,B27003_017MA,B27003_017EA,B27003_018EA,B27003_018MA,B27003_019EA,B27003_019MA,B27003_020EA,B27003_020MA,B27003_021MA,B27003_021EA,B27003_022MA,B27003_022EA,B27003_023MA,B27003_023EA,B27003_024MA,B27003_024EA,B27003_025MA,B27003_025EA,B27003_026MA,B27003_026EA,B27003_027MA,B27003_027EA,B27003_028EA,B27003_028MA,B27003_029EA,B27003_029MA,B27003_030EA,B27003_030MA,B27003_031MA,B27003_031EA,B27003_032MA,B27003_032EA,B27003_033MA,B27003_033EA,B27003_034EA,B27003_034MA,B27003_035EA,B27003_035MA,B27003_036EA,B27003_036MA,B27003_037MA,B27003_037EA,B27003_038MA,B27003_038EA,B27003_039MA,B27003_039EA,B27003_040EA,B27003_040MA,B27003_041EA,B27003_041MA,B27003_042MA,B27003_042EA,B27003_043MA,B27003_043EA,B27003_044MA,B27003_044EA,B27003_045EA,B27003_045MA,B27003_046EA,B27003_046MA,B27003_047EA,B27003_047MA,B27003_048MA,B27003_048EA,B27003_049MA,B27003_049EA,B27003_050MA,B27003_050EA,B27003_051EA,B27003_051MA,B27003_052EA,B27003_052MA,B27003_053EA,B27003_053MA,B27003_054EA,B27003_054MA,B27003_055EA,B27003_055MA,B27003_056EA,B27003_056MA,B27003_057EA,B27003_057MA,state
4793512,0400000US01,2005,2300832,5674,176424,4569,91415,5067,85009,4393,420448,6434,184665,7717,235783,6495,226085,5035,22580,3128,203505,5798,256087,5088,35619,3792,220468,5715,277336,3717,35940,3264,241396,4660,299187,3191,54963,3803,244224,4653,304159,2250,88803,4372,215356,4715,218704,2414,211636,2565,7068,1230,122402,1564,121098,1579,1304,566,2492680,5724,167763,4244,87340,4322,80423,4681,404854,5054,172293,6695,232561,6482,230344,6195,36095,3680,194249,6022,282462,5515,52292,4056,230170,4970,301709,3327,49303,4205,252406,5410,323118,3004,47772,3521,275346,3964,340620,2018,88137,4499,252483,4713,256376,2450,248815,2606,7561,1473,185434,2029,183349,2196,2085,643,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
716178,0400000US02,2175,366114,3066,31547,1881,13715,1544,17832,1796,68413,2358,26870,2483,41543,2777,33050,2664,5551,1139,27499,2695,51570,1973,11555,1944,40015,2349,46738,1845,9774,1739,36964,2100,45308,1380,9197,1552,36111,1904,48526,910,12507,1470,36019,1608,29319,854,27375,974,1944,546,11643,556,11432,568,211,210,350064,2412,32900,1868,13823,1687,19077,2112,61523,1903,22290,2349,39233,2438,32603,1550,7943,1440,24660,2022,48438,2003,12780,1651,35658,2209,46398,2018,8520,1418,37878,2005,42337,1726,7367,1476,34970,1790,45315,791,9727,1374,35588,1412,27107,802,24650,872,2457,718,13443,590,13191,625,252,200,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
6908121,0400000US04,2138,3397227,4325,262085,3245,117403,4908,144682,5159,618452,4976,225563,7471,392889,7469,333965,5668,57929,4513,276036,6218,417137,4682,87399,5196,329738,6114,412301,2964,77652,4868,334649,5389,407134,2009,80449,4279,326685,4534,398325,1489,106866,4712,291459,4745,325812,1317,310001,2239,15811,1774,222016,1374,217358,1673,4658,976,3510894,3887,251768,3734,116273,4883,135495,5177,597135,5137,218961,8269,378174,8739,324755,4964,81541,5093,243214,6316,403384,4178,105376,4790,298008,5304,422700,2322,89686,4177,333014,4464,428500,2092,84042,4411,344458,4802,441458,1059,108214,4754,333244,4727,370320,1497,354705,2365,15615,1639,270874,1364,265953,1532,4921,1085,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2949305,0400000US05,1321,1442421,4762,116149,3242,69732,4535,46417,3179,271815,4346,135059,5880,136756,5392,141415,3978,26390,3343,115025,4853,163784,4511,37373,3273,126411,4282,173771,3114,37365,2968,136406,3996,180348,2786,42228,3014,138120,3724,179447,1792,61306,2952,118141,3073,134649,2156,130223,2190,4426,1158,81043,1222,80771,1204,272,261,1506884,4657,110061,3585,62206,3696,47855,3437,253769,4632,130823,6284,122946,5352,137389,3437,38991,3037,98398,4104,166863,3786,46689,4014,120174,4473,186810,3003,46945,3502,139865,4199,189031,2346,44261,3537,144770,3675,198334,1857,59718,3145,138616,3169,153140,1870,148216,2109,4924,1279,111487,1662,110853,1604,634,372,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
39046835,0400000US06,5485,19267819,7163,1501241,8231,697739,12623,803502,13444,3379612,12332,1450701,18327,1928911,18868,1946447,12636,473117,11635,1473330,15458,2666750,11785,566709,14622,2100041,16301,2560912,5580,483926,12160,2076986,11829,2526206,4303,513580,14094,2012626,14565,2282316,3576,582342,12187,1699974,12087,1468783,2641,1343175,5659,125608,5620,935552,2759,914060,3246,21492,2049,19779016,6604,1430930,7691,658107,11406,772823,12409,3255690,10386,1388120,18570,1867570,17857,1883513,12504,555935,11979,1327578,14665,2584388,11218,691119,13701,1893269,16092,2591862,3513,606511,11888,1985351,13022,2584512,3253,576684,11789,2007828,11511,2442378,2947,636069,10523,1806309,10531,1699022,3522,1580914,6113,118108,5508,1306721,3392,1272943,5121,33778,3427,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
5514070,0400000US08,3163,2748288,4762,205935,3814,78624,4263,127311,4025,478965,4933,160443,7292,318522,7841,263630,5590,47854,3938,215776,5996,384020,4969,68507,4305,315513,5855,376335,3554,60292,3630,316043,4380,353019,2914,59303,4086,293716,4324,338474,1785,71981,3818,266493,3896,227526,1732,213107,2051,14419,1473,120384,1522,118056,1803,2328,847,2765782,3756,193747,3759,75322,3864,118425,4299,455588,4322,165232,7066,290356,7608,252631,4755,54460,3792,198171,4797,372453,4538,77143,3982,295310,4848,366941,2443,65017,4438,301924,4234,353088,2143,55195,3091,297893,3903,360473,1421,66866,3279,293607,3309,249596,1977,236497,2389,13099,1942,161265,1927,158386,1892,2879,803,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
3536522,0400000US09,1187,1716979,2961,109796,2270,42009,3324,67787,3581,297096,2941,105527,5461,191569,5108,168094,3738,29508,3059,138586,4406,196907,3260,38945,3493,157962,4194,200678,1534,32484,2931,168194,3207,246338,1763,40651,3142,205687,3409,245194,1312,43604,3462,201590,3513,156934,1003,143563,2003,13371,1867,95942,1109,94877,1259,1065,464,1819543,2573,105700,2643,36789,2777,68911,3167,280289,3335,90290,5229,189999,4980,168672,3590,38070,3575,130602,4259,195917,2461,49288,3410,146629,3569,214032,1455,45344,3417,168688,3156,264687,1508,47773,3724,216914,3804,263636,1173,50680,3468,212956,3506,179212,1333,168566,1814,10646,1723,147398,1444,145511,1733,1887,717,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
947259,0400000US10,967,454461,1627,32667,1268,11540,1537,21127,1807,79124,1860,26883,3379,52241,3171,39026,2163,5877,1543,33149,2847,55393,2069,9739,1941,45654,2215,51959,1580,9095,1505,42864,2191,58492,1199,8594,1610,49898,1958,62174,740,14155,1961,48019,2095,47492,714,45305,778,2187,694,28134,688,27652,654,482,367,492798,1502,31871,1458,14362,1835,17509,1919,74811,1891,24602,2784,50209,3081,42357,1944,6069,1501,36288,2236,58307,1991,13301,1982,45006,2301,56533,1002,11217,1596,45316,1802,64561,914,9200,1388,55361,1645,70853,523,16628,1972,54225,1952,55971,477,53712,885,2259,804,37534,650,37357,623,177,231,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
683808,0400000US11,611,320935,868,26147,819,9992,1337,16155,1357,39950,1365,20997,1654,18953,1904,37247,1846,8054,1795,29193,2029,66299,1657,8453,1793,57846,2135,49005,630,9464,1588,39541,1703,37234,644,10712,1414,26522,1487,32414,426,11842,1516,20572,1521,19989,540,18379,751,1610,569,12650,484,12206,566,444,280,362873,800,25689,1060,12042,1552,13647,1865,41849,1884,21450,1992,20399,2089,45369,1865,7504,1443,37865,2330,75314,1715,14228,1713,61086,2161,51380,395,13242,1620,38138,1696,37764,225,11160,1404,26604,1427,36663,143,12001,1464,24662,1436,27099,384,24326,921,2773,876,21746,523,21040,621,706,341,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
20678704,0400000US12,3256,10026151,6882,686873,7826,345889,9576,340984,10257,1580087,7926,636739,14821,943348,14223,893939,9738,86551,4959,807388,10210,1148101,9222,132247,7105,1015854,9622,1213805,6189,151975,6744,1061830,8452,1322190,5431,186794,7471,1135396,9255,1308553,3989,277044,9911,1031509,10193,1072077,3869,1008354,6189,63723,4761,800526,3282,781767,4098,18759,2419,10652553,6437,653841,6523,325995,7422,327846,8525,1529642,8700,626213,14242,903429,14309,868340,9975,128741,8068,739599,11555,1187170,9165,201099,8914,986071,11940,1268760,5219,188191,7448,1080569,8039,1401479,4660,178945,7739,1222534,9311,1469181,3298,271371,8783,1197810,9305,1254343,3374,1185023,5772,69320,4446,1019797,3470,997098,4261,22699,2674,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
