GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001EA,C17010A_001MA,C17010A_002EA,C17010A_002MA,C17010A_003MA,C17010A_003EA,C17010A_004MA,C17010A_004EA,C17010A_005EA,C17010A_005MA,C17010A_006EA,C17010A_006MA,C17010A_007EA,C17010A_007MA,C17010A_008MA,C17010A_008EA,C17010A_009MA,C17010A_009EA,C17010A_010EA,C17010A_010MA,C17010A_011EA,C17010A_011MA,C17010A_012EA,C17010A_012MA,C17010A_013MA,C17010A_013EA,C17010A_014MA,C17010A_014EA,C17010A_015EA,C17010A_015MA,C17010A_016EA,C17010A_016MA,C17010A_017EA,C17010A_017MA,state
0400000US01,862419,9523,72175,4020,31376,2187,16865,1913,40799,3251,5153,1039,3136,835,35646,2985,28798,2843,790244,9538,664147,9696,235789,6237,126097,5836,42716,3239,19908,2230,83381,4479,43526,3566,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,119524,3372,5464,1001,2788,635,1374,538,2676,756,937,610,915,608,1739,538,1669,527,114060,3488,93512,3614,40497,2552,20548,2228,7890,1513,4579,1128,12658,1621,7796,1440,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1348074,13234,120588,5435,55359,3346,28813,2478,65229,4444,12920,1873,10055,1670,52309,3888,44581,3654,1227486,12894,970644,13121,342389,8617,256842,8310,87865,5079,47152,4398,168977,6573,92388,5886,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,601843,9278,55025,3865,24163,2628,14215,2031,30862,2922,6168,1344,4540,1177,24694,2498,21329,2428,546818,9461,449293,9158,169755,6745,97525,5114,32075,3058,18326,2340,65450,4177,34717,3114,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5527640,20576,455009,10858,208317,7745,127226,5819,246692,6977,48767,3355,34607,2616,197925,5649,166412,5641,5072631,23445,3961845,24559,1632918,20926,1110786,15672,379014,10634,197123,8607,731772,12810,364938,10195,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1186550,10088,70980,4538,31097,3172,17469,2499,39883,3519,7449,1512,5426,1392,32434,3401,26574,3178,1115570,10320,912294,10725,369974,7481,203276,5726,71204,3846,40543,3249,132072,5273,73723,4104,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,698136,7365,31669,3235,12069,1694,5670,1284,19600,2560,3245,1001,2296,852,16355,2275,13359,1926,666467,7444,534579,8396,196619,5527,131888,5980,42862,3368,19949,2465,89026,4829,43706,3352,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173469,4536,11736,1695,6156,1262,2557,798,5580,1150,1222,615,774,438,4358,1096,3906,1091,161733,4451,133651,4278,43503,3152,28082,2673,9938,1479,5551,1144,18144,2145,10048,1629,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,48707,2099,708,363,429,293,245,221,279,222,42,74,42,74,237,210,237,210,47999,2146,43033,2108,17379,1633,4966,1048,1724,586,1165,461,3242,874,1834,572,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3905118,22953,330942,9822,162857,7907,73587,5333,168085,6735,32296,2929,22890,2749,135789,6361,111147,6028,3574176,24180,2834638,21702,898049,14624,739538,15822,243804,8274,116241,6723,495734,11740,242321,8600,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
