GEO_ID,B10057_001E,B10057_001M,B10057_002E,B10057_002M,B10057_003E,B10057_003M,B10057_004E,B10057_004M,B10057_005E,B10057_005M,B10057_006E,B10057_006M,B10057_007E,B10057_007M,B10057_008E,B10057_008M,B10057_009E,B10057_009M,B10057_010E,B10057_010M,B10057_011E,B10057_011M,NAME,B10057_001EA,B10057_001MA,B10057_002EA,B10057_002MA,B10057_003MA,B10057_003EA,B10057_004MA,B10057_004EA,B10057_005MA,B10057_005EA,B10057_006EA,B10057_006MA,B10057_007EA,B10057_007MA,B10057_008MA,B10057_008EA,B10057_009MA,B10057_009EA,B10057_010EA,B10057_010MA,B10057_011EA,B10057_011MA,state
0400000US01,117353,6332,69330,5664,41284,4597,20847,3560,20437,3079,28046,3524,48023,3971,19207,2507,10816,2048,8391,1513,28816,2975,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16621,1949,9743,1545,4695,1108,2319,902,2376,696,5048,1216,6878,1237,1593,523,713,332,880,326,5285,1180,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171855,7768,106825,7321,40078,4530,24112,3369,15966,2768,66747,5459,65030,4419,19702,2087,11103,1864,8599,1287,45328,3827,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,67675,5900,45688,4705,24597,3330,15269,2567,9328,1721,21091,3219,21987,3044,9079,1954,5924,1810,3155,847,12908,2031,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1145240,21255,784175,17557,175135,9755,91928,7118,83207,5945,609040,15735,361065,11176,69918,4540,34898,3768,35020,2812,291147,9943,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99909,6449,64577,5931,23900,3347,13445,2699,10455,1777,40677,4352,35332,3213,8819,1385,4823,1107,3996,989,26513,2959,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67363,5014,38342,4216,11678,2509,6258,1599,5420,1791,26664,3812,29021,2573,6193,1334,3651,1010,2542,765,22828,2327,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22933,3243,14509,2831,6235,1743,3545,1298,2690,1040,8274,2289,8424,1539,2081,724,1325,670,756,285,6343,1481,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9481,1928,3375,1332,1461,891,516,495,945,719,1914,784,6106,1433,1935,719,1083,632,852,429,4171,1180,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503382,14735,303719,11962,99248,7715,53144,5207,46104,5088,204471,11512,199663,9482,49893,4716,26512,3804,23381,2857,149770,9118,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
