GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001MA,B19001I_001EA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005EA,B19001I_005MA,B19001I_006MA,B19001I_006EA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009MA,B19001I_009EA,B19001I_010EA,B19001I_010MA,B19001I_011EA,B19001I_011MA,B19001I_012MA,B19001I_012EA,B19001I_013MA,B19001I_013EA,B19001I_014MA,B19001I_014EA,B19001I_015MA,B19001I_015EA,B19001I_016EA,B19001I_016MA,B19001I_017MA,B19001I_017EA,state
0400000US01,49012,2831,4315,1152,3708,1280,4189,1320,4694,1251,2573,839,3530,1162,2336,1064,2285,772,2878,913,3588,1001,4569,1186,4786,1327,2427,1070,1349,652,809,534,976,479,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15129,1374,649,490,499,332,430,333,749,469,333,377,505,290,979,641,983,753,176,157,1537,591,2459,852,1593,773,2108,807,1252,524,456,323,421,276,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,589735,7446,38616,3262,26957,3164,35699,3197,38001,3528,35442,3588,36191,3019,35660,3845,34953,3716,30291,3207,54606,4187,63305,4769,66916,4269,42756,3528,21275,2732,18979,2439,10088,1427,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57711,2877,2995,770,2924,892,3519,1155,5589,1370,5577,1476,3717,1041,3473,953,3640,1249,3135,860,5814,1503,7112,1688,4776,1153,2460,1028,1055,578,815,620,1110,599,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3815347,14822,188970,6352,168850,6661,170482,5504,206782,7010,187067,8428,204277,7475,190038,6892,198596,8871,171017,7002,331126,9965,424029,11952,496945,10079,329802,10878,193785,6909,207141,7504,146440,6794,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,345855,5690,24452,2833,15184,1767,12637,1870,17162,2735,17427,2617,21758,2667,20128,2428,19762,2221,18878,2312,30834,2989,42690,3866,44123,4234,27214,2665,13073,2008,11973,1766,8560,1574,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,172282,4298,17237,2421,10857,1882,7226,1465,9643,1756,10202,1954,8194,1729,9906,1992,10770,1547,7165,1617,15959,2544,16437,2529,19957,2468,10512,1933,5649,1379,6061,1504,6507,1268,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23257,1517,1527,590,1035,688,524,335,1685,624,1242,742,1912,755,1659,610,1578,1065,896,472,1242,583,3640,1298,2725,823,1551,564,558,341,1044,484,439,260,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21224,2095,1714,763,556,372,121,149,734,369,761,536,368,317,597,430,317,397,790,414,956,477,2048,749,3455,1025,2311,617,1334,559,1878,647,3284,752,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1586395,13200,125837,7225,84980,4925,93902,6009,97972,5849,94640,6261,91398,5981,85337,5570,83497,4522,71162,5541,139834,7187,160059,6789,180257,7545,106738,6334,58610,3852,57523,3732,54649,3760,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
