GEO_ID,B19101G_001E,B19101G_001M,B19101G_002E,B19101G_002M,B19101G_003E,B19101G_003M,B19101G_004E,B19101G_004M,B19101G_005E,B19101G_005M,B19101G_006E,B19101G_006M,B19101G_007E,B19101G_007M,B19101G_008E,B19101G_008M,B19101G_009E,B19101G_009M,B19101G_010E,B19101G_010M,B19101G_011E,B19101G_011M,B19101G_012E,B19101G_012M,B19101G_013E,B19101G_013M,B19101G_014E,B19101G_014M,B19101G_015E,B19101G_015M,B19101G_016E,B19101G_016M,B19101G_017E,B19101G_017M,NAME,B19101G_001MA,B19101G_001EA,B19101G_002EA,B19101G_002MA,B19101G_003EA,B19101G_003MA,B19101G_004MA,B19101G_004EA,B19101G_005MA,B19101G_005EA,B19101G_006EA,B19101G_006MA,B19101G_007EA,B19101G_007MA,B19101G_008EA,B19101G_008MA,B19101G_009MA,B19101G_009EA,B19101G_010MA,B19101G_010EA,B19101G_011EA,B19101G_011MA,B19101G_012MA,B19101G_012EA,B19101G_013EA,B19101G_013MA,B19101G_014EA,B19101G_014MA,B19101G_015MA,B19101G_015EA,B19101G_016MA,B19101G_016EA,B19101G_017EA,B19101G_017MA,state
0400000US01,14824,1930,1196,577,1013,498,973,693,712,352,599,359,712,416,608,518,1342,810,886,482,1010,456,2083,778,1205,463,939,472,864,589,383,248,299,258,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8759,1312,204,170,129,119,63,67,169,161,449,326,277,264,259,259,144,178,363,250,635,312,1412,700,1002,400,774,454,999,634,1114,554,766,370,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,39737,3491,1442,501,1496,604,1182,457,2013,689,1261,748,2486,1020,2645,1091,2298,752,1732,766,3197,968,3602,795,5570,1150,3983,1053,2717,954,2183,818,1930,682,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15681,1785,666,404,642,446,576,370,730,412,964,429,960,556,629,382,1104,583,907,601,1682,745,1722,651,2412,856,898,471,900,558,524,339,365,252,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,285312,9252,12817,2055,6869,1466,9176,1748,10192,1618,7654,1557,11427,1971,9542,1911,8473,1465,8155,1612,18365,1960,26404,2369,40310,3947,29583,2475,21584,2283,28837,2316,35924,3573,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31593,2989,1699,788,930,489,1073,470,964,440,1416,655,1608,814,1538,707,551,297,1342,783,1779,738,2983,982,4465,1075,3708,783,2204,706,2136,652,3197,804,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,16737,2407,632,307,400,288,695,502,575,424,862,470,862,868,997,704,556,346,503,277,857,472,1171,528,2396,966,2209,751,1037,619,1363,555,1622,694,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,84557,5432,3808,1150,3738,1007,3125,909,4330,1071,4079,1279,3338,1014,5088,1419,3276,930,3946,1117,7382,1581,8924,1652,11713,1940,7097,1895,4651,1093,4745,1196,5317,1399,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,43421,2936,2831,1094,1988,862,3002,1095,2147,845,1529,560,1704,786,1958,833,1792,582,1774,806,2092,783,4036,1025,6626,1423,3993,1213,1460,607,3600,1002,2889,921,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52174,2876,2195,752,785,469,1433,716,1475,556,959,372,1247,429,1516,547,2235,726,1566,612,3998,1063,4132,882,9353,1565,7582,1172,3967,927,5101,940,4630,971,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7566,1544,274,277,243,321,494,446,202,239,306,271,426,332,120,151,432,381,114,150,307,276,1573,707,788,424,699,430,537,565,319,375,732,598,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,44982,3365,1866,629,2457,914,1339,558,1235,584,1543,599,2713,1019,1932,745,1235,550,1709,668,3679,1021,4863,1229,5667,1174,4353,1038,3715,855,3357,741,3319,817,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,22235,2355,1112,395,1736,833,1302,524,1409,591,1112,678,910,443,1163,643,1017,532,763,391,2259,786,1860,652,3223,802,1922,790,577,320,1012,504,858,632,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8226,1368,723,422,588,357,808,467,677,391,253,257,504,348,217,207,515,524,72,109,732,484,669,387,695,340,947,463,197,230,270,175,359,283,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13310,1670,1029,588,539,364,347,183,450,200,728,311,831,527,898,441,339,212,584,250,1648,545,1247,495,1513,566,2034,769,549,319,225,176,349,257,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
