GEO_ID,B18101C_001E,B18101C_001M,B18101C_002E,B18101C_002M,B18101C_003E,B18101C_003M,B18101C_004E,B18101C_004M,B18101C_005E,B18101C_005M,B18101C_006E,B18101C_006M,B18101C_007E,B18101C_007M,B18101C_008E,B18101C_008M,B18101C_009E,B18101C_009M,B18101C_010E,B18101C_010M,NAME,B18101C_001EA,B18101C_001MA,B18101C_002EA,B18101C_002MA,B18101C_003EA,B18101C_003MA,B18101C_004MA,B18101C_004EA,B18101C_005MA,B18101C_005EA,B18101C_006EA,B18101C_006MA,B18101C_007MA,B18101C_007EA,B18101C_008EA,B18101C_008MA,B18101C_009MA,B18101C_009EA,B18101C_010MA,B18101C_010EA,state
0400000US01,24553,3024,3285,1004,274,337,3011,980,18153,2596,5022,1732,13131,2028,3115,875,1974,690,1141,535,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,108112,4664,35285,2799,977,543,34308,2710,63282,2491,7566,1001,55716,2341,9545,625,5315,602,4230,638,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,310889,8665,92566,4671,2583,780,89983,4620,190545,5391,29080,2745,161465,5355,27778,1579,14469,1313,13309,1074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18651,2416,4329,1286,706,530,3623,1199,12216,1667,2772,958,9444,1415,2106,732,1040,618,1066,455,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,306972,12703,74134,5282,3972,1045,70162,5183,194741,9041,30358,3210,164383,8081,38097,2754,17302,1743,20795,1887,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,53753,4487,10894,1695,1148,660,9746,1588,36589,3349,7198,1630,29391,3008,6270,1257,3508,1207,2762,756,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,10619,2310,3019,995,918,467,2101,747,6349,1517,1910,763,4439,1305,1251,531,228,226,1023,528,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2637,763,276,222,0,198,276,222,2139,617,663,417,1476,549,222,182,97,142,125,107,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,61585,7053,13648,3287,905,540,12743,3251,39405,5039,8800,1891,30605,4163,8532,1450,3275,1010,5257,1270,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36003,5024,9344,2605,64,117,9280,2592,23677,3030,3313,1192,20364,3068,2982,1066,1171,650,1811,767,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2405,862,234,202,70,89,164,171,1885,791,298,272,1587,672,286,240,97,160,189,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
