GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002MA,B05003A_002EA,B05003A_003EA,B05003A_003MA,B05003A_004EA,B05003A_004MA,B05003A_005MA,B05003A_005EA,B05003A_006MA,B05003A_006EA,B05003A_007MA,B05003A_007EA,B05003A_008EA,B05003A_008MA,B05003A_009EA,B05003A_009MA,B05003A_010MA,B05003A_010EA,B05003A_011MA,B05003A_011EA,B05003A_012MA,B05003A_012EA,B05003A_013EA,B05003A_013MA,B05003A_014EA,B05003A_014MA,B05003A_015EA,B05003A_015MA,B05003A_016MA,B05003A_016EA,B05003A_017MA,B05003A_017EA,B05003A_018EA,B05003A_018MA,B05003A_019EA,B05003A_019MA,B05003A_020EA,B05003A_020MA,B05003A_021EA,B05003A_021MA,B05003A_022MA,B05003A_022EA,B05003A_023MA,B05003A_023EA,state
0400000US01,3312718,7193,1620711,4966,345089,2989,341794,3287,3295,1319,1594,1087,1701,771,1275622,3198,1243559,3202,32063,3338,10619,1505,21444,2978,1692007,4441,333752,2841,331413,2837,2339,908,488,471,1851,780,1358255,2941,1325185,3275,33070,3354,15187,2268,17883,2358,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,474856,3312,251235,1927,50689,1313,50609,1303,80,96,31,53,49,85,200546,1457,194214,2032,6332,1493,4506,1274,1826,747,223621,2261,48473,1503,48285,1485,188,159,42,72,146,136,175148,1242,166495,1997,8653,1981,5332,1458,3321,1017,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5442417,25445,2698948,13267,592816,7094,581366,7276,11450,1816,2844,922,8606,1525,2106132,8591,1846366,10122,259766,8975,107023,6675,152743,7760,2743469,14972,570337,7465,557288,7828,13049,2419,2681,1055,10368,2291,2173132,8915,1885942,9346,287190,8970,130840,5875,156350,7145,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2293307,7105,1132180,4730,254685,3159,253506,3316,1179,519,154,187,1025,517,877495,2712,848889,2574,28606,2434,7765,1627,20841,2060,1161127,4619,234727,2780,233940,2738,787,405,126,169,661,389,926400,2749,900046,3033,26354,2603,10577,2039,15777,2166,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23181769,68345,11587075,37436,2520634,17136,2440733,15906,79901,5599,12768,1885,67133,5177,9066441,26367,7120975,24188,1945466,28037,922571,16809,1022895,21255,11594694,37190,2396712,16751,2317879,17755,78833,6055,15373,2438,63460,5356,9197982,26371,7143021,27646,2054961,21899,1061636,16114,993325,17456,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4720495,13280,2373012,7853,515670,4603,505451,5321,10219,2664,3759,1710,6460,1821,1857342,5318,1708864,7184,148478,6400,59311,4350,89167,5726,2347483,8005,490279,4371,480041,5059,10238,2028,2088,1213,8150,1690,1857204,5334,1713948,7599,143256,6897,63841,4273,79415,5098,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2723013,12447,1329417,7408,259531,4056,252447,4210,7084,1340,1601,517,5483,1247,1069886,5214,956287,5819,113599,5607,59927,4477,53672,4675,1393596,7230,244763,3561,239158,3551,5605,1336,1523,687,4082,1191,1148833,5068,1023675,6182,125158,5507,73375,4540,51783,3752,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,662084,4020,322157,2320,63106,1363,61670,1446,1436,691,713,542,723,470,259051,1818,240956,2240,18095,2579,7782,1826,10313,2078,339927,2394,60775,1386,59505,1275,1270,813,276,399,994,716,279152,1515,259127,2445,20025,2669,8875,1490,11150,2057,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,284536,4734,141262,2869,17603,1314,17107,1341,496,320,126,145,370,332,123659,2014,106072,1620,17587,2065,6917,1199,10670,1771,143274,2416,16873,1156,16172,1108,701,467,37,63,664,464,126401,1666,108912,2396,17489,2370,6891,1271,10598,1967,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15768315,33431,7727807,18371,1432780,8983,1351413,10309,81367,6018,16718,2359,64649,5422,6295027,13668,5012248,17442,1282779,17297,668144,13041,614635,15679,8040508,18429,1368820,7259,1290856,10036,77964,6200,16515,2738,61449,5607,6671688,14566,5230281,19161,1441407,17888,853340,14341,588067,15618,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
