GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001EA,B14007A_001MA,B14007A_002MA,B14007A_002EA,B14007A_003MA,B14007A_003EA,B14007A_004MA,B14007A_004EA,B14007A_005MA,B14007A_005EA,B14007A_006EA,B14007A_006MA,B14007A_007MA,B14007A_007EA,B14007A_008EA,B14007A_008MA,B14007A_009MA,B14007A_009EA,B14007A_010MA,B14007A_010EA,B14007A_011MA,B14007A_011EA,B14007A_012EA,B14007A_012MA,B14007A_013MA,B14007A_013EA,B14007A_014EA,B14007A_014MA,B14007A_015MA,B14007A_015EA,B14007A_016MA,B14007A_016EA,B14007A_017EA,B14007A_017MA,B14007A_018EA,B14007A_018MA,B14007A_019EA,B14007A_019MA,state
0400000US01,3207950,7419,735464,8960,36670,2896,37589,3064,35811,3087,36729,3046,41067,3665,35850,3489,43212,3820,36944,2853,41879,3381,39237,3151,39953,3092,36948,2470,40200,3117,40665,3624,161700,7109,31010,3053,2472486,9811,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456851,3236,105446,3321,4311,1067,4864,1009,5476,1210,4729,848,5909,963,5769,965,5201,950,4958,908,6425,1028,4617,897,6095,963,6115,1001,3877,787,5811,1190,24083,2750,7206,1231,351405,3278,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5268799,23573,1261735,15994,65841,4388,56369,3862,56794,4316,59994,3598,68142,4228,68835,5022,67896,4503,71178,3839,70214,3743,64315,4030,66468,4226,69495,4125,62229,3702,75744,4904,278867,8813,59354,4309,4007064,15492,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2218434,7703,515527,7267,30564,3066,28851,3155,24757,2462,25801,2940,31870,2801,27572,2340,28312,2496,25082,2343,26685,2533,28368,2445,27415,2408,27480,2103,27885,2475,29496,2631,104498,5352,20891,2303,1702907,6969,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22401232,65779,5676680,35910,324622,10142,278834,8910,250816,8761,260819,8807,260485,7655,268913,8165,288550,9154,281783,9367,272768,8571,284179,8735,283251,8515,276393,7979,285852,7736,325268,9803,1445569,21213,288578,10494,16724552,47017,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4561463,12588,1119812,10797,68484,3048,56673,3685,50448,4262,51167,3475,59487,3437,60154,3611,57571,3540,61087,3374,53083,3674,60214,3709,59172,3865,58249,3307,56680,3441,60136,3684,244551,8817,62656,3395,3441651,13489,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2652170,12452,624473,10540,36920,2575,22531,2402,26256,2838,24485,2415,25918,2418,28662,2511,29389,2142,30317,2552,32082,2910,34243,2990,32833,2696,33464,2576,33572,2545,37632,3087,153051,7195,43118,3872,2027697,11575,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,642272,4370,141300,3761,8012,1513,6726,1557,7168,1367,6121,1256,6446,1137,7327,1251,6990,1416,7214,1221,7515,1354,8761,1639,5847,1253,6956,1136,7818,1556,7408,1377,32587,2909,8404,1551,500972,4711,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,274954,4282,61191,3552,5794,1086,2858,731,1212,488,2115,604,972,374,1558,464,1373,434,1027,377,1169,403,1226,481,1327,480,1190,455,872,324,449,316,22785,1670,15264,2357,213763,4065,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15318006,34711,3197021,24730,192963,8595,144141,6312,153102,7436,156876,6978,159929,7008,151090,6591,158515,6638,160572,6533,155934,7425,167798,8057,158411,6718,167024,7141,161697,6702,173717,7172,762869,17047,172383,7714,12120985,30631,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
