GEO_ID,B22005H_001E,B22005H_001M,B22005H_002E,B22005H_002M,B22005H_003E,B22005H_003M,NAME,B22005H_001EA,B22005H_001MA,B22005H_002EA,B22005H_002MA,B22005H_003EA,B22005H_003MA,state
0400000US01,1253140,9227,107724,4875,1145416,8870,Alabama,null,null,null,null,null,null,01
0400000US02,173564,2922,11669,1663,161895,3143,Alaska,null,null,null,null,null,null,02
0400000US04,1663411,10240,108032,5044,1555379,10807,Arizona,null,null,null,null,null,null,04
0400000US05,875566,7245,83132,4176,792434,7957,Arkansas,null,null,null,null,null,null,05
0400000US06,6193847,16516,311875,9627,5881972,17919,California,null,null,null,null,null,null,06
0400000US08,1607061,8894,83399,4113,1523662,8967,Colorado,null,null,null,null,null,null,08
0400000US09,980875,6168,70574,4231,910301,6896,Connecticut,null,null,null,null,null,null,09
0400000US10,243886,3959,17916,1991,225970,3918,Delaware,null,null,null,null,null,null,10
0400000US11,118453,2907,1579,646,116874,2921,District of Columbia,null,null,null,null,null,null,11
0400000US12,4782758,17517,359240,10741,4423518,17416,Florida,null,null,null,null,null,null,12
0400000US13,2153532,12581,158779,6868,1994753,13554,Georgia,null,null,null,null,null,null,13
0400000US15,137585,3254,10041,1711,127544,3420,Hawaii,null,null,null,null,null,null,15
0400000US16,540160,5923,48134,3465,492026,5606,Idaho,null,null,null,null,null,null,16
0400000US17,3275549,12826,259317,7482,3016232,14050,Illinois,null,null,null,null,null,null,17
0400000US18,2120744,11632,157611,6186,1963133,12019,Indiana,null,null,null,null,null,null,18
0400000US19,1132505,6157,93972,4198,1038533,6389,Iowa,null,null,null,null,null,null,19
0400000US20,918419,5711,56005,3143,862414,6883,Kansas,null,null,null,null,null,null,20
0400000US21,1494746,9133,192243,6841,1302503,10138,Kentucky,null,null,null,null,null,null,21
0400000US22,1082542,8791,102142,4711,980400,9164,Louisiana,null,null,null,null,null,null,22
0400000US23,516673,5820,62478,3803,454195,5706,Maine,null,null,null,null,null,null,23
0400000US24,1246896,8389,77943,4181,1168953,8718,Maryland,null,null,null,null,null,null,24
0400000US25,1998325,9390,153837,7153,1844488,10776,Massachusetts,null,null,null,null,null,null,25
0400000US26,3079028,11587,294619,7353,2784409,13280,Michigan,null,null,null,null,null,null,26
0400000US27,1849929,7476,97420,4411,1752509,8849,Minnesota,null,null,null,null,null,null,27
0400000US28,651659,6319,51809,3991,599850,7119,Mississippi,null,null,null,null,null,null,28
0400000US29,1958897,11041,170066,6542,1788831,12299,Missouri,null,null,null,null,null,null,29
0400000US30,385089,4476,31526,3151,353563,5300,Montana,null,null,null,null,null,null,30
0400000US31,634678,4119,39955,2821,594723,4876,Nebraska,null,null,null,null,null,null,31
0400000US32,638724,5681,51242,3630,587482,6145,Nevada,null,null,null,null,null,null,32
0400000US33,490773,4619,32819,2616,457954,5270,New Hampshire,null,null,null,null,null,null,33
0400000US34,1957457,9102,85737,4490,1871720,8735,New Jersey,null,null,null,null,null,null,34
0400000US35,353397,5083,35380,2595,318017,5216,New Mexico,null,null,null,null,null,null,35
0400000US36,4486758,18464,378081,9580,4108677,19222,New York,null,null,null,null,null,null,36
0400000US37,2689841,12161,208539,7528,2481302,13825,North Carolina,null,null,null,null,null,null,37
0400000US38,277393,3047,13195,1722,264198,3145,North Dakota,null,null,null,null,null,null,38
0400000US39,3789242,12039,387637,9941,3401605,13755,Ohio,null,null,null,null,null,null,39
0400000US40,1064834,6058,112449,4150,952385,6590,Oklahoma,null,null,null,null,null,null,40
0400000US41,1315947,9158,179965,5774,1135982,9653,Oregon,null,null,null,null,null,null,41
0400000US42,4055412,11922,384066,7819,3671346,12245,Pennsylvania,null,null,null,null,null,null,42
0400000US44,320516,4626,34828,2839,285688,5159,Rhode Island,null,null,null,null,null,null,44
0400000US45,1290702,7955,97306,4666,1193396,8554,South Carolina,null,null,null,null,null,null,45
0400000US46,305749,3205,18323,2008,287426,3164,South Dakota,null,null,null,null,null,null,46
0400000US47,1999887,11323,218031,7202,1781856,14033,Tennessee,null,null,null,null,null,null,47
0400000US48,4779209,18545,283545,8825,4495664,17923,Texas,null,null,null,null,null,null,48
0400000US49,805212,5624,46992,3385,758220,6513,Utah,null,null,null,null,null,null,49
0400000US50,244546,3176,27558,2355,216988,3428,Vermont,null,null,null,null,null,null,50
0400000US51,2098786,11068,118162,6970,1980624,12459,Virginia,null,null,null,null,null,null,51
0400000US53,2147641,11624,220303,8270,1927338,13371,Washington,null,null,null,null,null,null,53
0400000US54,672002,6767,109171,5064,562831,7433,West Virginia,null,null,null,null,null,null,54
0400000US55,2019895,7971,161040,4457,1858855,9075,Wisconsin,null,null,null,null,null,null,55
0400000US56,198442,3565,10873,1902,187569,3942,Wyoming,null,null,null,null,null,null,56
0400000US72,8051,1642,1181,630,6870,1579,Puerto Rico,null,null,null,null,null,null,72
