GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004EA,C08113_004MA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007MA,C08113_007EA,C08113_008MA,C08113_008EA,C08113_009MA,C08113_009EA,C08113_010EA,C08113_010MA,C08113_011EA,C08113_011MA,C08113_012MA,C08113_012EA,C08113_013MA,C08113_013EA,C08113_014MA,C08113_014EA,C08113_015EA,C08113_015MA,C08113_016EA,C08113_016MA,C08113_017MA,C08113_017EA,C08113_018MA,C08113_018EA,C08113_019MA,C08113_019EA,C08113_020EA,C08113_020MA,C08113_021EA,C08113_021MA,C08113_022MA,C08113_022EA,C08113_023MA,C08113_023EA,C08113_024MA,C08113_024EA,C08113_025MA,C08113_025EA,C08113_026MA,C08113_026EA,C08113_027EA,C08113_027MA,C08113_028EA,C08113_028MA,C08113_029EA,C08113_029MA,C08113_030MA,C08113_030EA,state
0400000US01,2041619,17993,1931440,17989,110179,5944,64943,4888,45236,4077,1748949,19969,1664198,19510,84751,5434,52441,4206,32310,3411,173508,7679,155318,7242,18190,2979,7414,1651,10776,2525,7234,1504,6879,1486,355,280,257,247,98,121,43056,4195,39997,4053,3059,929,2090,771,969,482,68872,5117,65048,4967,3824,1068,2741,932,1083,541,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,351282,6043,293119,6069,58163,4092,39890,3444,18273,2245,243466,6186,212614,6260,30852,3107,22054,2732,8798,1529,41554,4193,29802,3162,11752,2743,6255,1444,5497,1799,5827,1561,4330,1158,1497,856,823,568,674,482,44451,3204,33057,2773,11394,1603,8896,1374,2498,808,15984,2030,13316,1856,2668,718,1862,688,806,387,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3086150,17384,2212346,18053,873804,15270,596704,12794,277100,8211,2362162,18831,1713303,17608,648859,12382,451800,11344,197059,7949,339590,10803,201826,7973,137764,8109,84327,5903,53437,4994,55495,5174,37226,4133,18269,2769,11995,2148,6274,1612,134988,6006,100829,6003,34159,3156,23298,2437,10861,1948,193915,7427,159162,6892,34753,3803,25284,3134,9469,1810,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1281666,13086,1176094,12997,105572,4988,55100,4255,50472,4486,1068253,12584,989678,13007,78575,5185,43005,4015,35570,3937,126414,6651,108193,6406,18221,2551,8188,1577,10033,2194,3788,1046,3260,1084,528,439,365,388,163,191,36055,3923,30646,3365,5409,1671,1712,574,3697,1623,47156,3936,44317,3739,2839,899,1830,658,1009,623,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18320629,48194,10025250,40037,8295379,40140,5002887,34265,3292492,26940,13541563,56126,7526652,42674,6014911,41321,3754992,34974,2259919,26754,1837270,27936,775763,14302,1061507,22732,547327,15639,514180,16062,919579,16698,448857,12462,470722,13677,256937,10452,213785,8342,929330,18716,526234,13407,403096,11795,226244,8697,176852,8647,1092887,19780,747744,16245,345143,10876,217387,8710,127756,6887,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2886978,17103,2416163,18106,470815,12770,309680,11149,161135,7087,2161670,15648,1817733,16367,343937,11308,231881,9472,112056,6362,246847,8470,184966,7590,61881,4970,33589,3509,28292,3026,92878,5937,69468,4980,23410,3283,14100,2559,9310,1956,141480,5875,124902,5831,16578,1974,11395,1564,5183,1123,244103,8996,219094,7981,25009,3169,18715,2564,6294,1710,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1778000,14686,1384753,13496,393247,9813,240763,9404,152484,7032,1391813,14671,1107003,14913,284810,8343,178427,7718,106383,6546,139660,7956,90414,6308,49246,4973,24358,3739,24888,2795,83460,4978,59780,4240,23680,2665,16432,2463,7248,1359,71893,4999,51132,4161,20761,2923,11768,2046,8993,2235,91174,4559,76424,4429,14750,2116,9778,1833,4972,1276,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,430780,6838,368842,6525,61938,3660,42280,3484,19658,2521,353445,7749,305295,7301,48150,3122,34136,2981,14014,2192,30680,3402,22868,2666,7812,2187,3887,1609,3925,1293,9598,1594,8166,1389,1432,720,1001,696,431,269,14830,1922,12392,1829,2438,907,1586,632,852,624,22227,2459,20121,2340,2106,695,1670,603,436,285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,375380,6102,302216,6412,73164,4886,47151,3399,26013,3960,129051,5201,108878,4570,20173,2376,13277,1970,6896,1486,19495,2415,13887,1960,5608,1538,3219,1071,2389,1073,122643,5311,97230,4034,25413,3875,13459,2066,11954,2976,76524,4218,59456,3963,17068,2412,13743,2106,3325,1061,27667,2948,22765,2540,4902,1132,3453,961,1449,704,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9355081,35950,6316583,37580,3038498,28753,1808645,23096,1229853,22558,7423934,39897,5106810,33507,2317124,28449,1432695,23005,884429,19161,850429,21057,485640,14137,364789,15995,180606,9567,184183,10913,162401,8778,77733,6373,84668,6790,36151,4139,48517,5180,343811,13927,223649,10498,120162,7369,62037,4775,58125,6362,574506,15223,422751,11022,151755,9022,97156,6523,54599,5096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
