GEO_ID,B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,NAME,B18101H_001MA,B18101H_001EA,B18101H_002EA,B18101H_002MA,B18101H_003MA,B18101H_003EA,B18101H_004MA,B18101H_004EA,B18101H_005EA,B18101H_005MA,B18101H_006EA,B18101H_006MA,B18101H_007EA,B18101H_007MA,B18101H_008EA,B18101H_008MA,B18101H_009MA,B18101H_009EA,B18101H_010MA,B18101H_010EA,state
0400000US01,3148898,3842,632627,827,26236,3362,606391,3565,1907260,3031,261067,9517,1646193,9950,609011,1757,244141,5830,364870,5913,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,435077,1913,90228,776,2544,674,87684,985,284256,1547,31853,3246,252403,3317,60593,333,21965,1727,38628,1720,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3792585,5252,636796,2543,24773,2907,612023,3805,2203055,4169,245830,9018,1957225,9425,952734,856,314841,7136,637893,7181,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2136043,2793,443505,1020,27509,3077,415996,3140,1278323,2025,209929,8301,1068394,8531,414215,968,174585,4303,239630,4183,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14421122,8504,2310021,3147,75184,4370,2234837,5416,9022690,7088,838799,15587,8183891,17997,3088411,3293,1042086,13019,2046325,13214,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3763148,4450,709072,1051,22468,2197,686604,2283,2422644,4005,207550,8991,2215094,9236,631432,1115,195201,5590,436231,5500,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2360024,3704,407193,1535,12622,1560,394571,2255,1464565,2682,124180,6815,1340385,6579,488266,930,142198,4468,346068,4175,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,590142,1214,100570,236,3934,1008,96636,1010,353847,924,37605,3157,316242,3293,135725,684,39224,2431,96501,2448,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250685,1574,27045,844,398,261,26647,821,195519,921,12208,2240,183311,2459,28121,287,7347,1140,20774,1219,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11141479,8898,1748606,3771,83724,5543,1664882,6852,6340566,6417,732164,14090,5608402,15554,3052307,2749,990891,13910,2061416,14110,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5403301,5848,1098362,2369,48655,3940,1049707,4119,3332777,4851,358550,13023,2974227,13549,972162,1569,341263,6799,630899,6939,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,283473,1973,41975,565,1315,863,40660,1008,174720,1789,14645,1714,160075,2329,66778,398,17675,1821,49103,1897,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1391299,2002,331787,592,15382,1987,316405,2116,817064,1778,103343,6582,713721,6596,242448,894,86546,3777,155902,3698,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
