GEO_ID,B05013_001E,B05013_001M,B05013_002E,B05013_002M,B05013_003E,B05013_003M,B05013_004E,B05013_004M,B05013_005E,B05013_005M,B05013_006E,B05013_006M,B05013_007E,B05013_007M,B05013_008E,B05013_008M,B05013_009E,B05013_009M,B05013_010E,B05013_010M,B05013_011E,B05013_011M,B05013_012E,B05013_012M,B05013_013E,B05013_013M,B05013_014E,B05013_014M,B05013_015E,B05013_015M,B05013_016E,B05013_016M,B05013_017E,B05013_017M,B05013_018E,B05013_018M,B05013_019E,B05013_019M,B05013_020E,B05013_020M,B05013_021E,B05013_021M,B05013_022E,B05013_022M,B05013_023E,B05013_023M,B05013_024E,B05013_024M,B05013_025E,B05013_025M,B05013_026E,B05013_026M,B05013_027E,B05013_027M,B05013_028E,B05013_028M,B05013_029E,B05013_029M,B05013_030E,B05013_030M,B05013_031E,B05013_031M,B05013_032E,B05013_032M,B05013_033E,B05013_033M,B05013_034E,B05013_034M,B05013_035E,B05013_035M,B05013_036E,B05013_036M,B05013_037E,B05013_037M,B05013_038E,B05013_038M,B05013_039E,B05013_039M,NAME,B05013_001MA,B05013_001EA,B05013_002MA,B05013_002EA,B05013_003EA,B05013_003MA,B05013_004MA,B05013_004EA,B05013_005MA,B05013_005EA,B05013_006MA,B05013_006EA,B05013_007MA,B05013_007EA,B05013_008EA,B05013_008MA,B05013_009EA,B05013_009MA,B05013_010MA,B05013_010EA,B05013_011MA,B05013_011EA,B05013_012MA,B05013_012EA,B05013_013MA,B05013_013EA,B05013_014EA,B05013_014MA,B05013_015MA,B05013_015EA,B05013_016MA,B05013_016EA,B05013_017MA,B05013_017EA,B05013_018MA,B05013_018EA,B05013_019EA,B05013_019MA,B05013_020EA,B05013_020MA,B05013_021MA,B05013_021EA,B05013_022MA,B05013_022EA,B05013_023MA,B05013_023EA,B05013_024EA,B05013_024MA,B05013_025EA,B05013_025MA,B05013_026MA,B05013_026EA,B05013_027MA,B05013_027EA,B05013_028MA,B05013_028EA,B05013_029EA,B05013_029MA,B05013_030EA,B05013_030MA,B05013_031EA,B05013_031MA,B05013_032MA,B05013_032EA,B05013_033MA,B05013_033EA,B05013_034EA,B05013_034MA,B05013_035EA,B05013_035MA,B05013_036EA,B05013_036MA,B05013_037MA,B05013_037EA,B05013_038MA,B05013_038EA,B05013_039EA,B05013_039MA,state
0400000US01,169066,6916,84457,3965,1153,541,1378,714,2849,1390,4498,1017,7212,1650,7661,1357,10951,1731,10679,1820,9457,1668,7690,1577,6492,1180,4188,1090,3505,884,3172,966,1492,598,811,384,665,338,604,463,84609,4335,608,453,1824,768,3596,1160,5335,1428,4983,1209,6643,1664,8631,1393,8442,1554,10220,1853,8586,1479,5941,1062,4887,1179,3608,933,3651,823,3446,841,1955,621,1433,591,820,406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58187,4466,25803,2816,233,264,517,311,605,301,1063,626,1569,802,2109,767,2537,754,2886,860,1852,765,2188,471,2630,920,2413,692,1581,473,1794,616,1013,376,276,202,313,261,224,185,32384,2765,219,313,1042,718,789,562,1212,430,1744,760,2283,952,2158,880,4936,1482,2643,887,2506,476,2782,591,2945,668,1700,547,1523,623,1183,475,1404,503,430,234,885,561,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,924900,18307,440125,10570,2914,883,3853,1064,7897,1735,17293,2328,24179,2728,36355,3924,41511,2524,49243,3822,47356,3843,44553,2809,41238,2998,31897,2724,30741,2767,21351,2093,16226,1842,11006,1569,7037,1360,5475,1146,484775,11757,4227,1192,4113,1274,8870,1606,14146,2288,25743,2837,37702,3510,43123,3078,44648,3470,51558,3654,52638,2979,44961,2782,37776,3138,31958,2856,26830,2527,22624,2252,15400,2129,9535,1568,8923,1656,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,140078,5172,72181,4028,581,413,859,507,1646,737,3270,858,4680,1049,7992,1445,10008,2065,10029,1655,7594,1556,7980,1610,4798,1084,4132,1090,3057,842,2992,1146,1591,550,465,241,223,201,284,249,67897,3190,486,431,553,311,1438,688,3349,989,4810,1265,5233,1293,7873,1321,9035,1505,8126,1458,8841,1452,4537,1160,3441,1006,3628,767,2582,743,1634,728,1051,675,780,381,500,243,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10653414,47294,5113242,31847,27655,3232,48948,4180,71402,4955,134110,6585,216565,8036,348252,9783,464178,8395,515737,9948,533562,10968,580098,8515,535609,7816,458617,9476,384104,9770,286933,6559,193596,6586,138372,5195,95111,4810,80393,5169,5540172,28026,26709,2927,45544,4377,64208,4357,133524,5703,190618,7523,344970,8631,456259,9783,528859,9216,590149,9973,602865,7201,554935,7258,485237,9181,435303,8961,345292,6382,260591,7307,187493,5437,137809,4966,149807,5823,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,550768,12818,273806,7511,2401,1085,5233,1475,6937,1436,11447,1893,18900,2857,26925,2923,29129,2436,30855,2796,33230,3191,27337,2733,23916,2267,17522,2224,14940,1925,8657,1254,7488,1195,3674,940,2765,719,2450,887,276962,8607,3247,1122,6179,1360,8397,1662,10103,1658,13574,1805,21422,2888,28417,2231,30640,2906,33366,2909,30938,2511,21411,1955,18175,1621,14104,1823,12281,1900,8990,1341,7078,1222,4577,1157,4063,940,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,530245,12137,252265,7337,1953,779,3728,931,5216,1215,9703,1882,13642,2033,20127,1994,25748,2589,26095,3113,27077,2458,23615,2052,22152,1946,20991,2330,15890,1759,13691,1524,7435,1094,6758,1166,3989,926,4455,973,277980,7970,1367,868,3851,1234,6125,1572,9438,1791,13910,2085,18282,1789,23083,2204,27983,2729,29077,2912,29133,2361,23645,1784,21211,2274,19019,2442,15040,2074,12131,1509,8619,1368,7502,1353,8564,1448,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,98493,6244,46799,3634,414,365,651,456,1283,1125,1663,819,2049,642,4263,868,5680,940,5222,1120,5689,1279,4660,1265,3055,723,3399,980,3704,1027,2052,815,743,399,1553,505,217,175,502,316,51694,3912,1065,739,1052,787,863,431,1343,560,2862,972,5029,1140,6849,1191,6276,991,4947,1487,3863,779,4179,798,3413,667,2642,855,3270,832,1183,567,1500,961,492,269,866,338,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101860,5844,50217,3078,1040,484,804,523,68,90,1433,599,3576,839,4425,1101,7561,1077,7084,1391,5966,1535,4913,967,3096,900,3530,702,2524,838,1802,748,1008,435,685,436,288,222,414,289,51643,3959,924,912,1022,599,505,373,1100,488,3921,1596,6460,1250,7526,1290,6674,1096,4859,1296,3688,812,3106,584,3014,872,2685,802,2322,515,1317,590,988,487,437,394,1095,419,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4379341,36643,2048935,20602,12994,2336,32698,3388,42469,3910,66601,4337,104803,6513,127515,7179,165735,7181,181158,8946,204942,9628,206155,7080,195675,5735,178280,6340,146005,6222,124969,4719,94713,4676,76831,4631,48186,4029,39206,3213,2330406,24578,15344,2631,27610,3196,44542,4383,68628,5277,98519,5879,137143,6578,170401,7456,201280,7006,214847,7559,219007,5905,219016,6507,203110,7208,177142,6996,153877,5975,129563,5931,104488,5220,72673,3845,73216,4135,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
