GEO_ID,B13004_001E,B13004_001M,B13004_002E,B13004_002M,B13004_003E,B13004_003M,B13004_004E,B13004_004M,B13004_005E,B13004_005M,B13004_006E,B13004_006M,B13004_007E,B13004_007M,B13004_008E,B13004_008M,B13004_009E,B13004_009M,B13004_010E,B13004_010M,B13004_011E,B13004_011M,NAME,B13004_001EA,B13004_001MA,B13004_002MA,B13004_002EA,B13004_003MA,B13004_003EA,B13004_004MA,B13004_004EA,B13004_005EA,B13004_005MA,B13004_006EA,B13004_006MA,B13004_007MA,B13004_007EA,B13004_008EA,B13004_008MA,B13004_009MA,B13004_009EA,B13004_010EA,B13004_010MA,B13004_011EA,B13004_011MA,state
0400000US01,1113987,5286,58429,3646,33376,3017,25053,2984,3819,1161,21234,2768,1055558,5774,447810,8560,607748,9541,53655,4199,554093,10058,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167071,2359,9928,1678,7844,1626,2084,578,618,362,1466,449,157143,2653,74540,3496,82603,3703,13955,1926,68648,3960,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1574799,4795,88454,4380,55850,3405,32604,3178,9366,1685,23238,2744,1486345,6349,615704,11648,870641,10896,122048,5137,748593,11071,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666867,4149,40689,3582,25171,2855,15518,2280,5234,1401,10284,1913,626178,5219,296878,7200,329300,8196,44872,3384,284428,8591,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9494876,10005,465749,11329,317514,8266,148235,7602,47698,3346,100537,6617,9029127,16661,3844145,28410,5184982,27034,598384,13855,4586598,27548,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1327484,5054,70730,3904,52327,3446,18403,2393,6711,1450,11692,1924,1256754,6052,581808,8796,674946,9169,100590,4698,574356,9317,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,792474,3190,33849,3292,23763,2377,10086,2004,3585,1085,6501,1557,758625,4554,302537,6589,456088,6500,58669,4625,397419,7664,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,210660,1825,9580,1613,6113,1293,3467,1027,1303,745,2164,769,201080,2243,78422,3540,122658,3896,15149,2300,107509,4122,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192837,1811,8993,1357,5186,1055,3807,1149,427,264,3380,1118,183844,2306,50384,3007,133460,3600,11410,1409,122050,4019,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4575708,9438,228311,8847,139579,6800,88732,6916,24287,3445,64445,5563,4347397,12860,1769058,22584,2578339,21504,310234,10390,2268105,22072,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2533705,7736,140618,8193,85089,5179,55529,5932,12764,2462,42765,4914,2393087,10736,1020806,16613,1372281,17804,139434,6390,1232847,17089,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309670,2429,19276,1916,14348,1882,4928,1163,759,343,4169,1154,290394,2881,132908,4187,157486,3784,17037,2055,140449,4042,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,384497,3073,24482,2536,18635,2141,5847,1331,2353,770,3494,1123,360015,4080,180197,5226,179818,5549,24800,2558,155018,6065,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2972936,6489,152732,6250,99680,4552,53052,3910,14144,1979,38908,3631,2820204,9201,1184739,12841,1635465,13696,210575,7222,1424890,13523,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
