GEO_ID,B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,NAME,B14007I_001EA,B14007I_001MA,B14007I_002MA,B14007I_002EA,B14007I_003MA,B14007I_003EA,B14007I_004EA,B14007I_004MA,B14007I_005EA,B14007I_005MA,B14007I_006EA,B14007I_006MA,B14007I_007EA,B14007I_007MA,B14007I_008MA,B14007I_008EA,B14007I_009MA,B14007I_009EA,B14007I_010EA,B14007I_010MA,B14007I_011MA,B14007I_011EA,B14007I_012MA,B14007I_012EA,B14007I_013EA,B14007I_013MA,B14007I_014MA,B14007I_014EA,B14007I_015MA,B14007I_015EA,B14007I_016EA,B14007I_016MA,B14007I_017EA,B14007I_017MA,B14007I_018EA,B14007I_018MA,B14007I_019MA,B14007I_019EA,state
0400000US01,168174,2881,51782,2814,2892,880,4857,1469,3339,938,5168,1585,3066,854,3780,1009,4255,1237,2072,729,3180,1052,2236,859,2093,745,2490,896,2656,923,2126,859,6174,1270,1398,663,116392,2799,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37624,1567,13496,1281,678,469,1067,512,320,266,517,436,757,401,1025,386,711,332,1061,652,587,340,1082,490,634,374,730,279,780,276,604,343,2314,791,629,378,24128,1942,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1782475,4075,638910,7875,23945,2710,38159,4074,34503,3079,39402,2918,39474,3426,42427,3465,38183,3402,43573,3335,36491,3257,40483,3264,35010,3068,40346,3248,33959,3042,37303,3321,105479,5982,10173,1771,1143565,8739,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,169829,2218,62335,3426,6180,1356,4101,1087,3370,923,3929,1081,4712,1111,5581,1146,3215,870,3804,952,2445,780,4165,1220,3445,978,3061,770,3948,1031,3228,1151,6124,1548,1027,629,107494,3423,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13298250,11978,4768434,23624,260512,9724,269183,8070,266919,8069,263944,8726,262585,8438,259053,7270,269057,8120,259217,8364,254968,7631,262399,8390,269991,9385,278283,9000,284183,6853,320429,10373,901861,16867,85850,4846,8529816,21826,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,980789,2874,348389,5487,24615,2448,20960,2469,21733,2560,22236,2168,22221,2630,22406,2471,23276,2593,18303,2180,19758,2315,19858,2066,17591,1788,17431,1875,16822,2244,22166,2200,53817,3778,5196,1154,632400,5319,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,454852,1657,156474,3418,11522,1449,8747,1335,8161,1281,10817,1831,8449,1684,8950,1491,8710,1516,9734,1576,8628,1474,8401,1576,10962,1561,8668,1325,7959,1457,10746,1562,22241,2121,3779,855,298378,3157,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69867,611,26348,1959,2760,972,2508,796,1116,533,1986,711,1522,637,1395,657,1167,550,1437,654,917,432,993,500,1458,649,2310,806,1588,615,854,433,3651,1291,686,516,43519,1799,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52929,510,15980,1501,1436,617,982,439,756,442,341,275,630,453,1231,643,373,273,347,309,562,430,477,287,778,579,591,534,991,862,921,605,3159,1039,2405,977,36949,1521,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4068105,5804,1185280,13631,69668,4653,63036,4773,56476,4589,60104,4826,64537,4181,65492,3969,63713,4416,62418,4674,58367,4601,60421,4133,61963,4741,60961,4020,57093,3947,67406,4934,271577,10024,42048,4500,2882825,13376,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,792489,2920,263039,6354,17093,2250,19821,3177,20541,2765,19053,2749,20339,2660,18308,2425,16187,2107,13770,2050,12611,1882,15392,2387,13914,1816,13071,1996,10402,1668,15111,2950,33098,3651,4328,1333,529450,5978,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,111513,1097,43536,2057,2190,615,4031,986,2012,771,3681,1136,2556,912,1885,695,2202,824,1953,656,1837,826,1841,790,2383,810,1911,781,1757,597,1730,735,9683,1400,1884,735,67977,2102,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,163109,1397,62496,2048,4304,936,4735,1223,4576,990,3482,840,4332,921,3383,918,3768,1028,3899,925,3118,771,3926,1168,3432,791,3495,999,2457,595,3298,844,9294,1583,997,491,100613,2204,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1912921,3920,688572,6871,50167,3759,42267,3339,38598,3816,44914,3450,41582,3626,40899,3353,41356,3907,39619,3586,38137,3476,37440,3060,39007,3061,38785,2826,36754,2647,34799,2989,108751,5226,15497,1859,1224349,7184,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,361580,2128,136865,3399,9557,1583,7301,1371,8490,1605,10026,1516,7867,1313,9007,1529,7848,1301,8402,1527,9012,1661,7135,1339,6479,1198,8175,1267,5852,1086,7884,1639,20133,2577,3697,960,224715,3679,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,139370,1537,55821,2396,3191,837,3831,1072,3576,897,3134,860,2666,728,2569,706,3594,790,3265,773,4280,961,3260,923,3191,893,3338,1033,2873,914,3326,855,8944,1543,783,385,83549,2570,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,279371,1915,111165,3436,9257,1432,8306,1417,6973,1310,7770,1499,8015,1594,5584,1084,5594,1007,7072,1270,6655,1295,5068,920,6549,1131,5454,1112,5848,1063,5308,1251,16142,2189,1570,702,168206,2853,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,122362,3137,42782,2665,4270,1052,3166,702,3082,924,3592,1019,3254,944,2057,736,2017,703,1818,652,2431,751,2346,692,3342,898,1838,747,1844,756,2055,947,4958,1140,712,435,79580,3239,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,180721,1957,49367,3511,4260,1073,3742,994,2613,871,2978,824,2072,663,2823,898,2681,850,3705,957,2449,820,2439,861,1679,859,1963,771,2637,991,1994,802,8997,1854,2335,817,131354,3077,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,15214,904,6481,1166,502,316,116,165,204,209,209,210,315,222,574,315,223,225,524,238,213,163,472,257,116,175,229,229,318,298,820,531,1616,589,30,40,8733,996,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,443800,2007,139957,3948,10251,1525,10712,1849,8451,1798,8285,1677,8738,1363,7286,1474,6420,1278,6809,1344,4930,1043,8725,1703,7661,1675,6973,1342,6436,1325,7292,1647,26361,2932,4627,1159,303843,3880,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,592491,2126,214609,4839,12724,1605,13737,1839,12685,1971,12168,1779,9562,1620,11496,1494,12242,1719,10830,1705,10414,1746,12783,2055,12430,1758,11276,1664,8803,1494,14028,1810,41775,3410,7656,1363,377882,5145,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
