GEO_ID,B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,NAME,B13002F_001EA,B13002F_001MA,B13002F_002MA,B13002F_002EA,B13002F_003EA,B13002F_003MA,B13002F_004EA,B13002F_004MA,B13002F_005EA,B13002F_005MA,B13002F_006MA,B13002F_006EA,B13002F_007MA,B13002F_007EA,state
0400000US01,12379,2045,1598,743,1081,564,517,441,10781,1794,6662,1416,4119,1156,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2039,738,157,170,157,170,0,246,1882,715,1144,543,738,473,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,117705,8308,9346,1810,4653,1126,4693,1199,108359,7591,50641,4694,57718,5135,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18228,2038,1197,636,1071,602,126,191,17031,2173,8865,1456,8166,1768,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1388775,19322,99916,5785,56592,4381,43324,4352,1288859,20236,562677,12612,726182,16186,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,74036,4793,6622,1665,4358,1257,2264,890,67414,4447,32241,3064,35173,3177,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,58470,3990,3587,1019,1773,769,1814,749,54883,3914,18421,2152,36462,3610,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5415,1614,150,159,89,104,61,116,5265,1625,2118,762,3147,1194,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4710,1410,607,532,208,278,399,451,4103,1367,1749,814,2354,1199,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,139410,8509,10260,1988,5376,1270,4884,1628,129150,8125,58300,4858,70850,5609,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,82997,5387,7570,1657,4913,1259,2657,1060,75427,4988,39365,3131,36062,3720,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4250,1202,381,366,0,275,381,366,3869,1070,2332,773,1537,786,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
