GEO_ID,C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,NAME,C25055_001MA,C25055_001EA,C25055_002EA,C25055_002MA,C25055_003EA,C25055_003MA,C25055_004MA,C25055_004EA,C25055_005EA,C25055_005MA,state
0400000US01,481342,9568,373288,9155,55701,3584,27375,1977,24978,2285,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,80747,3423,65608,2933,9499,1255,3285,791,2355,753,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,771464,14024,605188,13163,86739,4674,40696,3463,38841,2971,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,324621,7955,251755,7430,36861,2742,16730,1873,19275,1665,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5333141,25815,4099972,22560,630689,11715,308174,7840,294306,5948,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,641323,11724,514197,10327,64035,3745,28338,2223,34753,2216,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,418277,8909,300562,6879,51368,3389,29843,2221,36504,2656,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84447,4057,65196,3603,8418,1379,5736,894,5097,945,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,140494,4968,105998,4699,16726,1829,9582,1126,8188,1138,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2122474,20235,1586533,20396,258149,7756,131702,4987,146090,5114,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1100624,13774,883370,13189,118999,6102,54280,3604,43975,3317,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,174698,5350,124969,4300,25530,1946,13293,1636,10906,1521,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,163288,5081,128745,5266,17027,2001,7529,1345,9987,1416,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1466636,13003,1109899,14600,165657,6746,89282,4113,101798,4658,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,685629,9292,523811,8619,75345,4082,40582,3060,45891,2445,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,315499,6705,236014,5994,30213,2245,17823,1792,31449,2340,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,330148,6881,252863,6689,33046,2197,18067,1649,26172,1960,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,477420,10921,371710,9458,55704,3333,25874,2160,24132,1878,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,493147,11579,389563,10444,58047,2857,25886,2474,19651,2028,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,137968,5508,95391,4578,18839,1955,11090,1466,12648,1698,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,674212,10857,508074,8897,77459,4091,40934,2886,47745,2982,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,918330,10625,655750,9767,109835,4917,69135,3752,83610,3574,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,978383,12412,723177,10391,115425,5028,58933,3264,80848,3163,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,538519,8009,395888,7581,54039,3423,29706,2530,58886,2822,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,285593,6853,224455,5542,30325,2553,17145,2070,13668,1828,Mississippi,null,null,null,null,null,null,null,null,null,null,28
