GEO_ID,C27001_001E,C27001_001M,C27001_002E,C27001_002M,C27001_003E,C27001_003M,C27001_004E,C27001_004M,C27001_005E,C27001_005M,C27001_006E,C27001_006M,C27001_007E,C27001_007M,C27001_008E,C27001_008M,C27001_009E,C27001_009M,C27001_010E,C27001_010M,C27001_011E,C27001_011M,C27001_012E,C27001_012M,C27001_013E,C27001_013M,C27001_014E,C27001_014M,C27001_015E,C27001_015M,C27001_016E,C27001_016M,C27001_017E,C27001_017M,C27001_018E,C27001_018M,C27001_019E,C27001_019M,C27001_020E,C27001_020M,C27001_021E,C27001_021M,NAME,C27001_001EA,C27001_001MA,C27001_002EA,C27001_002MA,C27001_003EA,C27001_003MA,C27001_004MA,C27001_004EA,C27001_005MA,C27001_005EA,C27001_006EA,C27001_006MA,C27001_007EA,C27001_007MA,C27001_008MA,C27001_008EA,C27001_009MA,C27001_009EA,C27001_010MA,C27001_010EA,C27001_011MA,C27001_011EA,C27001_012EA,C27001_012MA,C27001_013EA,C27001_013MA,C27001_014MA,C27001_014EA,C27001_015EA,C27001_015MA,C27001_016MA,C27001_016EA,C27001_017EA,C27001_017MA,C27001_018EA,C27001_018MA,C27001_019EA,C27001_019MA,C27001_020MA,C27001_020EA,C27001_021EA,C27001_021MA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,544395,4870,36014,4352,1411696,4278,1083628,9717,328068,9101,272177,2147,271206,2036,971,599,2438487,5571,553229,3838,522285,4964,30944,3915,1519840,3855,1230193,8869,289647,8459,365418,2200,364470,2154,948,584,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,86334,2485,11733,1753,228051,1873,164498,4073,63553,4227,25002,744,24384,741,618,423,338129,1869,89917,1576,78807,2314,11110,2006,221384,1182,172114,3269,49270,3083,26828,631,26272,659,556,365,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,730931,6932,104418,6628,1869504,3564,1408181,11517,461323,11549,400532,1319,396240,1794,4292,1121,3204789,3753,794582,2245,691033,7510,103549,7428,1935179,2604,1549075,11119,386104,10478,475028,1801,469582,2178,5446,1444,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,334700,4611,25367,3284,855780,5332,618869,8103,236911,8294,179686,1735,179409,1757,277,190,1472078,6426,349307,3824,328179,4922,21128,3159,897653,5403,681432,9223,216221,7840,225118,1959,224409,2012,709,576,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,4326669,12485,422531,12291,11577968,9176,8299990,31571,3277978,31237,1825311,3391,1793822,4682,31489,3348,18663090,7973,4539491,3888,4129270,12833,410221,12559,11771939,6474,9129349,25353,2642590,25400,2351660,4990,2311556,5619,40104,3388,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,566221,6644,63618,5672,1592801,5038,1222761,10593,370040,9953,239600,1431,238620,1545,980,495,2494633,6292,596369,3090,535859,5509,60510,5363,1601729,4414,1309810,10337,291919,9843,296535,1791,294493,1877,2042,726,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,405421,2385,10724,1824,1080650,1981,907296,6662,173354,6643,207322,1165,205146,1538,2176,932,1815796,2076,398865,1282,385475,2514,13390,2398,1139428,1712,1021353,6639,118075,6696,277503,1289,275089,1486,2414,670,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,99524,2067,5959,1693,265250,1178,221197,3310,44053,3324,55472,575,55416,581,56,69,459027,1568,100563,969,95510,1731,5053,1336,288519,1142,257978,3600,30541,3368,69945,566,69806,591,139,139,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,49597,936,1622,707,200415,1083,174503,3311,25912,3255,26736,414,26398,440,338,251,315912,1126,49771,582,49084,728,687,386,225760,797,209736,2061,16024,1902,40381,1099,39800,1055,581,503,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,1781632,12959,258793,12408,5503186,7114,3691848,25042,1811338,24072,1435899,3228,1418837,4112,17062,2381,9554571,6409,1949822,4738,1701681,10640,248141,10516,5832093,4854,4255217,23346,1576876,22700,1772656,3805,1743806,4762,28850,2942,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9519836,3059,4595689,7668,1275569,5860,1147840,8882,127729,8231,2892009,5853,2035754,14068,856255,14768,428111,2684,423683,2996,4428,1444,4924147,7623,1216712,5971,1100437,9073,116275,7304,3132018,4795,2368242,17578,763776,16705,575417,2855,568314,2966,7103,1418,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1315677,2309,644535,2929,157018,1400,150804,2138,6214,1668,401038,2613,349205,4355,51833,3537,86479,787,85325,961,1154,670,671142,2158,146643,1457,141741,2185,4902,1459,417143,1667,379385,3831,37758,3340,107356,775,105453,1000,1903,698,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1551635,954,772179,3023,220549,2348,198599,3224,21950,2785,462624,2563,341437,5376,121187,5298,89006,994,88936,993,70,93,779456,2944,207747,2192,184693,3891,23054,3486,467688,2234,358800,5380,108888,4996,104021,1142,103766,1174,255,229,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12673245,2432,6188379,6646,1595153,3906,1521094,6995,74059,6216,3934540,6093,3039986,17621,894554,15387,658686,2796,651387,3111,7299,1143,6484866,6072,1526566,3510,1460520,5500,66046,4639,4067203,4614,3376446,13527,690757,13620,891097,3005,878256,2995,12841,1935,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
