GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001MA,C08128_001EA,C08128_002MA,C08128_002EA,C08128_003EA,C08128_003MA,C08128_004EA,C08128_004MA,C08128_005EA,C08128_005MA,C08128_006EA,C08128_006MA,C08128_007MA,C08128_007EA,C08128_008MA,C08128_008EA,C08128_009EA,C08128_009MA,C08128_010MA,C08128_010EA,C08128_011EA,C08128_011MA,C08128_012MA,C08128_012EA,C08128_013MA,C08128_013EA,C08128_014EA,C08128_014MA,C08128_015MA,C08128_015EA,C08128_016MA,C08128_016EA,C08128_017EA,C08128_017MA,C08128_018MA,C08128_018EA,C08128_019EA,C08128_019MA,C08128_020EA,C08128_020MA,C08128_021MA,C08128_021EA,C08128_022MA,C08128_022EA,C08128_023MA,C08128_023EA,C08128_024EA,C08128_024MA,C08128_025EA,C08128_025MA,C08128_026EA,C08128_026MA,C08128_027MA,C08128_027EA,C08128_028EA,C08128_028MA,C08128_029EA,C08128_029MA,C08128_030MA,C08128_030EA,state
0400000US01,1951769,16535,1501009,14438,343408,10464,105471,5444,1881,760,1648706,17854,1278853,16108,296961,9794,72051,4283,841,446,195292,9369,152839,7766,31064,3601,10977,2180,412,343,7964,2010,5965,1704,1448,654,551,397,0,273,44025,3838,29909,3467,9187,1931,4913,1089,16,30,55782,4508,33443,3256,4748,1406,16979,2599,612,435,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,343424,5810,216685,6307,107245,4785,18518,1993,976,681,230116,5965,144344,5438,76437,4384,9032,1204,303,320,45376,4438,29111,3412,15011,2279,1099,495,155,173,4034,1011,2813,869,1221,531,0,246,0,246,45093,2792,29728,2481,12085,1519,3147,870,133,130,18805,3141,10689,2115,2491,1756,5240,1005,385,526,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2621839,20723,2039854,19901,423163,10130,155479,7706,3343,1319,2005289,19912,1582913,18130,333288,9033,87688,6009,1400,880,305162,11371,239793,10017,50351,3930,14425,2304,593,364,46829,4262,37421,3866,7820,1344,1588,799,0,305,113670,6737,83870,6266,22939,2967,6570,1455,291,305,150889,6705,95857,5500,8765,1517,45208,3941,1059,661,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1225968,11423,928414,11405,217974,7284,77590,4547,1990,683,1005284,11655,773880,11456,182280,7065,47738,3684,1386,642,138346,6434,103999,6214,24967,2682,9298,1698,82,127,6058,1619,4255,1290,1685,717,118,152,0,273,40021,4352,27168,3930,6285,1250,6457,1388,111,136,36259,3465,19112,2306,2757,933,13979,2321,411,242,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15921475,45956,12114075,45627,2459417,28886,1325204,23827,22779,3211,11650145,48881,9011889,47713,1856568,22748,770689,15320,10999,1753,1831538,25012,1414578,21658,268245,11186,143862,7626,4853,1548,820349,17602,663789,16492,112309,5217,43844,4246,407,303,795138,16954,599225,15374,131461,6002,63686,5045,766,420,824305,17515,424594,12468,90834,6284,303123,11298,5754,1506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2428102,16248,1867521,14162,385681,10290,171688,6753,3212,1366,1832425,17344,1432692,15141,300517,9288,97311,4659,1905,1183,243835,10203,187869,8787,39406,3481,16041,1984,519,436,71917,4654,58641,4496,11472,1454,1804,792,0,279,124793,7000,86029,5653,28513,3223,9880,1953,371,360,155132,7501,102290,5831,5773,1242,46652,3154,417,300,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1707618,10144,1351332,12154,242029,7312,112536,5809,1721,807,1360587,13792,1078563,13822,209178,6744,71807,4098,1039,707,135921,6670,111236,6135,13840,2038,10719,2261,126,145,76791,5513,68990,4952,5903,1868,1898,714,0,281,67104,4740,52925,4150,9869,1604,3965,892,345,261,67215,4129,39618,2836,3239,1076,24147,2556,211,186,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,404044,6800,326067,7219,62273,3890,15324,1980,380,396,324776,7163,262815,7196,52959,3610,8685,1516,317,382,38268,3154,30857,2891,6085,1275,1326,588,0,265,12113,1864,10471,1834,1578,618,64,108,0,265,14125,2144,11900,1941,1287,546,938,557,0,265,14762,1986,10024,1610,364,220,4311,1088,63,104,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,296717,5055,199918,5378,83120,4710,13493,1516,186,217,103239,4438,70151,3602,28505,2781,4583,988,0,292,17630,2165,12270,1825,4761,1127,599,423,0,292,113648,5057,75572,4614,36367,3115,1638,641,71,117,47330,4016,34270,3379,11301,2006,1759,528,0,292,14870,2071,7655,1425,2186,1012,4914,1217,115,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7865975,28271,6299951,31832,1095330,15993,461082,13161,9612,1823,6286833,33757,5066836,34536,931205,15799,283325,10941,5467,1402,757260,18804,614041,18068,96797,4836,44306,4156,2116,807,161012,10861,132677,10301,14546,2362,13734,2552,55,94,298039,13310,247232,11986,28643,3096,21453,3103,711,391,362831,11267,239165,8835,24139,3306,98264,5609,1263,553,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
