GEO_ID,B13001_001E,B13001_001M,B13001_002E,B13001_002M,B13001_003E,B13001_003M,B13001_004E,B13001_004M,B13001_005E,B13001_005M,B13001_006E,B13001_006M,B13001_007E,B13001_007M,B13001_008E,B13001_008M,B13001_009E,B13001_009M,NAME,B13001_001MA,B13001_001EA,B13001_002EA,B13001_002MA,B13001_003EA,B13001_003MA,B13001_004MA,B13001_004EA,B13001_005EA,B13001_005MA,B13001_006MA,B13001_006EA,B13001_007EA,B13001_007MA,B13001_008MA,B13001_008EA,B13001_009MA,B13001_009EA,state
0400000US01,1174012,4189,543161,10370,3761,952,200237,6009,339163,7171,630851,10849,164133,3372,279124,6731,187594,7123,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177281,1793,90092,3397,953,513,35597,2125,53542,2339,87189,3534,24117,1509,38796,2365,24276,2319,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1527153,3857,705637,9685,4991,1374,264795,7459,435851,6996,821516,10243,217466,2517,371010,7176,233040,6709,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,697187,4255,342929,6665,3831,1077,132641,5012,206457,5081,354258,6544,99899,3672,150207,5771,104152,4310,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9517677,8957,4314355,23743,24454,3011,1483313,14296,2806588,19009,5203322,23198,1341635,5400,2453750,13267,1407937,17922,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1257790,4477,622825,9607,3792,1203,227639,6118,391394,6101,634965,9805,161783,3219,293511,6073,179671,6334,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,872153,2859,390331,7325,1130,553,108784,4418,280417,5461,481822,7415,120538,1565,214228,4654,147056,5414,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221127,1577,95783,3649,272,343,30197,2429,65314,2732,125344,3753,33558,1266,55787,2592,35999,2737,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,186080,1077,42052,2865,82,137,16568,2073,25402,1731,144028,3048,22010,1308,83589,2627,38429,1884,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418652,6592,1947529,20106,9520,1601,616636,13070,1321373,13096,2471123,20085,588172,5952,1117870,12886,765081,12636,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2520143,7529,1170281,12108,5178,1285,412876,8172,752227,10021,1349862,12565,343962,5851,596934,9557,408966,10024,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,318515,1552,152456,4007,1418,738,54120,2987,96918,3022,166059,4036,38487,1551,78859,2814,48713,2948,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,371571,2541,197401,4680,2259,832,83571,3464,111571,3692,174170,5489,53738,2078,73541,3879,46891,3399,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3214234,7146,1452642,11807,4508,1275,480661,8239,967473,8683,1761592,11995,450878,6357,833895,9126,476819,8340,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1574955,3955,738816,10075,3029,843,266776,6867,469011,7577,836139,9357,225599,3607,368911,6443,241629,6650,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,711187,3580,355562,5848,1787,739,133944,4033,219831,4148,355625,6884,106011,3182,158705,4579,90909,3775,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,680705,3081,339671,6661,1192,481,129471,4556,209008,5184,341034,7085,99138,4065,152735,5002,89161,4572,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1055142,4131,520764,9259,2970,975,193132,5790,324662,6787,534378,9211,139974,3298,233585,5975,160819,5597,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
