GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001MA,C23002F_001EA,C23002F_002MA,C23002F_002EA,C23002F_003MA,C23002F_003EA,C23002F_004MA,C23002F_004EA,C23002F_005EA,C23002F_005MA,C23002F_006EA,C23002F_006MA,C23002F_007MA,C23002F_007EA,C23002F_008MA,C23002F_008EA,C23002F_009EA,C23002F_009MA,C23002F_010EA,C23002F_010MA,C23002F_011MA,C23002F_011EA,C23002F_012EA,C23002F_012MA,C23002F_013MA,C23002F_013EA,C23002F_014MA,C23002F_014EA,C23002F_015EA,C23002F_015MA,C23002F_016EA,C23002F_016MA,C23002F_017MA,C23002F_017EA,C23002F_018MA,C23002F_018EA,C23002F_019MA,C23002F_019EA,C23002F_020EA,C23002F_020MA,C23002F_021EA,C23002F_021MA,C23002F_022MA,C23002F_022EA,C23002F_023MA,C23002F_023EA,C23002F_024MA,C23002F_024EA,C23002F_025MA,C23002F_025EA,C23002F_026EA,C23002F_026MA,C23002F_027EA,C23002F_027MA,state
0400000US01,34381,4506,20716,3151,20293,3116,18754,3123,34,70,18720,3131,16878,3058,1842,897,1539,571,423,291,48,57,48,57,0,273,375,286,13665,2151,13177,2129,7854,1576,131,163,7723,1538,7273,1569,450,435,5323,1337,488,305,92,128,92,128,0,273,396,276,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,288726,15688,144130,8649,134799,8335,102311,6795,666,535,101645,6766,83449,6532,18196,2557,32488,4107,9331,1545,1579,693,1399,673,180,223,7752,1452,144596,8561,134175,8154,86296,6458,147,240,86149,6471,70800,5705,15349,2791,47879,4565,10421,1612,1460,606,1353,595,107,125,8961,1478,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41612,4456,21338,2928,20938,2920,18486,2671,60,107,18426,2681,16836,2677,1590,714,2452,814,400,267,131,165,131,165,0,273,269,236,20274,2240,19320,2113,10797,1911,0,273,10797,1911,9465,1754,1332,728,8523,1540,954,577,0,273,0,273,0,273,954,577,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3495358,48055,1781506,29505,1695655,28854,1365727,27861,5840,1188,1359887,27747,1172559,25009,187328,8910,329928,9491,85851,4295,19451,2451,17275,2373,2176,737,66400,4115,1713852,23097,1595545,21363,1006518,19096,1007,629,1005511,19131,844527,18146,160984,7986,589027,12717,118307,4663,11836,1928,10430,1892,1406,538,106471,4359,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,192481,10079,101590,5719,96250,5439,81972,5299,512,470,81460,5202,69285,5091,12175,1989,14278,2302,5340,1261,1603,758,1444,739,159,154,3737,1091,90891,5616,85188,5397,56572,4181,0,279,56572,4181,47218,3951,9354,2017,28616,3402,5703,1163,641,375,513,324,128,150,5062,1160,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,140396,7965,71210,4936,68406,4795,53036,4930,260,241,52776,4902,43442,4279,9334,1744,15370,2281,2804,787,1516,651,1426,642,90,150,1288,533,69186,4197,65537,3996,45001,3503,0,281,45001,3503,35944,3193,9057,1873,20536,2479,3649,1086,392,382,392,382,0,281,3257,1052,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13376,2813,7684,1798,7315,1745,5848,1422,147,84,5701,1426,4689,1289,1012,508,1467,859,369,233,307,252,307,252,0,292,62,102,5692,1528,5539,1527,4135,1236,41,60,4094,1216,3378,1091,716,413,1404,927,153,149,45,81,45,81,0,292,108,124,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,375365,19945,199769,12912,186670,12735,151436,12130,430,418,151006,12129,131236,11234,19770,3227,35234,3738,13099,2448,3806,1193,3134,1004,672,538,9293,2050,175596,9890,160660,9106,105048,7379,152,184,104896,7357,91526,6783,13370,1973,55612,5439,14936,2465,2067,999,1862,965,205,197,12869,2238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
