GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001EA,B13002I_001MA,B13002I_002MA,B13002I_002EA,B13002I_003EA,B13002I_003MA,B13002I_004EA,B13002I_004MA,B13002I_005MA,B13002I_005EA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US01,46981,2009,4854,1520,2403,936,2451,1097,42127,2204,23163,2201,18964,2303,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9868,736,884,394,522,319,362,285,8984,896,4368,712,4616,701,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,509324,2086,36587,3235,19140,2351,17447,2360,472737,3731,215796,6673,256941,6015,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47895,1973,2951,1056,2525,1018,426,308,44944,2122,21178,1979,23766,2407,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3847512,4497,254107,8988,143407,7263,110700,6881,3593405,10469,1584072,15228,2009333,15934,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,275548,2154,20419,2477,12471,1679,7948,1490,255129,3003,116789,4802,138340,4694,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,138007,1120,8956,1497,4196,1178,4760,1153,129051,1816,48596,3097,80455,3195,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19860,684,761,369,342,226,419,288,19099,778,8860,1217,10239,1203,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16623,502,1006,713,320,315,686,606,15617,877,5431,985,10186,1243,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1141169,3506,61923,4865,37774,3841,24149,3246,1079246,6314,503834,8886,575412,9858,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
