GEO_ID,C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,C17002_005E,C17002_005M,C17002_006E,C17002_006M,C17002_007E,C17002_007M,C17002_008E,C17002_008M,NAME,C17002_001EA,C17002_001MA,C17002_002MA,C17002_002EA,C17002_003EA,C17002_003MA,C17002_004EA,C17002_004MA,C17002_005MA,C17002_005EA,C17002_006MA,C17002_006EA,C17002_007EA,C17002_007MA,C17002_008EA,C17002_008MA,state
0400000US01,4666970,2567,380317,15567,507973,18672,269227,14269,263338,13701,331245,17874,130847,10622,2784023,30712,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696822,1573,28642,3910,40637,4961,28844,3896,29751,4381,40518,5132,15785,3205,512645,9549,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6272686,3673,518499,23574,575750,23176,382501,19176,351807,19020,448859,21717,161212,12641,3834058,38234,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2839798,2045,221777,10162,313121,15193,173406,12017,180403,11354,237339,14103,78272,7040,1635480,19000,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36593372,8519,2501263,54253,3281780,61635,1946590,46042,1889854,43847,2596232,54701,953728,31301,23423925,86067,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934178,2454,297920,13549,361866,17919,220458,14221,208283,15042,312341,18645,109974,10470,3423336,24844,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3466977,2302,164365,12705,185780,13029,105683,8962,112480,10195,166385,11116,66416,7323,2665868,23189,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,874321,1107,46917,5378,56510,7248,24643,4332,38774,6780,57706,6349,18665,4354,631106,13967,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,570953,564,60988,6401,48435,5203,18777,3619,22188,4052,28136,5366,9471,2669,382958,8642,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18436788,6230,1356324,36158,1691019,38490,983490,32219,978004,29550,1428969,38191,495759,22228,11503223,60126,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
