GEO_ID,C08505G_001E,C08505G_001M,C08505G_002E,C08505G_002M,C08505G_003E,C08505G_003M,C08505G_004E,C08505G_004M,C08505G_005E,C08505G_005M,C08505G_006E,C08505G_006M,NAME,C08505G_001MA,C08505G_001EA,C08505G_002EA,C08505G_002MA,C08505G_003EA,C08505G_003MA,C08505G_004MA,C08505G_004EA,C08505G_005MA,C08505G_005EA,C08505G_006EA,C08505G_006MA,state
0400000US01,17950,2370,13656,1786,3101,1075,0,273,762,439,431,321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16466,2271,10342,1735,3276,987,245,187,2028,609,575,302,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,47675,3914,36032,3340,6107,1461,1445,748,2519,886,1572,648,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16068,2121,13139,1756,1913,1075,150,291,481,322,385,288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,501406,13032,360954,10730,62940,5121,26240,3134,24931,2753,26341,2785,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,56127,3921,42390,3620,5129,1329,2912,930,2848,835,2848,1001,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28370,2987,20980,2650,2764,954,1080,509,2715,1003,831,432,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6161,1281,4978,1214,773,498,0,273,46,71,364,309,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17365,2151,8704,1605,1894,549,5287,1120,1397,728,83,135,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,131241,7789,99665,7135,16491,2966,2143,858,8037,1985,4905,1285,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46444,4058,35685,3485,5052,1314,980,581,2521,1055,2206,778,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125770,6094,87232,5016,19116,2659,6514,1287,7508,1628,5400,1549,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9884,1638,8280,1547,716,413,59,101,453,274,376,267,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,71263,5632,47068,4170,7834,1790,7851,1470,4896,1120,3614,956,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,32168,3646,24146,3188,5063,1368,543,290,1951,711,465,279,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,14811,1987,9050,1486,2891,958,657,512,1690,954,523,355,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25428,2693,18143,2459,4834,1385,400,333,1533,599,518,261,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17243,2375,12888,1958,2614,894,279,240,446,261,1016,678,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22862,2456,16524,2023,3282,1107,641,500,2161,1166,254,224,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6378,1188,5384,1140,676,366,58,78,154,129,106,115,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,46293,4223,33038,3764,5845,1338,3486,1036,2147,834,1777,732,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,69500,6507,36437,3570,9115,2467,13840,3098,7855,2361,2253,882,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,59883,3650,44447,3270,6830,1252,1923,637,4674,1343,2009,662,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
