GEO_ID,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M,NAME,C24010I_001MA,C24010I_001EA,C24010I_002MA,C24010I_002EA,C24010I_003EA,C24010I_003MA,C24010I_004EA,C24010I_004MA,C24010I_005EA,C24010I_005MA,C24010I_006EA,C24010I_006MA,C24010I_007MA,C24010I_007EA,C24010I_008MA,C24010I_008EA,C24010I_009EA,C24010I_009MA,C24010I_010MA,C24010I_010EA,C24010I_011EA,C24010I_011MA,C24010I_012MA,C24010I_012EA,C24010I_013MA,C24010I_013EA,state
0400000US01,80327,3382,54193,2635,4833,1176,7956,1817,2675,921,25861,2494,12868,2427,26134,2571,4272,1045,8378,1711,6229,1485,838,834,6417,1852,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17702,1964,9949,1811,1625,589,1701,731,1483,562,2037,905,3103,1578,7753,850,2545,794,1672,552,2814,792,219,231,503,421,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,702188,12057,378932,7688,59856,4333,91014,7231,58775,4765,96511,5772,72776,5009,323256,8367,81089,5188,103077,6438,112443,6186,3695,1221,22952,3126,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,74683,2721,48802,2393,5837,1190,9893,2296,3938,1225,16384,2864,12750,1862,25881,2516,3754,1079,7033,1343,7108,1532,667,298,7319,1379,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5629286,25309,3213212,17431,456429,11589,692477,14850,520019,13032,794357,17783,749930,13721,2416074,17700,548025,13100,739397,13874,815818,12839,77398,5036,235436,8246,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,420076,7316,233533,5416,38550,2890,47296,4285,35014,3303,66075,5493,46598,3415,186543,5026,45599,3388,67440,4809,58692,3105,1612,704,13200,1847,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,200623,4675,106140,3031,16788,2145,36345,3690,14977,2141,17802,2732,20228,2186,94483,3402,20527,2219,32138,3036,30059,2851,659,412,11100,1781,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31078,1733,18019,1032,2027,698,4047,1030,2204,865,6594,1521,3147,1024,13059,1494,4024,1343,3772,1137,3111,844,361,409,1791,534,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30521,2192,17370,1183,6954,1380,4838,1424,1124,757,2904,1010,1550,617,13151,1601,5397,1033,5916,1471,1699,836,0,292,139,219,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1856973,14809,1006379,10838,209553,7559,215458,9240,189599,9071,229359,12075,162410,8092,850594,11555,241099,8907,233062,8608,310265,9215,15419,2956,50749,4599,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,349907,8265,230051,5335,24927,2905,52228,5337,20289,2892,88282,6480,44325,3578,119856,5671,26010,2830,42111,4378,30592,3194,2810,1061,18333,2591,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,43873,2448,21845,1509,5387,1077,4476,939,2815,897,7221,1412,1946,788,22028,1680,5802,1221,5699,1253,9500,1648,293,330,734,476,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,67141,2681,37967,1883,4237,1062,5669,1337,4289,1172,13812,1980,9960,1655,29174,1834,5699,1269,9061,1654,6764,1485,2535,959,5115,1202,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,853672,10507,498499,7469,62729,4276,131201,8121,72739,5361,79999,4869,151831,7045,355173,7508,76228,4783,97396,5922,115515,5704,2201,852,63833,4220,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
