GEO_ID,B25087_001E,B25087_001M,B25087_002E,B25087_002M,B25087_003E,B25087_003M,B25087_004E,B25087_004M,B25087_005E,B25087_005M,B25087_006E,B25087_006M,B25087_007E,B25087_007M,B25087_008E,B25087_008M,B25087_009E,B25087_009M,B25087_010E,B25087_010M,B25087_011E,B25087_011M,B25087_012E,B25087_012M,B25087_013E,B25087_013M,B25087_014E,B25087_014M,B25087_015E,B25087_015M,B25087_016E,B25087_016M,B25087_017E,B25087_017M,B25087_018E,B25087_018M,B25087_019E,B25087_019M,B25087_020E,B25087_020M,B25087_021E,B25087_021M,B25087_022E,B25087_022M,B25087_023E,B25087_023M,B25087_024E,B25087_024M,B25087_025E,B25087_025M,B25087_026E,B25087_026M,B25087_027E,B25087_027M,B25087_028E,B25087_028M,B25087_029E,B25087_029M,NAME,B25087_001MA,B25087_001EA,B25087_002EA,B25087_002MA,B25087_003MA,B25087_003EA,B25087_004EA,B25087_004MA,B25087_005MA,B25087_005EA,B25087_006EA,B25087_006MA,B25087_007EA,B25087_007MA,B25087_008MA,B25087_008EA,B25087_009EA,B25087_009MA,B25087_010EA,B25087_010MA,B25087_011MA,B25087_011EA,B25087_012MA,B25087_012EA,B25087_013MA,B25087_013EA,B25087_014MA,B25087_014EA,B25087_015EA,B25087_015MA,B25087_016MA,B25087_016EA,B25087_017MA,B25087_017EA,B25087_018EA,B25087_018MA,B25087_019MA,B25087_019EA,B25087_020MA,B25087_020EA,B25087_021EA,B25087_021MA,B25087_022EA,B25087_022MA,B25087_023EA,B25087_023MA,B25087_024EA,B25087_024MA,B25087_025EA,B25087_025MA,B25087_026MA,B25087_026EA,B25087_027EA,B25087_027MA,B25087_028EA,B25087_028MA,B25087_029MA,B25087_029EA,state
0400000US01,1272846,12811,774408,11811,236,259,1828,598,8824,1442,18565,1898,35388,2864,46727,3212,64816,3943,66175,3572,68837,4167,145893,5711,104853,5177,122044,5230,48080,3686,20710,2272,21432,1947,498438,9912,5759,1084,16769,2210,35742,2479,62678,3892,65998,4203,68253,3690,59701,3498,83265,5210,46203,3315,25055,2233,29015,2562,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,112659,3658,64,105,37,45,368,231,606,265,1537,565,2265,792,2459,731,3058,965,3790,949,11988,1857,13729,1615,30875,2545,22669,2189,10188,1634,9026,1393,50126,2618,1224,458,1676,538,1704,473,3379,962,2713,566,3819,837,3432,665,7169,1071,7606,1168,4947,991,12457,1621,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,1065003,11608,674,486,2477,764,6897,1100,12909,2095,21611,2248,30820,2939,44957,3183,50276,3726,58976,4249,174408,6586,167358,5612,246534,7860,121847,5430,57019,3911,68240,4265,457935,8752,17006,2150,20873,2949,28722,2515,44138,3609,50606,3264,51884,3784,50892,3486,77249,4613,49605,3362,27461,2539,39499,2579,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,433218,8521,186,182,2267,690,5391,1028,15919,1664,28606,2387,38724,3436,46474,3647,43050,3312,41273,2939,79506,4416,44495,3515,49938,2788,19872,2232,7802,1224,9715,1451,318350,6991,6300,1151,16196,1996,32931,2643,43165,3316,51017,3061,42747,2868,34635,2844,46153,3057,21902,2141,11312,1779,11992,1277,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,5183554,27183,1908,676,5868,1386,15050,1732,24290,2279,37881,2684,52475,3785,72260,3556,86655,4422,116070,5626,354975,8857,442669,11590,953846,13393,884615,12107,691495,12536,1443497,15539,1719621,18951,33558,2893,43621,3329,75424,3277,112773,4819,146924,5145,164881,5969,153101,6342,252393,6723,206902,6995,145602,4919,384442,10255,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,974765,10769,236,197,1335,565,4094,874,9145,1663,12023,1679,17623,2071,28983,2320,38495,3233,39033,3250,134397,5521,150712,5214,251572,6146,137602,4997,74527,3980,74988,3739,318027,6814,2556,774,7577,1221,16147,1851,26203,2216,36677,2734,42403,2510,37400,2690,58807,3041,36194,2798,20940,2321,33123,2652,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,660057,8447,0,281,116,113,265,189,1414,435,2233,678,3910,816,5688,1068,7763,1384,11940,1586,44459,3487,64509,3795,168772,5659,138968,4791,82742,4544,127278,4025,263560,6166,460,253,367,268,755,364,1406,452,2022,640,3368,827,6238,1367,17419,1753,30842,2607,40227,2621,160456,5366,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,170847,3770,71,139,171,150,714,298,2260,609,2513,754,3285,780,4375,951,6353,1268,7984,1255,24681,2524,25661,2434,46803,3002,24836,2462,11592,1578,9548,1397,69037,2701,62,74,1453,427,2102,520,6080,1173,6781,1002,6909,1188,7738,1137,12248,1384,8605,1176,6367,1103,10692,1308,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,82658,3696,52,86,243,258,248,281,313,222,363,249,739,462,809,382,1843,683,1805,566,5173,1219,7108,1198,15487,1860,12043,1415,10310,1571,26122,2163,24535,1627,779,585,101,114,436,255,1134,480,1921,533,1764,598,1757,656,2984,764,3185,740,2176,621,8298,1151,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,3064955,23728,612,316,5328,1106,15278,1914,32664,3146,57724,3253,93272,5195,120805,5521,141698,6397,166576,6176,451619,10476,439162,9320,663634,11734,383088,9663,199823,7691,293672,8579,1729175,14629,22455,2478,41846,2739,68989,3662,104681,4646,131729,6717,139614,5201,155855,5655,286674,7472,235114,6765,170071,6794,372147,8909,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
