GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001MA,B10051_001EA,B10051_002MA,B10051_002EA,B10051_003MA,B10051_003EA,B10051_004MA,B10051_004EA,B10051_005EA,B10051_005MA,B10051_006MA,B10051_006EA,B10051_007MA,B10051_007EA,B10051_008MA,B10051_008EA,B10051_009EA,B10051_009MA,B10051_010MA,B10051_010EA,B10051_011MA,B10051_011EA,state
0400000US01,123935,7326,68404,5352,26813,3368,16013,2646,10800,1720,41591,4226,29011,3149,12580,2161,55531,4620,27451,3314,28080,2988,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14025,2038,5010,953,1156,475,477,297,679,296,3854,880,2654,764,1200,417,9015,1804,4734,1276,4281,1178,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,158383,7778,67117,5150,17954,2714,7849,1838,10105,1880,49163,4425,37141,4170,12022,2221,91266,5843,48729,4530,42537,3821,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,71629,5050,40350,3546,21526,3156,13680,2495,7846,1498,18824,2756,14131,2548,4693,1070,31279,3862,18555,2777,12724,2234,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1110331,21555,300651,10345,73394,5555,33825,3996,39569,3594,227257,9658,149338,8971,77919,5467,809680,18009,368207,13669,441473,12363,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88655,6045,35485,3595,13501,2428,6836,1672,6665,1774,21984,2718,15848,2212,6136,1594,53170,4543,26513,3485,26657,3171,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72372,5579,23096,2915,7763,1582,3947,1228,3816,971,15333,2490,10836,2120,4497,1223,49276,4712,20076,3019,29200,3385,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18454,2599,7834,1704,2431,894,1265,658,1166,551,5403,1463,3559,1284,1844,659,10620,1784,5715,1392,4905,1270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10495,1984,4692,1041,1899,718,857,517,1042,481,2793,844,1892,617,901,468,5803,1445,2383,746,3420,1170,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,469239,13860,171187,8123,54992,3989,30277,3210,24715,2562,116195,6654,78188,5084,38007,4678,298052,12268,131756,8211,166296,9129,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252342,10270,115629,7711,37868,3248,20980,2433,16888,2200,77761,6515,59029,5581,18732,2584,136713,7123,68196,5477,68517,4298,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52495,4528,12069,2121,2893,1311,1607,1149,1286,652,9176,1859,5271,1260,3905,1289,40426,4084,13404,2466,27022,2990,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29140,3560,12543,2281,4763,1415,2350,942,2413,788,7780,1582,5137,1487,2643,1009,16597,2514,9805,2137,6792,1417,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,277178,10941,101951,6775,28319,2888,17179,2339,11140,1918,73632,6122,54430,4907,19202,2781,175227,8171,83382,6058,91845,6306,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,120385,5755,58959,3697,21267,2698,13102,2217,8165,1604,37692,3024,29097,2992,8595,1683,61426,4699,33008,3497,28418,2771,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36216,3273,17815,2403,6962,1442,3390,960,3572,946,10853,2070,8417,1910,2436,664,18401,2264,11299,1895,7102,1334,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,45981,3606,20250,2473,7358,1527,4076,1183,3282,896,12892,1727,9474,1574,3418,1131,25731,2749,13358,2081,12373,1888,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,90958,6211,50551,4975,19719,2929,12017,2274,7702,1461,30832,3683,22900,2968,7932,1629,40407,3795,24077,2959,16330,2397,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,131054,7282,71754,5787,23332,3371,12483,2093,10849,2192,48422,4686,35006,3940,13416,1870,59300,4599,33644,3439,25656,2961,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18421,2323,7972,1681,2893,1084,1811,846,1082,619,5079,1433,3954,1239,1125,505,10449,1624,5246,1256,5203,995,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,146413,8277,50854,4477,14186,2380,9246,2064,4940,985,36668,3816,25337,3341,11331,1875,95559,5989,43998,4126,51561,3958,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,112199,6252,31124,3651,10681,1782,5743,1389,4938,1063,20443,3031,14458,2412,5985,1511,81075,5110,30086,3219,50989,4063,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,181492,6935,72701,5040,24955,2676,12937,1825,12018,2362,47746,4165,35988,3631,11758,1726,108791,6132,57052,4003,51739,4050,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,58789,3629,21712,2203,7563,1167,4335,958,3228,747,14149,1862,10080,1615,4069,865,37077,3179,21258,2847,15819,2057,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,97004,5538,55503,4512,17309,2408,9297,1687,8012,1357,38194,3680,29602,3299,8592,1741,41501,4390,23749,3106,17752,2506,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,110072,6975,50869,4199,19950,2442,11365,1915,8585,1428,30919,3567,22982,3281,7937,1577,59203,4802,30218,3334,28985,3469,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,14488,2222,6589,1473,2680,755,1181,511,1499,546,3909,1196,2916,997,993,501,7899,1688,4543,1336,3356,1127,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
