GEO_ID,B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,NAME,B01001G_001MA,B01001G_001EA,B01001G_002MA,B01001G_002EA,B01001G_003EA,B01001G_003MA,B01001G_004EA,B01001G_004MA,B01001G_005MA,B01001G_005EA,B01001G_006EA,B01001G_006MA,B01001G_007MA,B01001G_007EA,B01001G_008MA,B01001G_008EA,B01001G_009EA,B01001G_009MA,B01001G_010EA,B01001G_010MA,B01001G_011MA,B01001G_011EA,B01001G_012EA,B01001G_012MA,B01001G_013MA,B01001G_013EA,B01001G_014MA,B01001G_014EA,B01001G_015EA,B01001G_015MA,B01001G_016MA,B01001G_016EA,B01001G_017MA,B01001G_017EA,B01001G_018MA,B01001G_018EA,B01001G_019MA,B01001G_019EA,B01001G_020EA,B01001G_020MA,B01001G_021EA,B01001G_021MA,B01001G_022EA,B01001G_022MA,B01001G_023MA,B01001G_023EA,B01001G_024EA,B01001G_024MA,B01001G_025MA,B01001G_025EA,B01001G_026MA,B01001G_026EA,B01001G_027EA,B01001G_027MA,B01001G_028EA,B01001G_028MA,B01001G_029EA,B01001G_029MA,B01001G_030MA,B01001G_030EA,B01001G_031EA,B01001G_031MA,state
0400000US01,65186,4432,33839,3107,6306,1511,5542,1215,2942,1261,1476,789,1246,501,2961,956,1482,687,1375,679,3309,950,3587,875,1573,572,1309,566,612,316,119,145,31347,3120,4830,1267,4343,1216,3456,1089,2741,978,2094,748,2073,782,1445,567,1233,591,1895,586,2660,840,2384,685,1324,436,684,385,185,135,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50037,4222,26924,2495,3927,818,3550,1085,4585,1127,2197,807,1029,494,1935,577,2633,556,1445,512,1628,526,1973,618,1271,461,482,303,252,225,17,27,23113,2746,3120,765,3022,892,2336,683,1673,701,909,368,2132,652,2010,771,1494,560,2617,844,2492,818,939,416,211,160,137,96,21,35,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,169557,10122,83500,6851,15110,2193,12090,2321,11406,1809,6164,1418,3639,1277,5893,1355,5031,1538,4912,1207,8332,1673,5289,1263,3370,775,1250,519,805,426,209,201,86057,5390,16303,2184,12890,1918,8331,1598,5422,1225,4085,1224,5865,1315,6295,1416,5143,1073,7632,1513,5354,1027,4443,968,2797,723,1121,516,376,244,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49157,4194,23719,2810,4000,1045,2211,660,3265,912,1324,540,1047,541,1266,707,994,487,1188,670,2534,786,1844,700,2663,907,1223,629,146,136,14,34,25438,2596,3661,1188,3840,1218,3581,898,1969,860,1188,718,1682,681,1343,702,910,577,1963,685,2343,755,1490,495,907,496,514,325,47,65,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1568280,32388,790889,18531,118235,6495,102419,6098,88702,5694,53109,4041,34014,2938,69501,4383,53277,3674,47137,3599,75638,4000,72266,3778,42970,2705,19753,2168,11008,1548,2860,742,777391,18919,102971,6025,93871,5622,82521,4099,51878,3729,30603,2822,65331,4524,56589,3852,43455,3494,82139,3993,76722,4614,46531,3609,26641,2403,13761,1842,4378,1049,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172237,8592,86747,5150,12946,1675,11793,1646,12561,1875,5474,1183,4205,1051,6966,1562,4876,1006,5120,1423,9442,1879,5879,1118,4847,971,1927,642,543,231,168,136,85490,5164,11796,1874,10668,1536,12057,1757,5933,1545,3747,860,6189,1293,5825,1638,5264,968,9310,1560,7078,1334,4272,981,2072,567,720,395,559,363,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90987,6379,42823,4067,7033,1242,6927,1636,5657,1227,3819,977,1557,594,3364,1033,2469,820,1815,745,4524,1142,2349,778,2120,605,864,436,274,211,51,86,48164,4140,7604,1500,6719,1397,6436,1174,2354,950,2080,756,4001,1186,3482,1179,2113,862,4373,1113,5079,1090,2427,725,784,376,540,332,172,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23096,3436,11564,1983,1908,820,2148,865,1072,575,1393,730,584,329,451,249,840,434,542,437,848,373,845,509,514,295,364,226,0,265,55,92,11532,2143,2286,999,1739,674,1067,560,476,330,315,300,968,598,739,485,487,379,783,396,1018,601,903,420,197,190,271,312,283,313,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11790,2050,5718,1104,725,357,393,289,251,250,99,162,131,155,475,327,601,399,774,458,940,431,753,341,287,199,133,218,156,148,0,292,6072,1403,1163,563,465,351,0,292,134,153,0,292,415,402,775,449,555,230,832,411,317,204,670,351,146,144,424,370,176,231,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,406999,16059,201204,9495,31464,3793,22340,2951,27244,3151,13212,1824,7233,1344,18778,2855,11276,2018,11090,1872,19669,2621,16476,2249,12459,1720,5048,1025,3712,1066,1203,454,205795,10163,26753,2690,23070,3119,21244,2918,11734,1961,9958,2162,16262,2239,10800,1864,9421,1732,22011,2594,23955,2572,16109,2169,9240,1637,3961,1036,1277,467,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
