GEO_ID,B18107_001E,B18107_001M,B18107_002E,B18107_002M,B18107_003E,B18107_003M,B18107_004E,B18107_004M,B18107_005E,B18107_005M,B18107_006E,B18107_006M,B18107_007E,B18107_007M,B18107_008E,B18107_008M,B18107_009E,B18107_009M,B18107_010E,B18107_010M,B18107_011E,B18107_011M,B18107_012E,B18107_012M,B18107_013E,B18107_013M,B18107_014E,B18107_014M,B18107_015E,B18107_015M,B18107_016E,B18107_016M,B18107_017E,B18107_017M,B18107_018E,B18107_018M,B18107_019E,B18107_019M,B18107_020E,B18107_020M,B18107_021E,B18107_021M,B18107_022E,B18107_022M,B18107_023E,B18107_023M,B18107_024E,B18107_024M,B18107_025E,B18107_025M,B18107_026E,B18107_026M,B18107_027E,B18107_027M,NAME,B18107_001EA,B18107_001MA,B18107_002EA,B18107_002MA,B18107_003MA,B18107_003EA,B18107_004EA,B18107_004MA,B18107_005EA,B18107_005MA,B18107_006MA,B18107_006EA,B18107_007EA,B18107_007MA,B18107_008MA,B18107_008EA,B18107_009MA,B18107_009EA,B18107_010EA,B18107_010MA,B18107_011MA,B18107_011EA,B18107_012EA,B18107_012MA,B18107_013EA,B18107_013MA,B18107_014MA,B18107_014EA,B18107_015EA,B18107_015MA,B18107_016EA,B18107_016MA,B18107_017MA,B18107_017EA,B18107_018EA,B18107_018MA,B18107_019MA,B18107_019EA,B18107_020MA,B18107_020EA,B18107_021EA,B18107_021MA,B18107_022MA,B18107_022EA,B18107_023EA,B18107_023MA,B18107_024MA,B18107_024EA,B18107_025EA,B18107_025MA,B18107_026EA,B18107_026MA,B18107_027EA,B18107_027MA,state
0400000US01,3569131,2998,1683873,4182,513003,4467,16789,2467,496214,4898,898693,4502,55836,3789,842857,5248,167773,1670,15517,2063,152256,2672,104404,1650,26865,1990,77539,2229,1885258,3840,547962,3635,10848,1836,537114,4025,971878,3720,66572,3968,905306,5598,198107,1475,26203,2298,171904,2760,167311,1992,64511,3193,102800,3127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,501265,1968,253053,1895,79895,1945,1446,639,78449,2009,148156,1728,3062,923,145094,1852,17286,721,780,369,16506,786,7716,531,1430,411,6286,652,248212,1052,81524,1301,1196,516,80328,1468,139860,1332,6640,1600,133220,1842,16632,733,1861,611,14771,893,10196,716,2659,542,7537,817,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4680243,2323,2270036,3416,721817,3650,15065,2230,706752,4475,1147687,3224,43656,3715,1104031,4802,236711,1478,11736,1562,224975,2005,163821,1344,26215,2470,137606,2878,2410207,2761,720781,2636,11839,2233,708942,3455,1214398,2779,52664,3887,1161734,4982,262884,1449,20094,2039,242790,2376,212144,1791,50989,2747,161155,3052,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2158237,3062,1035466,5594,317187,4945,9948,1737,307239,5120,538593,4147,30444,2528,508149,4883,110609,1659,8862,1564,101747,1955,69077,1312,14133,1460,54944,1978,1122771,5241,323868,3746,7748,1565,316120,4367,573785,4220,40890,2465,532895,4196,122305,1789,12007,1558,110298,2149,102813,1833,33361,2385,69452,3211,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27526878,5929,13403279,8858,4554174,7702,77344,5452,4476830,10013,7023794,8140,228148,9499,6795646,12731,1048445,2855,72973,4056,975472,4926,776866,2601,168217,5397,608649,5975,14123599,7214,4469334,4521,58783,4827,4410551,6651,7302605,5031,296741,8772,7005864,9601,1221552,2250,136304,6916,1085248,6652,1130108,5102,392358,10161,737750,11468,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3730665,3105,1832401,5230,594271,3988,7713,1811,586558,4188,998530,3695,28117,2877,970413,4588,146421,1406,7757,1371,138664,2007,93179,1394,17696,1653,75483,1770,1898264,4671,582388,3593,9507,1602,572881,3763,1019341,2887,38838,3288,980503,4449,161686,1503,11126,1580,150560,2036,134849,1680,41228,2379,93621,2870,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2704903,1035,1287972,2115,360831,2110,5428,1273,355403,2343,719819,2263,23135,2927,696684,3785,118138,1194,6260,1149,111878,1733,89184,946,16102,1700,73082,1762,1416931,1939,369301,1721,5410,1211,363891,1978,770127,1659,27018,2062,743109,2630,137034,1007,10260,1517,126774,1823,140469,1476,37159,2771,103310,2814,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,679186,1049,320722,1318,96343,1536,3344,999,92999,1501,168907,1223,5474,1122,163433,1474,33638,645,2228,671,31410,877,21834,430,3742,948,18092,1081,358464,1089,101165,768,1351,475,99814,962,187354,1031,7782,1489,179572,1848,38261,534,2766,838,35495,953,31684,603,8180,1111,23504,1254,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,493292,614,227151,1166,95396,613,1025,656,94371,983,105019,869,4233,1128,100786,1356,16043,328,1703,631,14340,691,10693,299,1191,431,9502,554,266141,1040,113623,207,1041,467,112582,512,112137,726,4543,975,107594,1085,20849,634,1902,612,18947,867,19532,939,6196,1182,13336,1243,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14543834,6379,6939085,7401,1940072,6870,43206,3926,1896866,8098,3563114,6129,144418,7879,3418696,9239,803499,3244,47137,3350,756362,4393,632400,2822,111522,4955,520878,5922,7604749,5339,1973031,5701,33565,3610,1939466,6109,3859062,5297,182104,7326,3676958,8788,920438,2950,71533,4390,848905,5097,852218,3159,244144,7471,608074,7508,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
