GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001EA,B16005I_001MA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004MA,B16005I_004EA,B16005I_005MA,B16005I_005EA,B16005I_006EA,B16005I_006MA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009EA,B16005I_009MA,B16005I_010MA,B16005I_010EA,B16005I_011EA,B16005I_011MA,state
0400000US01,158442,2906,67864,5067,32645,4459,35219,4143,24251,3488,10968,2050,90578,4671,5874,1842,84704,4587,17691,2525,67013,4650,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35889,1575,27336,1796,19537,2022,7799,1416,6130,1138,1669,953,8553,1959,257,210,8296,1966,2394,892,5902,1687,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1703177,382,1142201,12927,529092,17549,613109,14850,520369,15827,92740,6144,560976,12910,26099,3753,534877,13109,171084,10271,363793,12721,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,158988,2301,75864,4892,33695,4156,42169,3304,32806,3218,9363,1869,83124,4600,6565,2146,76559,4401,21447,2843,55112,4154,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12736436,526,7373379,42027,2849913,42637,4523466,33220,3754766,31246,768700,17644,5363057,42009,164002,7436,5199055,42039,1367414,25182,3831641,38549,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,934672,749,667109,10622,405312,14823,261797,10684,212651,10329,49146,4490,267563,10662,11106,2394,256457,10278,71792,5137,184665,8439,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,434639,354,306129,8166,97365,7116,208764,7999,143831,7426,64933,4205,128510,8172,5705,1460,122805,8147,32621,3806,90184,7641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,64753,-555555555,35883,2769,14157,2750,21726,2761,15149,2402,6577,1626,28870,2769,2417,1472,26453,2919,7693,1915,18760,2903,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50721,-555555555,22151,2548,9123,2113,13028,2476,11892,2295,1136,636,28570,2548,11267,2942,17303,2063,7497,1609,9806,1967,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3940891,2089,1869116,20699,502313,16041,1366803,20488,1102284,20374,264519,11183,2071775,20188,85222,6145,1986553,20986,674024,15841,1312529,19308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,750516,2627,322074,9882,110033,7458,212041,7705,164209,7343,47832,4762,428442,9085,18404,3258,410038,9365,121373,7625,288665,8769,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,106347,123,93054,2593,77717,3586,15337,2266,12063,2115,3274,950,13293,2603,3015,1039,10278,2274,5942,2020,4336,1334,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,154178,693,100961,4020,52222,4450,48739,3426,42499,3480,6240,1310,53217,3960,2602,965,50615,3841,15990,1769,34625,2940,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1825482,2244,1011758,15576,329243,13151,682515,13374,547072,13341,135443,7902,813724,15149,23878,3042,789846,15152,215555,9544,574291,14609,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,339009,1638,202583,6672,108839,6408,93744,5689,74533,5546,19211,2650,136426,6246,7758,1832,128668,5843,37022,3608,91646,4833,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,132602,1168,75282,3502,38138,3729,37144,2854,30690,2655,6454,1522,57320,3584,2563,1070,54757,3487,14701,2338,40056,3121,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,261926,1396,161136,5178,88693,6606,72443,5002,57118,5094,15325,2289,100790,5311,3057,930,97733,5420,27980,3091,69753,4896,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,114151,3188,58048,3916,34050,4088,23998,3289,19240,2960,4758,1391,56103,3585,4856,1311,51247,3263,14930,2216,36317,2929,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,173763,2237,91084,5351,50469,5401,40615,3420,34326,3567,6289,1403,82679,4788,4774,1335,77905,4837,23342,2961,54563,4752,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14730,950,12208,1001,9112,1084,3096,700,2834,721,262,261,2522,836,928,420,1594,724,997,521,597,508,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,422699,865,167147,7261,76101,7028,91046,5936,77284,4986,13762,2244,255552,7052,41993,5141,213559,8375,69534,5616,144025,7756,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,568033,667,362523,7792,114283,7031,248240,7362,178937,7716,69303,5134,205510,7671,7944,1646,197566,7620,63904,4576,133662,7061,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,386694,1621,280363,6074,178948,6824,101415,5148,82886,4932,18529,2897,106331,6158,8242,1727,98089,5646,33313,3944,64776,5248,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,214050,2028,119028,4728,59660,4854,59368,4428,47453,3985,11915,2200,95022,4181,6148,1376,88874,4256,25377,2519,63497,3562,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,64889,3826,35705,4063,19751,3918,15954,2424,12529,2297,3425,1048,29184,3268,927,591,28257,3216,10087,2393,18170,2559,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,186924,1830,121744,4997,81458,5406,40286,3139,32020,2726,8266,1555,65180,4839,4607,1322,60573,4823,19755,2643,40818,4051,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24824,933,22677,1292,19699,1639,2978,734,2201,649,777,323,2147,781,131,131,2016,787,1490,658,526,347,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,146889,940,86396,3777,43265,4627,43131,3870,35259,3796,7872,1624,60493,3837,1981,692,58512,3903,14541,1770,43971,3325,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,642663,485,357278,8002,146105,8482,211173,9011,174622,8929,36551,4568,285385,8024,15956,3234,269429,8701,79094,5677,190335,8044,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,33091,717,22504,2377,12731,2389,9773,1792,7701,1713,2072,965,10587,2354,662,361,9925,2356,3226,1193,6699,2299,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1425680,575,726366,13381,216002,11867,510364,13945,398633,12478,111731,7133,699314,13364,29929,4068,669385,13439,200288,8110,469097,12534,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,874236,924,714277,9655,336750,11232,377527,10369,332469,10765,45058,3818,159959,9544,5978,1484,153981,9512,52637,5613,101344,6856,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
