GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001EA,B06009_001MA,B06009_002EA,B06009_002MA,B06009_003EA,B06009_003MA,B06009_004MA,B06009_004EA,B06009_005EA,B06009_005MA,B06009_006MA,B06009_006EA,B06009_007EA,B06009_007MA,B06009_008EA,B06009_008MA,B06009_009EA,B06009_009MA,B06009_010MA,B06009_010EA,B06009_011EA,B06009_011MA,B06009_012EA,B06009_012MA,B06009_013MA,B06009_013EA,B06009_014MA,B06009_014EA,B06009_015MA,B06009_015EA,B06009_016EA,B06009_016MA,B06009_017EA,B06009_017MA,B06009_018MA,B06009_018EA,B06009_019MA,B06009_019EA,B06009_020EA,B06009_020MA,B06009_021MA,B06009_021EA,B06009_022EA,B06009_022MA,B06009_023MA,B06009_023EA,B06009_024MA,B06009_024EA,B06009_025MA,B06009_025EA,B06009_026EA,B06009_026MA,B06009_027MA,B06009_027EA,B06009_028MA,B06009_028EA,B06009_029EA,B06009_029MA,B06009_030MA,B06009_030EA,state
0400000US19,2018785,3966,190644,5972,681148,10735,643442,8864,344952,9211,158599,6705,1408590,10310,112678,4305,523510,9989,464211,8381,227140,7451,81051,3966,497733,10033,39199,2780,132870,4519,161148,5496,103391,4212,61125,4005,8826,1620,1134,693,1622,603,2464,793,2335,887,1271,497,103636,4757,37633,2832,23146,2554,15619,2288,12086,1716,15152,1804,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1840681,5033,199609,7120,511343,10448,581841,10344,354379,8902,193509,6547,953638,10454,81458,4527,305907,8424,321302,8055,167979,6379,76992,4328,723986,10759,59719,3719,171653,6370,233314,7287,162524,6121,96776,4704,15180,2034,935,410,3214,887,6291,1308,3275,780,1465,606,147877,5434,57497,4313,30569,3438,20934,2715,20601,2581,18276,2299,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2903308,4686,524691,11137,996825,14623,785409,14315,359930,9248,236453,7373,1961351,14229,394346,9633,731816,13099,512104,12576,198289,7430,124796,5757,820543,13812,100183,5724,234729,8348,248108,7542,143055,5625,94468,4333,16128,1904,1495,727,3853,951,6768,1415,2425,789,1587,562,105286,5433,28667,3114,26427,3344,18429,2550,16161,2154,15602,2129,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2945907,4720,531876,11017,1012345,13921,770791,13019,424074,9972,206821,7145,2209564,13732,418584,9743,799237,12621,573387,12847,294773,8678,123583,5740,572331,13219,69013,4421,168884,5974,165118,7324,105465,4788,63851,4007,21419,2073,1534,618,6706,1303,6663,1374,4302,1005,2214,636,142593,5784,42745,3371,37518,3813,25623,2774,19534,2655,17173,2767,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,937014,1752,90787,4831,322397,7467,272861,7044,162350,5718,88619,4542,552255,6644,64477,3737,224192,6378,162089,5577,74400,3547,27097,2133,337538,6984,19528,2360,84683,4407,98015,4976,80478,4639,54834,3522,10354,1384,1111,485,3151,897,3407,741,1521,480,1164,502,36867,2474,5671,1004,10371,1605,9350,1435,5951,1251,5524,1191,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3873474,3559,462627,11268,1004589,15583,1009415,15265,762917,13961,633926,10743,1467327,14977,205115,7931,519780,10916,406015,11255,218304,7003,118113,5010,1681593,16039,111122,6042,352051,9364,456297,9417,393109,9156,369014,8118,49994,4338,2506,843,8392,1982,14901,2442,13149,1731,11046,1836,674560,11641,143884,7374,124366,7588,132202,6634,138355,6848,135753,6520,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4458898,2445,485401,11030,1168464,14944,1066134,15449,992307,15014,746592,11641,2529307,16991,202600,7477,780308,13269,702600,14178,537669,10113,306130,7907,980795,16721,50187,3215,147440,6418,196445,6960,300922,10449,285801,7825,115066,5344,38786,3457,30781,2859,23489,2734,12905,1944,9105,1555,833730,14073,193828,7268,209935,9340,143600,7050,140811,7047,145556,7080,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6569801,4232,741122,12094,2032219,19099,2141279,19665,1023760,14563,631421,10479,4726043,19979,447025,10526,1575744,15792,1640639,17052,693897,11075,368738,8441,1332208,17728,170981,5911,354043,9913,399027,9803,233900,6933,174257,5587,39373,3076,5665,1355,9013,1397,12307,1721,6022,1017,6366,1271,472177,10677,117451,6131,93419,5803,89306,4593,89941,5249,82060,4481,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3528096,3505,288905,8358,963579,11471,1152776,10866,760013,10312,362823,9008,2252179,13306,155270,4838,702118,9172,788473,10033,439562,7693,166756,5436,966215,14576,55492,3215,198474,6509,295482,6836,265572,7706,151195,5734,21293,2270,1474,762,3768,842,7046,1131,5734,1087,3271,894,288409,7557,76669,4760,59219,4159,61775,4223,49145,3365,41601,3045,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1904406,4745,361791,9637,583436,10211,587660,11016,236965,7243,134554,5519,1298340,10803,275161,8374,404426,10224,389095,9938,147222,6167,82436,4373,551981,10837,69740,4910,166622,6741,188376,7497,81869,4354,45374,3203,8006,1448,718,394,1458,682,3195,1056,1560,562,1075,440,46079,3468,16172,2720,10930,1809,6994,1280,6314,1342,5669,1124,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
