GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001MA,B19001G_001EA,B19001G_002MA,B19001G_002EA,B19001G_003MA,B19001G_003EA,B19001G_004MA,B19001G_004EA,B19001G_005EA,B19001G_005MA,B19001G_006EA,B19001G_006MA,B19001G_007EA,B19001G_007MA,B19001G_008EA,B19001G_008MA,B19001G_009MA,B19001G_009EA,B19001G_010MA,B19001G_010EA,B19001G_011EA,B19001G_011MA,B19001G_012MA,B19001G_012EA,B19001G_013EA,B19001G_013MA,B19001G_014EA,B19001G_014MA,B19001G_015MA,B19001G_015EA,B19001G_016EA,B19001G_016MA,B19001G_017EA,B19001G_017MA,state
0400000US01,15121,1754,2757,819,1188,502,1211,496,802,410,929,492,822,348,743,423,898,558,585,306,882,331,1136,484,1627,581,446,277,429,363,87,118,579,406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10500,1452,420,258,741,470,568,339,709,408,690,385,456,298,318,186,917,384,804,427,625,299,963,520,1410,686,687,408,525,268,258,180,409,351,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,37099,3025,3382,990,1799,686,1940,717,1392,564,3315,1157,2507,773,1643,605,1641,599,1517,615,4400,1418,3877,904,3708,997,1791,538,1688,950,1081,583,1418,737,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13926,1754,1747,623,2156,782,1021,384,1264,666,1356,644,1080,548,817,460,635,521,314,213,885,542,921,451,1153,513,468,361,0,273,0,273,109,174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,351034,9243,25280,2362,21737,2323,17201,2247,18008,1985,16387,2165,16175,2064,14911,1889,16133,2104,15547,2199,27375,2849,39431,3368,44176,3363,26441,2437,18277,2378,18484,1852,15471,1939,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,43020,3446,5737,1309,2451,758,3122,863,3341,1013,2308,796,1902,695,1822,720,3712,1253,1387,574,2310,768,3890,1065,4833,1113,2740,716,1451,631,1196,497,818,422,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,18896,2252,1562,519,984,561,1394,658,1244,604,876,565,1236,626,1043,591,961,567,1153,679,1344,546,1393,598,2069,898,1612,518,886,473,666,510,473,311,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4850,1027,645,446,204,161,0,265,548,344,75,124,98,109,273,241,192,173,171,186,275,185,562,398,599,345,124,127,630,445,391,289,63,100,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4742,1141,589,386,219,309,90,106,123,144,121,143,225,280,133,218,214,181,38,63,343,210,431,264,605,438,375,241,242,201,637,385,357,315,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,96237,5552,9565,1488,5980,1351,6413,1346,7631,1625,6418,1203,6374,1463,5194,1380,6118,998,5011,1082,6797,1662,8790,1650,10193,1614,5009,1204,3171,983,1931,668,1642,633,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,35958,3091,3013,920,2494,866,1899,691,2688,832,2015,677,2466,774,1432,587,2340,916,1672,692,3180,781,4302,997,3859,1069,1654,660,885,409,1471,543,588,430,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70506,3765,5400,1110,3299,995,2349,770,3650,1080,2980,857,3175,951,3645,1069,3115,903,2033,676,5255,1024,7596,1196,10010,1504,6444,1108,4371,1004,3955,902,3229,772,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8844,1172,1785,636,606,403,914,445,286,198,340,296,536,360,970,494,459,303,688,390,443,253,452,340,619,413,619,306,0,267,29,55,98,135,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,50577,4376,5600,1251,2882,999,3535,1036,3087,879,2350,813,1846,634,1927,625,2431,625,2410,669,4192,1249,4263,851,6343,1156,3952,839,1424,507,2701,862,1634,694,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23119,2429,2806,803,1993,645,1237,553,1840,603,2024,777,1372,550,1036,424,1211,541,1265,494,1653,578,2323,835,2209,759,1194,498,276,250,257,239,423,288,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12878,1783,1861,650,1325,541,1729,659,704,331,984,428,809,403,1203,601,590,414,461,248,578,367,953,437,1052,492,260,269,139,109,153,209,77,118,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20569,2178,2667,856,2533,875,1509,584,1403,545,1051,464,713,376,1294,476,808,436,880,412,2074,816,1837,671,1524,630,685,354,745,396,429,279,417,274,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,15236,2021,2650,754,1501,703,1920,760,1465,613,1196,517,705,364,533,378,561,439,427,320,581,386,1464,683,1064,426,477,288,371,391,223,277,98,168,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
