GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001EA,C17010I_001MA,C17010I_002MA,C17010I_002EA,C17010I_003MA,C17010I_003EA,C17010I_004EA,C17010I_004MA,C17010I_005MA,C17010I_005EA,C17010I_006MA,C17010I_006EA,C17010I_007EA,C17010I_007MA,C17010I_008MA,C17010I_008EA,C17010I_009EA,C17010I_009MA,C17010I_010MA,C17010I_010EA,C17010I_011MA,C17010I_011EA,C17010I_012MA,C17010I_012EA,C17010I_013EA,C17010I_013MA,C17010I_014EA,C17010I_014MA,C17010I_015MA,C17010I_015EA,C17010I_016MA,C17010I_016EA,C17010I_017MA,C17010I_017EA,state
0400000US01,29359,2421,8667,1570,4165,1126,3926,1096,4502,1237,949,637,892,643,3553,1064,3411,1069,20692,2091,14268,1983,10585,1846,6424,1301,3850,975,1667,765,2574,951,1820,832,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8213,950,378,249,15,26,0,246,363,248,50,86,50,86,313,234,276,218,7835,950,6065,953,3902,908,1770,594,154,156,140,151,1616,587,997,494,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,387510,7414,90358,4579,40653,3380,34022,2939,49705,3644,11114,1795,8931,1607,38591,3459,35988,3454,297152,7226,199068,7058,125506,6702,98084,5512,37196,3946,22372,3099,60888,3958,44143,3795,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36213,2135,9527,1709,4869,1412,4531,1376,4658,1286,2296,1003,2238,1013,2362,799,2323,801,26686,2110,19562,2175,14317,1969,7124,1360,3951,1071,2511,848,3173,935,2118,774,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2780828,18665,567626,12510,254641,7919,223823,7549,312985,9854,70108,4867,59857,4651,242877,8487,221025,8262,2213202,20469,1516803,16359,1001322,15483,696399,14054,261602,8514,155746,6359,434797,11725,286290,9737,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,220714,5163,50622,3428,18992,2188,16154,2149,31630,3153,6555,1474,5866,1340,25075,2806,23370,2646,170092,4836,114969,5056,70718,4277,55123,3657,18719,2591,11372,1852,36404,2806,26254,2457,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103604,3223,23229,2524,4988,1088,3957,1085,18241,2285,2199,982,1605,796,16042,2159,14726,2031,80375,3341,47217,3210,31181,2527,33158,3362,8496,1524,4680,1284,24662,3008,18969,2561,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13926,1331,2334,894,1000,566,936,605,1334,653,380,200,380,200,954,634,954,634,11592,1543,7911,1481,5628,1208,3681,1062,1388,672,819,462,2293,773,1905,729,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8758,1100,1268,636,456,345,407,334,812,535,227,248,90,151,585,442,525,424,7490,1141,5246,1099,2595,828,2244,924,638,376,358,268,1606,794,854,539,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927551,12109,170622,6667,79227,5423,54294,4392,91395,4463,18922,2651,13252,2474,72473,4584,60417,4414,756929,13018,526293,11377,274618,8758,230636,7155,68292,4331,35837,3218,162344,6055,94928,5754,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,159490,4762,47145,3526,26957,2957,24515,2818,20188,2429,6473,1394,5798,1251,13715,1955,12620,1970,112345,4600,79862,4181,55454,3937,32483,2695,16465,2172,8958,1967,16018,2337,13204,2007,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21096,1804,3337,846,1050,529,658,458,2287,729,21,39,0,275,2266,733,1946,692,17759,1885,12595,1707,7312,1348,5164,1233,1406,703,768,465,3758,913,2671,762,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36861,1938,9767,1686,4719,1389,4199,1255,5048,1115,1479,515,1409,512,3569,951,3523,953,27094,2064,18893,1981,13484,1908,8201,1448,3530,1127,1957,791,4671,1075,3872,1070,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
