GEO_ID,C17004_001E,C17004_001M,C17004_002E,C17004_002M,C17004_003E,C17004_003M,C17004_004E,C17004_004M,C17004_005E,C17004_005M,C17004_006E,C17004_006M,C17004_007E,C17004_007M,C17004_008E,C17004_008M,C17004_009E,C17004_009M,NAME,C17004_001EA,C17004_001MA,C17004_002MA,C17004_002EA,C17004_003MA,C17004_003EA,C17004_004EA,C17004_004MA,C17004_005MA,C17004_005EA,C17004_006MA,C17004_006EA,C17004_007EA,C17004_007MA,C17004_008MA,C17004_008EA,C17004_009MA,C17004_009EA,state
0400000US01,3680815,4387,607170,15404,49916,4724,188582,7593,368672,12057,3073645,15560,1353305,14447,659969,14268,1060371,15236,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,533690,1570,47916,4203,2639,802,24120,2502,21157,2878,485774,4067,222913,6335,159492,4647,103369,4012,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4846817,4617,741112,22050,58585,4497,242781,9394,439746,15183,4105705,22709,1775259,19598,936973,16152,1393473,16047,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2219466,4118,360189,10885,35815,3330,117130,6657,207244,8432,1859277,11013,840393,11593,408104,9567,610780,10111,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28539777,10335,4004462,48122,329709,9459,1265380,21535,2409373,33735,24535315,48904,10517443,44429,6179126,37265,7838746,38814,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3854167,4341,467568,14668,39819,3934,208619,10616,219130,8670,3386599,15302,1632981,15367,896724,12603,856894,13032,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2760893,2581,257240,10372,16523,2226,89132,6761,151585,7286,2503653,10448,1147712,12401,661562,11528,694379,9254,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,694646,1359,69607,4993,5716,1502,22243,2955,41648,3531,625039,5279,285351,6986,143196,4722,196492,5352,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,482669,953,82947,5546,3165,940,26315,2620,53467,4706,399722,5594,224260,4918,84767,5557,90695,3760,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14977534,7595,2223422,27519,186670,9152,653113,15337,1383639,23019,12754112,28409,5370307,31325,2776398,28920,4607407,27989,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
