GEO_ID,B19119_001E,B19119_001M,B19119_002E,B19119_002M,B19119_003E,B19119_003M,B19119_004E,B19119_004M,B19119_005E,B19119_005M,B19119_006E,B19119_006M,B19119_007E,B19119_007M,NAME,B19119_001EA,B19119_001MA,B19119_002MA,B19119_002EA,B19119_003EA,B19119_003MA,B19119_004EA,B19119_004MA,B19119_005MA,B19119_005EA,B19119_006EA,B19119_006MA,B19119_007MA,B19119_007EA,state
0400000US01,50429,708,46025,1054,51182,1553,61593,2270,56517,3062,47374,8238,46269,4969,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76962,2545,70811,3378,77200,5119,88003,4671,81698,12843,80382,7654,93021,11293,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55353,769,53781,1112,56508,1819,61267,1288,55782,2673,50973,2869,51906,5189,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47049,745,44048,1223,47035,1801,56275,2299,50461,4456,47790,7278,48141,7145,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,65481,394,61539,500,66050,839,74806,1322,63106,1080,62912,2187,67786,2013,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67800,882,62431,1366,69252,1818,79905,1866,72320,3724,68055,4547,61710,4093,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,81246,884,70342,1570,80263,2486,99440,2347,99625,4392,88056,9871,100955,22322,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,68746,2459,59927,2605,71259,3749,79829,6451,80044,6196,60951,15994,89842,11296,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,77514,6098,78313,10350,69174,8156,115995,14461,83263,41457,53108,18668,68559,28649,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53093,410,49729,471,52840,989,62742,1087,59974,1519,59323,3436,56289,5268,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55209,574,50712,683,55711,1211,64223,1166,57776,3646,54260,4810,58476,4923,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,76134,1551,62432,2293,75900,3533,82726,5325,90418,8170,94001,9420,130868,13153,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52342,855,49242,1754,52077,2717,61301,3007,57154,3437,58940,9939,54867,7163,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,65417,429,57964,852,66758,1070,79074,1967,74256,2624,68737,3487,65937,4312,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,55368,500,49669,786,57696,1217,67296,1700,61079,2587,59511,2852,61180,2944,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,60917,646,55217,1092,62251,1667,72234,1748,67805,3143,65337,4815,55020,9389,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,61013,878,55801,1131,62850,2319,72665,2187,66844,2917,63224,5501,57002,7986,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,50392,623,44696,885,51859,1773,62583,2014,55642,4512,60828,4845,49428,5302,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,52456,918,46169,975,54638,2210,65778,2524,59731,4402,58042,5099,50375,4136,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,58197,1152,51738,1542,60195,2456,74738,3398,70872,5633,62873,9490,62251,9785,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,83137,1192,73947,1509,84151,2631,100928,2225,91749,4980,87954,6120,88140,12524,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,78653,1116,64174,1230,80337,1999,99067,2786,101176,3646,100171,8437,93845,14322,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,56101,429,50079,523,58467,952,70237,1561,66312,1828,58706,3059,49962,3724,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,69625,675,61170,835,71784,1363,84251,1820,82016,1991,73769,3990,67733,6331,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,45484,988,41601,1124,45536,2433,54765,3465,47144,4113,41687,3961,48282,9925,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,56214,603,50603,610,58355,1739,67255,1838,64472,2173,62419,7474,58164,5009,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,54507,1827,49743,1761,56308,4786,68313,4258,59017,7128,65356,11763,67154,12366,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,60812,905,55519,1051,64700,2481,71247,1981,68167,3892,66156,10617,55737,9814,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,60192,1155,55573,1521,60855,3457,65179,2839,62097,3367,72635,8937,77055,8902,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,74634,1610,61679,1644,79349,3328,91750,3213,92662,4035,82450,13297,86677,33797,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,82427,842,67503,1180,84896,2412,101957,1443,101670,1874,98687,5915,83979,11015,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,51020,945,49515,1871,51782,2454,54640,4250,48380,4440,54386,6213,51859,12055,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,65897,408,56113,656,66953,1020,81212,1157,79123,2327,71167,3284,75294,4108,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,52920,541,48710,796,54310,1252,65036,1641,55884,1611,52699,4441,47297,4293,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,65207,1493,58742,2126,67244,3507,79336,3964,67272,5919,76845,9901,72873,7144,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,56518,418,50253,453,58376,1146,70599,1183,67293,2185,62732,2825,54470,4777,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,51958,620,48313,1001,53332,1472,60395,1558,57247,3114,52397,4204,52154,8523,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,56661,973,52316,1101,57429,2118,66616,3028,62897,3557,60461,6004,57870,7404,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,61890,408,53091,711,66487,951,76682,1159,75916,1745,70037,3439,69572,5192,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,67814,2295,59624,2310,66800,4165,86267,4358,81765,6126,70530,5785,68559,12693,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,51704,595,47853,902,50824,1363,62912,2947,59407,3106,51411,8060,50935,5588,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,59987,1689,55026,1713,61612,3155,69006,5174,71118,6624,62724,13633,50825,4319,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,51083,511,47234,942,51642,1228,60909,1728,59276,4284,49648,3974,55438,7481,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,56575,441,53950,594,57825,1153,63859,1391,56537,1020,50823,1784,52581,2143,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,61618,583,55555,1144,59626,1922,64780,2408,70337,2064,70524,4237,75852,6080,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,62575,1719,55110,2017,69736,3077,77296,2981,65153,9893,76250,12749,61956,25257,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,72476,752,64288,1027,71644,2008,87498,1771,86298,2726,82529,6134,82030,7997,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,67328,649,61919,750,69195,1806,80404,1323,72746,2474,61435,3949,65524,7016,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
