GEO_ID,C17020F_001E,C17020F_001M,C17020F_002E,C17020F_002M,C17020F_003E,C17020F_003M,C17020F_004E,C17020F_004M,C17020F_005E,C17020F_005M,C17020F_006E,C17020F_006M,C17020F_007E,C17020F_007M,C17020F_008E,C17020F_008M,C17020F_009E,C17020F_009M,NAME,C17020F_001MA,C17020F_001EA,C17020F_002EA,C17020F_002MA,C17020F_003MA,C17020F_003EA,C17020F_004EA,C17020F_004MA,C17020F_005EA,C17020F_005MA,C17020F_006EA,C17020F_006MA,C17020F_007EA,C17020F_007MA,C17020F_008MA,C17020F_008EA,C17020F_009MA,C17020F_009EA,state
0400000US01,50521,6457,11388,2889,5658,1684,5721,1559,9,19,39133,6589,11972,2900,26259,4314,902,564,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6351,1741,318,256,102,102,179,153,37,67,6033,1699,1150,664,4560,1340,323,302,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401931,22473,105420,13143,45829,7217,55825,6471,3766,1097,296511,20497,92041,8565,188697,12543,15773,2597,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60434,6408,20348,5441,8490,2934,11652,3004,206,382,40086,6228,13415,2680,25523,4162,1148,599,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4795639,67358,1214427,34062,524722,20909,651792,16560,37913,3768,3581212,70055,1022969,27902,2398123,45190,160120,7065,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,277997,15835,76624,7682,34404,4674,40019,4188,2201,779,201373,14698,62956,7626,129634,8590,8783,1853,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,181980,10640,52933,6748,19631,3455,32048,4010,1254,630,129047,10190,34187,4094,90255,7223,4605,1341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17370,3829,4023,2203,2009,1223,1905,1161,109,142,13347,3348,4511,1395,8692,2300,144,157,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16290,3707,2472,1524,894,886,1422,840,156,152,13818,3321,3340,1538,10112,2239,366,260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,487468,25149,136316,12152,48382,6775,82448,9326,5486,2087,351152,21310,84788,8122,244313,15142,22051,3469,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,312807,16706,122316,14986,57556,8107,64016,8126,744,525,190491,13730,50815,5915,136255,9723,3421,1137,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13683,2606,3230,1442,1091,676,1805,944,334,283,10453,2456,2282,1309,7267,1773,904,439,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,33587,4693,10721,3251,5220,1889,5417,1661,84,111,22866,3416,7042,1525,15173,2327,651,337,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,797244,28383,179647,16038,83326,9287,92925,7821,3396,1312,617597,25579,200490,11517,397072,15696,20035,2630,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
