GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,NAME,B16005F_001MA,B16005F_001EA,B16005F_002EA,B16005F_002MA,B16005F_003MA,B16005F_003EA,B16005F_004MA,B16005F_004EA,B16005F_005EA,B16005F_005MA,B16005F_006MA,B16005F_006EA,B16005F_007EA,B16005F_007MA,B16005F_008MA,B16005F_008EA,B16005F_009EA,B16005F_009MA,B16005F_010MA,B16005F_010EA,B16005F_011MA,B16005F_011EA,state
0400000US01,43304,5666,13216,2395,3922,1268,9294,1730,5470,1200,3824,1229,30088,5222,2685,1437,27403,5034,8882,1961,18521,4064,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5980,1618,3153,929,1776,745,1377,529,1154,493,223,253,2827,1261,124,137,2703,1243,1512,789,1191,682,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,373952,20995,244328,15991,88002,9396,156326,10982,136547,10384,19779,2964,129624,9502,5776,2375,123848,9575,41644,5070,82204,6788,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,54777,5581,21148,3197,5660,1628,15488,2765,11629,2375,3859,1197,33629,4305,3406,1436,30223,4149,9590,2265,20633,3298,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4439191,61847,2352314,43804,690121,23515,1662193,33173,1405714,31138,256479,10589,2086877,39256,56456,4570,2030421,38944,520844,17597,1509577,30927,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,252791,14265,158001,11443,76856,7670,81145,8278,67651,7419,13494,2564,94790,7248,2768,965,92022,7136,25212,3152,66810,5891,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,173511,9302,110668,7991,25218,4142,85450,7953,57920,6319,27530,3795,62843,7319,2348,1043,60495,7094,13083,3091,47412,6286,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15874,3507,7805,1865,2669,1112,5136,1510,4011,1311,1125,675,8069,2450,475,585,7594,2359,2757,1288,4837,1703,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15460,3428,6764,2026,1958,892,4806,1866,4249,1628,557,500,8696,2281,1228,1066,7468,2092,2431,1174,5037,1702,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,453313,23296,224594,12508,55842,6653,168752,9740,130768,9028,37984,4770,228719,17071,18428,4103,210291,16719,67311,6780,142980,13850,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
