GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001EA,C15010A_001MA,C15010A_002MA,C15010A_002EA,C15010A_003MA,C15010A_003EA,C15010A_004EA,C15010A_004MA,C15010A_005MA,C15010A_005EA,C15010A_006EA,C15010A_006MA,state
0400000US01,553392,10746,159537,5950,55051,4126,129305,5547,102423,5445,107076,4271,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,106612,4913,43015,3097,11343,1566,14223,2244,13123,1701,24908,2221,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,935082,13712,291720,7674,84672,4533,203040,7292,152835,7146,202815,7970,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,324095,9137,92798,5011,30258,2665,71326,4219,69362,3797,60351,3795,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4851604,31064,1883435,20750,321266,7915,845507,16334,425241,9553,1376155,18204,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1113210,14079,416772,9448,92877,4801,220260,7777,129740,5838,253561,7650,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,754359,12145,265877,6738,59788,3769,148296,6021,93208,5215,187190,6520,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,128392,4645,43998,2807,11707,1365,25459,2214,18342,1683,28886,2575,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,141993,2681,70058,3413,3897,952,12628,1871,5058,1155,50352,2896,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2857203,26535,887299,16302,255799,8067,692759,11733,455308,10541,566038,11998,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1218234,14698,370608,8933,105281,5287,290099,9283,186262,6482,265984,7361,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,104413,4809,43334,3383,7864,1366,16330,1696,9699,1645,27186,2520,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,230584,6889,76883,3852,21987,2401,40621,3738,41062,3208,50031,3862,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2074212,19233,639247,12888,174935,5796,450815,10221,321596,9184,487619,10566,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,856933,11805,237533,6318,98033,5155,179231,5664,161706,5955,180430,6875,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,475905,10909,138421,5498,46306,3169,95239,4442,101499,4631,94440,4445,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,493048,10001,138002,4818,47283,3342,106666,4591,95161,3922,105936,5210,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,544397,10100,158438,5857,60086,3572,108028,4717,101639,4538,116206,5245,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,486500,11436,138881,5314,58855,3992,96937,5413,89611,4479,102216,4670,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
