GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001MA,B21001A_001EA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004EA,B21001A_004MA,B21001A_005EA,B21001A_005MA,B21001A_006MA,B21001A_006EA,B21001A_007MA,B21001A_007EA,B21001A_008MA,B21001A_008EA,B21001A_009EA,B21001A_009MA,B21001A_010EA,B21001A_010MA,B21001A_011MA,B21001A_011EA,B21001A_012MA,B21001A_012EA,B21001A_013MA,B21001A_013EA,B21001A_014MA,B21001A_014EA,B21001A_015EA,B21001A_015MA,B21001A_016MA,B21001A_016EA,B21001A_017EA,B21001A_017MA,B21001A_018MA,B21001A_018EA,B21001A_019MA,B21001A_019EA,B21001A_020MA,B21001A_020EA,B21001A_021EA,B21001A_021MA,B21001A_022EA,B21001A_022MA,B21001A_023MA,B21001A_023EA,B21001A_024MA,B21001A_024EA,B21001A_025MA,B21001A_025EA,B21001A_026EA,B21001A_026MA,B21001A_027EA,B21001A_027MA,B21001A_028MA,B21001A_028EA,B21001A_029MA,B21001A_029EA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032EA,B21001A_032MA,B21001A_033MA,B21001A_033EA,state
0400000US01,2596614,4483,1254546,3247,352415,3036,17268,2800,335147,4453,458378,2711,63010,4329,395368,4821,213647,824,75064,3643,138583,3691,139539,859,67149,2875,72390,2729,90567,702,67642,1912,22925,1914,1342068,2385,350841,2329,3064,922,347777,2636,462339,2026,7450,1340,454889,2331,227072,597,4208,1157,222864,1300,158930,487,1551,539,157379,692,142886,577,2210,659,140676,741,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359827,2930,186903,2612,53078,2311,6581,1333,46497,2669,76230,1127,16176,2335,60054,2419,36951,492,14410,1285,22541,1376,14112,436,8707,856,5405,855,6532,377,5144,479,1388,388,172924,977,52397,642,1795,721,50602,942,69428,621,3255,1006,66173,1147,30642,343,671,379,29971,505,12432,439,357,257,12075,543,8025,466,143,121,7882,507,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3886860,15698,1907326,8766,569158,6010,27805,3086,541353,6643,665346,4064,95580,4165,569766,6329,302847,1853,108871,4345,193976,4566,215146,1705,102748,3564,112398,3610,154829,949,108190,2664,46639,2698,1979534,8647,546653,6089,5155,1159,541498,6290,663844,4030,13585,2017,650259,4840,331132,2146,6201,1260,324931,2456,235932,1350,2092,578,233840,1529,201973,1082,3386,886,198587,1377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1774555,4377,862011,3053,246931,2742,13971,1765,232960,3412,306359,2405,44298,3247,262061,4116,143902,575,53663,3237,90239,3252,98742,533,42930,1969,55812,2046,66077,566,45830,1622,20247,1612,912544,2547,241820,2279,1396,728,240424,2517,307318,2093,5575,1464,301743,2263,153387,661,2138,641,151249,920,109641,1367,1539,580,108102,1505,100378,1406,1635,773,98743,1682,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17865843,49080,8824019,29724,2753958,17391,103363,6071,2650595,17816,3303336,14943,271630,8541,3031706,16314,1379577,5201,343507,8940,1036070,10019,774009,4084,322549,5560,451460,6770,613139,2645,390450,4235,222689,4486,9041824,23800,2610270,13249,19759,2328,2590511,13210,3219756,12749,36414,2927,3183342,13173,1436798,5765,14831,1633,1421967,6082,877602,4223,7364,1424,870238,4332,897398,2992,16864,1820,880534,3383,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3234957,10313,1594648,6101,496655,3595,24961,2935,471694,4845,605942,3702,80299,4218,525643,5503,266462,1702,83655,3548,182807,3707,135279,1299,67593,2697,67686,2572,90310,872,66277,1750,24033,1644,1640309,5660,478144,4073,4628,1225,473516,4287,606791,3401,13689,2036,593102,4104,274100,1500,5584,1287,268516,1993,148268,1439,2073,682,146195,1519,133006,892,2065,612,130941,1040,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2209390,7473,1056369,4739,261800,3309,8548,2081,253252,4030,413129,2466,35487,2839,377642,3645,187792,1186,47949,2720,139843,2965,105392,849,44279,2214,61113,2480,88256,661,60493,1797,27763,1863,1153021,3642,260486,2300,875,438,259611,2398,428634,2349,3089,773,425545,2388,199096,972,1951,555,197145,1158,121088,766,559,315,120529,858,143717,799,1961,655,141756,1013,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,507751,2844,243327,1607,66786,1301,2337,688,64449,1355,86801,883,12624,1654,74177,1796,41561,520,11875,1368,29686,1450,28307,386,12662,1006,15645,1046,19872,183,14754,816,5118,822,264424,1808,66940,1051,497,308,66443,1074,90114,898,1935,761,88179,1062,46292,549,396,224,45896,579,31820,325,432,329,31388,458,29258,358,353,203,28905,412,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,216116,2829,105862,1753,50905,1412,1369,577,49536,1526,33314,861,2828,1000,30486,1291,10818,426,1989,604,8829,696,6687,258,1790,442,4897,513,4138,129,2305,459,1833,515,110254,1564,60181,942,159,153,60022,959,26653,734,233,241,26420,783,11147,307,158,153,10989,333,6703,282,0,292,6703,282,5570,288,0,292,5570,288,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11657205,22737,5636230,13276,1425112,8804,63284,4660,1361828,9804,1972307,7012,257274,8168,1715033,11543,929080,2711,291299,7796,637781,7754,713637,2324,319265,7123,394372,7182,596094,1763,395208,5142,200886,5277,6020975,12525,1390674,7115,15864,2542,1374810,7583,1991829,6104,38046,3251,1953783,6973,1027515,3049,16566,2346,1010949,3829,806689,2499,7831,1547,798858,2944,804268,2305,14465,2135,789803,3080,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
