GEO_ID,B11009_001E,B11009_001M,B11009_002E,B11009_002M,B11009_003E,B11009_003M,B11009_004E,B11009_004M,B11009_005E,B11009_005M,B11009_006E,B11009_006M,B11009_007E,B11009_007M,NAME,B11009_001MA,B11009_001EA,B11009_002MA,B11009_002EA,B11009_003MA,B11009_003EA,B11009_004MA,B11009_004EA,B11009_005EA,B11009_005MA,B11009_006EA,B11009_006MA,B11009_007MA,B11009_007EA,state
0400000US01,1815152,10938,69503,4254,3041,906,34923,3660,2411,747,29128,2553,1745649,10239,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,20169,2430,211,200,9534,1549,541,271,9883,1674,234441,3620,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,161230,7667,6658,1254,71307,5280,8485,1602,74780,5701,2172820,13691,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,51881,3295,1696,722,24348,2518,2319,654,23518,2013,1063021,8564,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,824977,14724,47691,3509,370686,9998,42332,2898,364268,9325,11581498,21533,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,114592,5802,4386,1136,48567,3738,7730,1133,53909,3783,1845993,9354,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,81070,4692,4271,1151,33251,3268,4864,1093,38684,3187,1277739,7962,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,19739,2287,1133,355,8778,1625,726,293,9102,1651,309026,4037,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,16517,2046,2318,553,5838,1283,641,284,7720,1456,235871,3763,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,437895,10665,22014,2454,199403,7849,18523,2125,197955,7333,6597173,26244,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3482420,15694,165884,7379,8842,1442,76661,5150,7055,1293,73326,5226,3316536,16643,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,445812,4223,27016,2475,1410,540,12110,1815,2062,664,11434,1796,418796,4745,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,576709,5739,31949,2641,712,377,15312,1820,1103,470,14822,1909,544760,6100,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
