GEO_ID,B19326_001E,B19326_001M,B19326_002E,B19326_002M,B19326_003E,B19326_003M,B19326_004E,B19326_004M,B19326_005E,B19326_005M,B19326_006E,B19326_006M,B19326_007E,B19326_007M,NAME,B19326_001EA,B19326_001MA,B19326_002MA,B19326_002EA,B19326_003MA,B19326_003EA,B19326_004EA,B19326_004MA,B19326_005MA,B19326_005EA,B19326_006MA,B19326_006EA,B19326_007MA,B19326_007EA,state
0400000US01,21117,214,26921,350,43308,1360,13803,279,16738,252,31997,375,10362,172,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28202,1205,36295,1293,60233,1590,17171,778,21792,843,44277,2124,11737,532,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24900,308,30414,312,45512,579,16717,335,20342,265,36682,358,11861,163,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20685,252,25875,416,40342,461,14245,320,16581,245,30266,535,10413,175,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25753,124,31001,140,50483,172,16182,127,21307,125,41984,193,12173,48,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27598,384,34258,677,51091,491,16857,328,22183,290,40568,394,12193,177,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31025,339,40070,694,61257,556,18767,625,24742,504,47206,678,14148,315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27865,961,33656,1468,50531,989,19375,936,22436,808,40398,1060,12736,537,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,35487,1213,40297,2248,62179,3658,14810,1221,31785,980,56832,1701,11754,539,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22729,182,27335,181,41547,224,16288,195,19252,170,34591,510,11788,75,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,23812,227,29795,431,45331,442,14587,295,19784,273,35821,434,10975,119,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
