GEO_ID,B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,NAME,B07004G_001EA,B07004G_001MA,B07004G_002EA,B07004G_002MA,B07004G_003MA,B07004G_003EA,B07004G_004MA,B07004G_004EA,B07004G_005EA,B07004G_005MA,B07004G_006EA,B07004G_006MA,state
0400000US01,62605,4233,47608,3749,11233,2636,2135,970,1304,632,325,368,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47994,4196,37297,3546,5982,1705,2390,1070,1657,742,668,801,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,163747,9890,123675,8338,29953,5663,3525,1200,5669,1582,925,542,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48216,4181,37437,3878,6390,1701,1931,781,2123,1097,335,272,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1528261,31345,1230785,28657,205542,11607,62952,5667,21256,2837,7726,2359,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166754,8401,129086,8510,18422,3398,11868,2739,6539,1405,839,647,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,86691,6225,68994,6265,11629,3040,2743,1086,2999,1006,326,237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22566,3317,18081,2743,3464,1679,147,141,822,537,52,99,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10893,1923,8593,1708,1452,729,0,292,679,358,169,216,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,394022,15609,311192,14339,51497,6584,14300,2887,13479,2669,3554,1343,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,172701,10546,134779,9166,20035,3973,10511,2242,5639,1670,1737,1152,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,315644,11476,265092,11307,38289,4926,3590,1119,6469,1641,2204,1190,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35994,3761,27415,3430,4260,1205,2229,898,1572,836,518,574,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,234189,10995,190659,9680,24372,4049,10778,2447,5957,1401,2423,1253,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,124810,7947,97025,6700,15896,2517,7044,1828,3971,1285,874,499,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,53150,4885,38800,4287,8981,2236,2743,942,2222,802,404,494,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,86264,5349,64821,5152,12106,2547,4248,979,4638,1800,451,428,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
