GEO_ID,B27020_001E,B27020_001M,B27020_002E,B27020_002M,B27020_003E,B27020_003M,B27020_004E,B27020_004M,B27020_005E,B27020_005M,B27020_006E,B27020_006M,B27020_007E,B27020_007M,B27020_008E,B27020_008M,B27020_009E,B27020_009M,B27020_010E,B27020_010M,B27020_011E,B27020_011M,B27020_012E,B27020_012M,B27020_013E,B27020_013M,B27020_014E,B27020_014M,B27020_015E,B27020_015M,B27020_016E,B27020_016M,B27020_017E,B27020_017M,NAME,B27020_001EA,B27020_001MA,B27020_002EA,B27020_002MA,B27020_003MA,B27020_003EA,B27020_004MA,B27020_004EA,B27020_005MA,B27020_005EA,B27020_006EA,B27020_006MA,B27020_007EA,B27020_007MA,B27020_008EA,B27020_008MA,B27020_009MA,B27020_009EA,B27020_010MA,B27020_010EA,B27020_011EA,B27020_011MA,B27020_012EA,B27020_012MA,B27020_013EA,B27020_013MA,B27020_014MA,B27020_014EA,B27020_015EA,B27020_015MA,B27020_016MA,B27020_016EA,B27020_017EA,B27020_017MA,state
0400000US01,4702769,1669,4535223,7529,3935681,16427,3002470,25777,1512874,20040,599542,16075,167546,7213,47519,3738,37781,3436,34169,3336,10292,1355,9738,2608,120027,6857,42715,3877,38817,3820,4956,1357,77312,6196,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,640530,4234,520103,7243,418327,9546,155702,6043,120427,7079,48719,3843,23521,2655,18009,2249,15467,2248,4899,899,5512,1690,25198,3181,14297,2241,12562,1986,2354,937,10901,2250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,5469393,17171,4727930,22370,3454181,29466,1949242,27249,741463,20447,840781,17386,308703,10026,255384,9662,187723,8826,103545,5281,53319,4805,532078,17669,261728,10721,169569,8486,105381,9120,270350,12657,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,2737117,5987,2301959,14141,1627953,18527,1019159,12449,435158,13753,130494,5829,36156,3617,26955,3124,23673,2960,7027,1630,9201,2237,94338,6659,38084,4705,33933,4647,5130,1282,56254,5998,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,26741523,60966,23234515,61796,17555503,73594,8220237,60151,3507008,41009,10074046,61038,4599256,43044,3821425,35534,2867120,30145,1350662,21045,777831,19419,5474790,60823,2934716,40446,1904640,31459,1129657,23889,2540074,41149,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,4466890,13505,3870688,21682,3223816,25201,1090094,19734,596202,18780,489983,13316,176096,7973,146923,7449,120878,6659,47364,3776,29173,4013,313887,12804,150153,8921,113415,7845,42080,4894,163734,10648,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,3036712,14088,2834505,14753,2309221,20182,888034,15326,202207,7873,483201,13981,225533,8213,203690,7624,165575,7197,69807,4208,21843,2927,257668,11762,161585,10133,131536,8584,40336,4646,96083,7145,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,813606,3737,747423,7435,585910,11219,276361,9701,66183,6390,71626,3576,33356,3004,30517,2716,24005,2507,12087,1914,2839,1053,38270,3092,21491,3074,17503,2925,4667,1513,16779,3163,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,513383,4547,481523,4735,363758,7428,184041,6750,31860,2939,80899,4488,31941,3334,27579,2987,23184,2691,9607,1559,4362,1160,48958,3714,40016,3621,27870,3526,13867,3038,8942,2398,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,14905762,38000,12393417,48914,9312819,56828,5120330,37072,2512345,41633,3628319,37471,1761025,25337,1376773,23629,967724,21103,595795,11018,384252,13799,1867294,31864,822831,22320,607753,19830,257543,10587,1044463,25379,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
