GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001MA,C17010H_001EA,C17010H_002MA,C17010H_002EA,C17010H_003MA,C17010H_003EA,C17010H_004EA,C17010H_004MA,C17010H_005MA,C17010H_005EA,C17010H_006EA,C17010H_006MA,C17010H_007MA,C17010H_007EA,C17010H_008EA,C17010H_008MA,C17010H_009EA,C17010H_009MA,C17010H_010MA,C17010H_010EA,C17010H_011MA,C17010H_011EA,C17010H_012MA,C17010H_012EA,C17010H_013MA,C17010H_013EA,C17010H_014MA,C17010H_014EA,C17010H_015EA,C17010H_015MA,C17010H_016MA,C17010H_016EA,C17010H_017MA,C17010H_017EA,state
0400000US01,878546,9385,83696,4488,36587,2519,20313,2301,47109,3731,8892,1814,6528,1833,38217,2956,32036,2809,794850,9780,668222,9466,250202,6699,126628,5478,39636,3860,19923,2586,86992,3980,44051,3129,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,121855,3723,5016,1089,1605,563,1030,504,3411,990,522,365,470,353,2889,937,2889,937,116839,3626,98054,3951,45507,3204,18785,1817,8049,1556,4739,1046,10736,1556,7343,1266,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1002970,9499,71577,5207,31239,2940,15523,2345,40338,4156,7609,1470,5863,1393,32729,3928,27318,3675,931393,9158,770574,9066,249871,7265,160819,7147,51282,3911,29038,2874,109537,5595,61329,4206,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,597637,7430,61424,4000,25399,2296,14506,1914,36025,3213,6003,1398,3391,1052,30022,2926,26666,2745,536213,7006,446883,7557,161295,4977,89330,4671,28044,2543,13396,1759,61286,3562,36472,3078,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3879321,21523,222488,7721,102012,5310,49948,3460,120476,5970,27409,3002,19378,2714,93067,4693,73001,4675,3656833,20477,2955178,18352,1125448,14461,701655,13195,222855,8104,103632,5670,478800,10784,234695,8860,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,938629,10055,52470,3858,22431,2685,10156,1607,30039,2782,5319,1379,3940,1218,24720,2547,21461,2448,886159,9324,739215,9259,297285,7184,146944,4514,50114,3285,29034,2865,96830,4534,53688,3397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,669611,8221,22900,2676,10084,1688,4316,1068,12816,1941,2422,841,2007,790,10394,1700,8774,1574,646711,8054,528856,7129,213956,5883,117855,4978,34764,2990,15443,2177,83091,4703,43193,3434,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,152822,3778,7232,1419,3004,915,1775,676,4228,993,907,571,746,521,3321,798,2760,784,145590,3660,118578,3714,42780,2310,27012,2338,7953,1291,4215,903,19059,2019,10259,1727,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31930,1605,476,282,325,241,57,92,151,148,0,292,0,292,151,148,41,66,31454,1586,28763,1475,11199,1024,2691,726,1032,453,680,341,1659,554,701,326,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2855004,20835,213288,7592,98654,5166,42347,3703,114634,5984,25208,2445,16451,2030,89426,5250,72306,5006,2641716,19188,2196179,17626,653082,12308,445537,12037,135855,7018,64601,4809,309682,8723,156975,5093,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1459638,12875,113770,5325,51936,3793,30198,2778,61834,4351,11303,1802,7442,1274,50531,4065,40720,3332,1345868,11947,1139847,11853,458858,9065,206021,7352,63635,3757,33294,3005,142386,6411,79329,4922,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,82230,2754,4933,1058,2525,932,1130,710,2408,595,456,359,346,319,1952,583,1405,465,77297,2503,63628,2640,23430,1781,13669,1680,5494,1177,2356,772,8175,1306,4322,968,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,350245,6241,33382,2532,17781,2106,10074,1553,15601,2069,2894,1059,2100,965,12707,1855,10956,1641,316863,6255,271262,5701,111358,4229,45601,3281,14560,1941,9241,1676,31041,2601,20441,2053,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
