GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001MA,B17020I_001EA,B17020I_002EA,B17020I_002MA,B17020I_003EA,B17020I_003MA,B17020I_004MA,B17020I_004EA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007MA,B17020I_007EA,B17020I_008MA,B17020I_008EA,B17020I_009MA,B17020I_009EA,B17020I_010MA,B17020I_010EA,B17020I_011EA,B17020I_011MA,B17020I_012MA,B17020I_012EA,B17020I_013MA,B17020I_013EA,B17020I_014EA,B17020I_014MA,B17020I_015MA,B17020I_015EA,B17020I_016MA,B17020I_016EA,B17020I_017EA,B17020I_017MA,state
0400000US01,178770,2687,55063,6497,8729,1738,1967,1067,9138,1878,5428,1365,29488,3948,99,117,214,262,123707,6120,14935,1967,2451,872,13589,2041,9962,1462,78934,4314,1900,603,1936,929,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39791,1587,3407,1209,615,417,47,55,501,561,398,322,1755,652,37,67,54,95,36384,1970,4132,581,895,495,3868,927,4076,842,22528,1676,618,375,267,306,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1860757,3971,494637,22142,73857,5847,13281,2104,74670,5813,66042,5516,249848,11365,10353,1673,6586,1295,1366120,22790,128542,5869,26147,3390,157323,6837,157361,7320,816989,11780,49786,1952,29972,1852,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,178066,2088,56748,7036,9884,1966,2488,1029,9971,1822,5058,1401,28825,3884,109,141,413,426,121318,7203,12854,1871,3175,1135,13605,1918,14114,1939,74658,4143,1887,670,1025,473,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13838308,7969,3169807,58769,425374,12588,82281,5257,467585,16143,439598,14766,1640986,28056,66199,3614,47784,3338,10668501,59801,896583,12831,187934,7424,1066906,16403,1125462,16317,6761895,28986,372141,4588,257580,4431,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1017539,3420,253560,13218,40634,3540,7389,1497,36655,3299,29230,2673,129661,6987,5781,1200,4210,748,763979,14345,70053,3434,15347,1884,91170,4576,79503,4456,465283,7821,26813,1376,15810,1325,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467527,1939,110433,8998,13127,1670,1938,844,15430,2300,14305,2387,60456,4961,3464,1042,1713,696,357094,8755,33192,1833,6148,1178,37171,2984,36653,2771,228230,4797,11439,1117,4261,750,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,71973,546,15610,4020,2892,1267,249,279,2762,1135,948,519,8258,2048,409,407,92,119,56363,4151,5450,1339,863,525,7088,1110,6361,1152,34604,2197,1125,510,872,452,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,53759,433,7899,2443,818,643,274,314,787,713,610,551,4748,1551,345,227,317,216,45860,2458,3717,644,890,445,2826,761,2281,596,34039,1596,1659,368,448,288,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4192395,3831,913141,29211,98009,6954,19450,2816,99730,8418,93489,4945,508961,18265,48974,3655,44528,3669,3279254,29620,210460,7168,44350,4340,259462,8000,271817,8391,2151634,18533,193144,3826,148387,3936,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
