GEO_ID,C25032G_001E,C25032G_001M,C25032G_002E,C25032G_002M,C25032G_003E,C25032G_003M,C25032G_004E,C25032G_004M,C25032G_005E,C25032G_005M,NAME,C25032G_001MA,C25032G_001EA,C25032G_002EA,C25032G_002MA,C25032G_003EA,C25032G_003MA,C25032G_004EA,C25032G_004MA,C25032G_005EA,C25032G_005MA,state
0400000US01,15121,1754,10147,1530,901,430,1811,672,2262,778,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10500,1452,6018,1120,1810,832,2241,741,431,256,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,37099,3025,24539,2678,2130,778,7042,1332,3388,871,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13926,1754,8354,1255,2171,778,1188,589,2213,808,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,351034,9243,214414,6697,31337,3379,94262,5548,11021,1538,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,43020,3446,26588,2572,2268,887,11247,1681,2917,838,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,18896,2252,9602,1454,4702,1270,4395,1203,197,179,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4850,1027,3583,924,372,298,350,239,545,276,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4742,1141,1700,483,577,440,2465,927,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,96237,5552,60270,4535,7142,1363,21266,2251,7559,1336,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,35958,3091,24609,2166,1581,599,7054,1485,2714,845,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70506,3765,47065,2742,5352,1462,18011,2108,78,130,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8844,1172,5786,1053,1622,680,1024,598,412,213,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,50577,4376,29947,3000,5914,1223,13223,2148,1493,631,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23119,2429,16504,2121,1823,705,3567,968,1225,434,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12878,1783,7775,1345,1323,533,3254,870,526,352,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20569,2178,14137,1897,1321,595,3985,1289,1126,485,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,15236,2021,9664,1584,1882,773,2529,787,1161,459,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16526,1806,11392,1565,1937,723,1902,734,1295,464,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5378,893,2619,724,1167,568,974,422,618,301,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,33844,2615,21482,2460,1940,670,10038,1559,384,308,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,44989,3765,14271,1732,16256,2447,13930,2176,532,393,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53644,3023,36214,2678,4024,974,10106,1401,3300,789,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,25532,2528,15277,1624,1818,602,7584,1700,853,334,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6909,1451,3985,950,831,490,749,552,1344,704,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,32545,2840,22043,2484,2748,746,5090,1280,2664,745,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6163,1152,3562,1014,843,462,822,478,936,410,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,9166,1488,5931,1238,991,462,1990,720,254,145,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,23295,2755,15355,2187,1974,739,5074,1274,892,391,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5825,1162,3167,753,1502,771,682,302,474,356,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,52796,3728,26711,2774,11447,1689,14256,2044,382,290,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,15354,1886,9882,1550,633,346,3080,999,1759,631,New Mexico,null,null,null,null,null,null,null,null,null,null,35
