GEO_ID,B01001C_001E,B01001C_001M,B01001C_002E,B01001C_002M,B01001C_003E,B01001C_003M,B01001C_004E,B01001C_004M,B01001C_005E,B01001C_005M,B01001C_006E,B01001C_006M,B01001C_007E,B01001C_007M,B01001C_008E,B01001C_008M,B01001C_009E,B01001C_009M,B01001C_010E,B01001C_010M,B01001C_011E,B01001C_011M,B01001C_012E,B01001C_012M,B01001C_013E,B01001C_013M,B01001C_014E,B01001C_014M,B01001C_015E,B01001C_015M,B01001C_016E,B01001C_016M,B01001C_017E,B01001C_017M,B01001C_018E,B01001C_018M,B01001C_019E,B01001C_019M,B01001C_020E,B01001C_020M,B01001C_021E,B01001C_021M,B01001C_022E,B01001C_022M,B01001C_023E,B01001C_023M,B01001C_024E,B01001C_024M,B01001C_025E,B01001C_025M,B01001C_026E,B01001C_026M,B01001C_027E,B01001C_027M,B01001C_028E,B01001C_028M,B01001C_029E,B01001C_029M,B01001C_030E,B01001C_030M,B01001C_031E,B01001C_031M,NAME,B01001C_001EA,B01001C_001MA,B01001C_002EA,B01001C_002MA,B01001C_003MA,B01001C_003EA,B01001C_004EA,B01001C_004MA,B01001C_005MA,B01001C_005EA,B01001C_006EA,B01001C_006MA,B01001C_007EA,B01001C_007MA,B01001C_008EA,B01001C_008MA,B01001C_009EA,B01001C_009MA,B01001C_010MA,B01001C_010EA,B01001C_011EA,B01001C_011MA,B01001C_012EA,B01001C_012MA,B01001C_013EA,B01001C_013MA,B01001C_014MA,B01001C_014EA,B01001C_015EA,B01001C_015MA,B01001C_016MA,B01001C_016EA,B01001C_017MA,B01001C_017EA,B01001C_018EA,B01001C_018MA,B01001C_019EA,B01001C_019MA,B01001C_020EA,B01001C_020MA,B01001C_021MA,B01001C_021EA,B01001C_022MA,B01001C_022EA,B01001C_023EA,B01001C_023MA,B01001C_024EA,B01001C_024MA,B01001C_025MA,B01001C_025EA,B01001C_026MA,B01001C_026EA,B01001C_027MA,B01001C_027EA,B01001C_028MA,B01001C_028EA,B01001C_029EA,B01001C_029MA,B01001C_030EA,B01001C_030MA,B01001C_031MA,B01001C_031EA,state
0400000US01,27768,3139,13113,1851,1114,594,840,481,970,360,1076,402,367,414,1059,550,878,544,793,418,1147,495,2158,628,2058,637,564,332,89,105,0,273,14655,2150,420,270,1816,1083,1009,461,563,308,650,383,1528,808,1252,592,740,350,1861,725,2020,547,1662,562,537,350,500,297,97,141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,104539,3544,51363,2438,4925,618,5776,935,4700,832,3219,554,1972,419,4703,713,3421,1145,2996,549,5769,769,6630,962,4624,564,1694,397,822,204,112,97,53176,2537,5282,596,4454,766,4627,783,2617,518,1782,386,5255,750,3407,608,3393,597,5755,892,8054,1069,4660,527,2504,409,1127,218,259,208,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,285768,6634,140083,4254,12786,1198,12707,1726,13914,1573,7744,915,5530,1000,14368,1555,11098,1015,9637,1072,17587,1297,15689,1245,10902,828,4653,741,2442,612,1026,384,145685,3534,11704,1275,12813,1734,12754,1718,8235,938,5349,802,12532,1099,11278,892,10325,1001,17368,1018,18988,1359,12578,765,7139,782,3134,569,1488,328,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18625,2295,8091,1306,74,112,1019,464,480,398,833,444,25,61,544,329,323,270,311,239,1583,624,1762,794,950,453,115,120,47,80,25,34,10534,1793,661,483,587,317,730,495,250,260,924,596,603,463,797,442,1360,667,902,546,1447,435,1731,788,420,286,86,133,36,62,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,281908,12716,139811,6814,9637,1888,11036,2216,9491,1718,6524,1446,5718,1284,12088,1785,7918,1298,8969,1511,23518,2039,18429,1829,16013,1645,6633,1148,3474,816,363,234,142097,7584,8544,1866,9150,1483,11362,2013,7209,1308,3026,933,10881,1612,10987,1757,11870,1931,19391,2196,22462,2563,15579,1743,6751,1150,3910,1089,975,405,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49608,5624,25829,3129,1179,768,1842,644,1480,632,1648,707,1221,700,2027,732,2277,862,2295,777,4594,1124,3096,652,2628,768,1052,349,352,249,138,122,23779,3065,957,433,1642,582,2539,816,567,286,1453,663,1473,624,1034,485,1550,583,4059,956,3321,953,3666,853,1061,446,457,348,0,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,67854,6928,36630,4680,3193,1232,2091,1071,1981,1125,1618,778,1688,698,3979,1385,2802,978,3297,1392,4646,1389,4802,1228,4133,1040,1747,836,653,334,0,310,31224,3910,2138,921,2385,864,1093,612,1701,811,718,477,1790,821,2257,1015,2771,1410,4609,1027,5628,1414,4325,1108,1537,569,68,109,204,238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
