GEO_ID,B13016_001E,B13016_001M,B13016_002E,B13016_002M,B13016_003E,B13016_003M,B13016_004E,B13016_004M,B13016_005E,B13016_005M,B13016_006E,B13016_006M,B13016_007E,B13016_007M,B13016_008E,B13016_008M,B13016_009E,B13016_009M,B13016_010E,B13016_010M,B13016_011E,B13016_011M,B13016_012E,B13016_012M,B13016_013E,B13016_013M,B13016_014E,B13016_014M,B13016_015E,B13016_015M,B13016_016E,B13016_016M,B13016_017E,B13016_017M,NAME,B13016_001EA,B13016_001MA,B13016_002MA,B13016_002EA,B13016_003MA,B13016_003EA,B13016_004EA,B13016_004MA,B13016_005EA,B13016_005MA,B13016_006MA,B13016_006EA,B13016_007MA,B13016_007EA,B13016_008MA,B13016_008EA,B13016_009EA,B13016_009MA,B13016_010EA,B13016_010MA,B13016_011MA,B13016_011EA,B13016_012MA,B13016_012EA,B13016_013EA,B13016_013MA,B13016_014MA,B13016_014EA,B13016_015MA,B13016_015EA,B13016_016MA,B13016_016EA,B13016_017EA,B13016_017MA,state
0400000US01,1174012,4189,66243,4226,4756,897,19745,2762,16509,1949,14322,1986,7327,1591,2205,744,1379,560,1107769,5691,163138,3555,151589,4520,140560,3358,136636,2733,146653,5092,159353,5447,209840,3144,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177281,1793,12494,1786,746,392,3334,746,3195,1050,3021,928,1211,499,560,295,427,461,164787,2287,24324,1525,22846,1395,21631,1240,20366,1209,18781,1669,23746,1734,33093,1609,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1527153,3857,86210,4956,6827,1594,19576,2563,27311,2871,17689,2270,10279,1580,2373,733,2155,804,1440943,6650,215630,2616,194504,3172,189105,3218,187620,2644,199891,6281,193788,6468,260405,3771,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,697187,4255,37344,3196,2723,770,11475,1985,9943,1710,8047,1696,2906,935,1170,537,1080,561,659843,5319,101007,3650,89424,4407,82887,2846,81072,2623,92695,4248,90435,3656,122323,2658,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9517677,8957,508113,12820,31049,3203,95248,5458,129071,6942,132395,6126,81486,4841,28319,2796,10545,1506,9009564,16738,1335040,6138,1234914,7542,1201020,7313,1144415,6820,1216079,12682,1255924,12541,1622172,8580,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1257790,4477,68838,4408,3283,1039,15480,2468,19091,2536,17477,2200,10036,1576,2582,780,889,502,1188952,6601,162292,3056,153460,3120,160095,3089,155547,2537,168376,5263,164522,5329,224660,3443,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,872153,2859,42002,3265,1302,627,7293,1447,10475,1500,12074,1624,7537,1385,2341,902,980,405,830151,4250,120366,1649,103876,1620,96335,1651,92959,1994,110001,3710,127408,3438,179206,2583,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221127,1577,9902,1749,377,339,2154,817,2992,820,2848,844,1005,464,423,375,103,127,211225,2296,33453,1365,27778,1397,25836,1125,24376,1000,27217,2083,31607,2314,40958,1376,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,186080,1077,9098,1634,891,536,2219,990,1435,641,1976,657,1667,632,656,334,254,168,176982,2114,21201,1358,31769,1547,36066,641,26692,657,21124,1663,17455,1729,22675,834,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418652,6592,211737,10946,13567,2432,51004,5287,57765,5090,46072,3996,28884,2875,9410,1506,5035,1416,4206915,12631,584125,6492,555077,6240,516565,5235,508023,5348,577913,11070,614690,10619,850522,6210,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
