GEO_ID,C15010H_001E,C15010H_001M,C15010H_002E,C15010H_002M,C15010H_003E,C15010H_003M,C15010H_004E,C15010H_004M,C15010H_005E,C15010H_005M,C15010H_006E,C15010H_006M,NAME,C15010H_001EA,C15010H_001MA,C15010H_002EA,C15010H_002MA,C15010H_003MA,C15010H_003EA,C15010H_004MA,C15010H_004EA,C15010H_005MA,C15010H_005EA,C15010H_006EA,C15010H_006MA,state
0400000US01,547317,10954,156388,5900,54750,4182,128465,5502,101634,5443,106080,4250,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,104152,4755,42577,3113,10851,1563,13349,2100,12933,1661,24442,2212,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,857932,12582,267428,7232,78201,4444,185957,7083,139360,6713,186986,7619,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,318463,8992,89750,5010,29965,2620,70787,4201,68849,3775,59112,3746,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4331513,30868,1702060,20788,282161,7080,736861,14293,374320,8868,1236111,17776,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1062707,13169,398350,9071,88785,4895,210013,7576,124695,5661,240864,7363,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,730013,11832,257670,6986,57757,3791,142972,5796,90911,5136,180703,6405,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,124788,4518,42910,2702,11254,1320,24315,2144,17906,1718,28403,2489,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,133877,2460,65584,3063,3584,915,11756,1893,4756,1098,48197,2868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2368917,22086,730218,13003,207522,7313,552065,10213,387375,9649,491737,11297,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1180537,15117,359276,8558,102285,5592,279238,9192,181946,6570,257792,7039,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,100272,4541,41167,3304,7642,1341,15866,1684,9447,1668,26150,2487,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,225806,6902,75183,3831,21830,2372,39895,3681,40336,3116,48562,3798,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1987525,18533,610126,12070,168349,5575,429831,9903,311264,9255,467955,10450,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,840935,11584,233313,6399,95896,5036,175648,5669,160366,5892,175712,6747,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,470962,10747,136996,5404,45604,3097,94368,4476,100630,4527,93364,4434,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,483305,9939,134943,4886,45950,3282,104933,4482,93607,3905,103872,5113,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,537446,10234,156274,5812,59726,3570,106769,4719,100337,4456,114340,5192,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,470339,11367,133494,5330,57253,3766,94087,5227,87887,4444,97618,4526,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,242430,6756,84151,4123,22551,2171,34474,2869,40792,2687,60462,4293,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,919669,11982,378238,9274,70613,4115,143166,5382,105376,5520,222276,6711,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1474886,14761,549576,10195,115653,5393,276128,7989,156281,5779,377248,9655,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1381640,16282,426719,10235,137707,5153,302355,7883,241098,7786,273761,6561,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
