GEO_ID,B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,NAME,B12505_001MA,B12505_001EA,B12505_002EA,B12505_002MA,B12505_003EA,B12505_003MA,B12505_004EA,B12505_004MA,B12505_005MA,B12505_005EA,B12505_006EA,B12505_006MA,B12505_007EA,B12505_007MA,B12505_008EA,B12505_008MA,B12505_009MA,B12505_009EA,B12505_010EA,B12505_010MA,B12505_011EA,B12505_011MA,B12505_012EA,B12505_012MA,B12505_013EA,B12505_013MA,state
0400000US01,3849111,3291,1844661,3620,598916,9648,1245745,9182,857482,9872,284866,7796,103397,5423,2004450,3278,523685,9742,1480765,9456,1016066,11633,339727,8092,124972,5403,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558161,1252,290598,1332,103256,4599,187342,4445,135217,5299,40146,3496,11979,1738,267563,1192,73175,3321,194388,3222,139230,3693,42049,2831,13109,1712,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5051999,1686,2492590,2424,879512,10546,1613078,10369,1158169,12897,344756,8228,110153,5829,2559409,2314,717857,11136,1841552,10484,1318199,12932,399041,9686,124312,5745,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2329778,3252,1128804,3575,332606,7748,796198,7226,520655,9651,193635,6979,81908,4393,1200974,3412,281988,7140,918986,6219,600602,8851,223146,6455,95238,4603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29705525,3415,14662335,4581,5830573,28157,8831762,27189,7025904,28990,1470348,18335,335510,9147,15043190,4579,4864486,24224,10178704,24891,8087586,28442,1714450,19277,376668,8199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4021728,2195,2004303,3064,690093,9543,1314210,9328,980362,11265,264177,7289,69671,4423,2017425,2781,543041,9931,1474384,10195,1089539,12213,299671,8385,85174,4223,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2911821,1051,1399329,1340,507552,7494,891777,7161,715560,7662,151012,5081,25205,2407,1512492,1554,452491,7327,1060001,7529,864062,8784,170013,5924,25926,2281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,730643,811,350025,1332,123659,4151,226366,3756,168200,4412,47775,3397,10391,1475,380618,1147,117400,3433,263218,3426,200750,3964,51391,2844,11077,1524,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,520355,383,243152,725,143315,3853,99837,3754,80120,3959,17385,2049,2332,686,277203,726,154605,3577,122598,3641,102285,4211,17609,2099,2704,837,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15555825,4678,7534535,6305,2554092,19232,4980443,17979,3461683,24682,1161305,17351,357455,9573,8021290,4588,2136659,18984,5884631,19469,4154977,22665,1342876,18643,386778,10131,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7637800,4568,3683258,5446,1303654,12443,2379604,13946,1729448,16995,498123,10943,152033,6514,3954542,4875,1175209,12347,2779333,12564,2020660,15777,575626,12011,183047,7660,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1111069,934,554154,1277,209554,4615,344600,4426,275416,4991,56526,3247,12658,1795,556915,900,159585,4225,397330,4304,318461,5697,64675,3341,14194,1845,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1211208,1506,602308,1969,170204,4782,432104,4604,307977,6516,92908,4196,31219,2012,608900,2043,136528,4912,472372,4509,326135,6197,103519,4267,42718,2603,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
