GEO_ID,C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,NAME,C16009_001EA,C16009_001MA,C16009_002EA,C16009_002MA,C16009_003MA,C16009_003EA,C16009_004MA,C16009_004EA,C16009_005MA,C16009_005EA,C16009_006EA,C16009_006MA,C16009_007MA,C16009_007EA,C16009_008MA,C16009_008EA,C16009_009EA,C16009_009MA,C16009_010EA,C16009_010MA,C16009_011MA,C16009_011EA,C16009_012EA,C16009_012MA,C16009_013EA,C16009_013MA,state
0400000US01,4363168,3622,791945,20315,738390,19875,43688,5125,4321,1419,4550,1561,996,749,3571223,20337,3399497,21613,105813,7015,33917,3673,26591,3353,5405,1952,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,644276,1824,59410,5602,44702,4969,1843,919,1760,781,3855,1514,7250,1411,584866,5746,492838,6639,19680,2702,14418,2692,32843,3616,25087,2298,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5823297,3722,969250,29487,556268,22551,326816,20263,13264,3203,14575,3628,58327,5578,4854047,29934,3721130,27467,852430,22530,95302,6749,94170,7118,91015,6488,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2649067,2825,472539,14600,421457,13237,42704,6124,2998,1195,3741,1543,1639,1339,2176528,15234,2044055,14430,91041,6106,19254,2870,20576,3369,1602,583,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34111830,6181,5195329,66307,2225922,36210,2298451,47867,174311,12008,430118,16329,66527,8654,28916501,67164,16887037,63418,7596856,58507,1290749,27121,2881126,33910,260733,14741,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4595855,2399,586840,20063,415234,15699,136647,10408,11385,2238,11744,2552,11830,3289,4009015,20506,3397369,22747,419743,17993,93567,6802,76917,4248,21419,3016,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3268309,1904,317431,14228,201172,11634,81650,7068,23363,3473,7007,2168,4239,2161,2950878,14143,2370290,18178,262078,8657,241056,10276,63548,4958,13906,2146,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,819845,946,91285,6932,74344,6683,12294,3088,2061,1126,1834,925,752,954,728560,6971,645712,7508,44693,3809,22572,3267,12357,1533,3226,1250,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,538362,347,100670,6676,87486,6147,5856,1946,3521,986,2359,891,1448,789,437692,6652,372600,7140,31978,3364,18201,2370,6244,1391,8669,2074,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17384045,5707,2764401,37717,1810294,31964,731856,26802,174317,13601,32664,4746,15270,3569,14619644,37955,10772793,42318,2786497,27631,768646,22708,222136,9708,69572,7091,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8776968,5202,1493672,32754,1220064,30551,209814,12765,26992,4145,24258,4831,12544,4221,7283296,34817,6402924,32735,476713,14516,195047,9807,157055,8173,51557,5680,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
