GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001MA,C21001D_001EA,C21001D_002MA,C21001D_002EA,C21001D_003MA,C21001D_003EA,C21001D_004MA,C21001D_004EA,C21001D_005MA,C21001D_005EA,C21001D_006MA,C21001D_006EA,C21001D_007MA,C21001D_007EA,C21001D_008MA,C21001D_008EA,C21001D_009EA,C21001D_009MA,C21001D_010MA,C21001D_010EA,C21001D_011MA,C21001D_011EA,C21001D_012MA,C21001D_012EA,C21001D_013MA,C21001D_013EA,C21001D_014MA,C21001D_014EA,C21001D_015EA,C21001D_015MA,state
0400000US01,39511,1883,17760,1258,16593,1258,470,394,16123,1314,1167,385,136,182,1031,351,21751,1316,19576,1264,399,488,19177,1118,2175,622,0,273,2175,622,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28437,2138,12980,1425,11990,1278,564,360,11426,1236,990,508,0,246,990,508,15457,1120,13492,961,164,166,13328,1002,1965,439,0,246,1965,439,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,136869,3215,62896,2137,56960,2272,2834,915,54126,2407,5936,609,865,336,5071,696,73973,1986,65097,1968,796,560,64301,2026,8876,828,0,305,8876,828,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3883446,10466,1793958,5967,1551361,5732,56002,4059,1495359,6690,242597,1865,39073,2737,203524,2850,2089488,7158,1761580,6656,4963,1168,1756617,7053,327908,2304,796,431,327112,2317,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,102883,2840,45308,2029,41525,2139,1856,687,39669,2243,3783,557,974,388,2809,510,57575,1815,51318,1720,608,484,50710,1809,6257,827,0,279,6257,827,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,100502,1674,48202,1121,44553,1118,540,345,44013,1182,3649,443,158,197,3491,466,52300,1122,48066,1123,112,138,47954,1115,4234,523,0,281,4234,523,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21386,958,10129,659,9173,641,150,192,9023,646,956,209,17,27,939,205,11257,566,9970,561,0,265,9970,561,1287,269,0,265,1287,269,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19604,876,8094,446,7641,453,221,208,7420,551,453,220,97,108,356,228,11510,686,10606,718,0,292,10606,718,904,375,0,292,904,375,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,354719,4608,160147,3252,142243,3273,5712,1530,136531,3395,17904,1158,2287,703,15617,1042,194572,2918,170271,3119,752,456,169519,3245,24301,1309,62,77,24239,1307,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,237045,3680,112386,2714,103763,2380,2737,934,101026,2303,8623,944,603,329,8020,951,124659,2256,113143,2002,659,428,112484,2091,11516,1045,62,104,11454,1056,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,448481,6880,203440,4025,155675,3723,15997,1866,139678,3862,47765,1068,22325,1424,25440,1744,245041,4045,177190,3594,1614,826,175576,3564,67851,1298,733,555,67118,1374,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,13460,1189,5256,672,4448,670,47,83,4401,667,808,312,378,224,430,274,8204,989,7238,884,0,267,7238,884,966,488,0,267,966,488,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,461502,4071,217273,3706,193123,3815,3839,1284,189284,3807,24150,805,1500,547,22650,974,244229,4130,214967,4109,583,407,214384,4104,29262,929,59,95,29203,933,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
