GEO_ID,C27006_001E,C27006_001M,C27006_002E,C27006_002M,C27006_003E,C27006_003M,C27006_004E,C27006_004M,C27006_005E,C27006_005M,C27006_006E,C27006_006M,C27006_007E,C27006_007M,C27006_008E,C27006_008M,C27006_009E,C27006_009M,C27006_010E,C27006_010M,C27006_011E,C27006_011M,C27006_012E,C27006_012M,C27006_013E,C27006_013M,C27006_014E,C27006_014M,C27006_015E,C27006_015M,C27006_016E,C27006_016M,C27006_017E,C27006_017M,C27006_018E,C27006_018M,C27006_019E,C27006_019M,C27006_020E,C27006_020M,C27006_021E,C27006_021M,NAME,C27006_001EA,C27006_001MA,C27006_002MA,C27006_002EA,C27006_003EA,C27006_003MA,C27006_004MA,C27006_004EA,C27006_005EA,C27006_005MA,C27006_006EA,C27006_006MA,C27006_007EA,C27006_007MA,C27006_008MA,C27006_008EA,C27006_009MA,C27006_009EA,C27006_010MA,C27006_010EA,C27006_011EA,C27006_011MA,C27006_012EA,C27006_012MA,C27006_013EA,C27006_013MA,C27006_014EA,C27006_014MA,C27006_015MA,C27006_015EA,C27006_016MA,C27006_016EA,C27006_017EA,C27006_017MA,C27006_018EA,C27006_018MA,C27006_019EA,C27006_019MA,C27006_020MA,C27006_020EA,C27006_021MA,C27006_021EA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,3708,1331,576701,4471,1411696,4278,79865,4783,1331831,6025,272177,2147,267368,2167,4809,1071,2438487,5571,553229,3838,4713,1690,548516,4030,1519840,3855,82460,4288,1437380,5846,365418,2200,359348,2312,6070,1339,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,1041,457,97026,1725,228051,1873,4445,981,223606,2170,25002,744,22846,829,2156,691,338129,1869,89917,1576,468,257,89449,1614,221384,1182,5980,1301,215404,1773,26828,631,25982,693,846,450,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,3982,1378,831367,2812,1869504,3564,57889,4458,1811615,5785,400532,1319,387221,2590,13311,2215,3204789,3753,794582,2245,4370,1560,790212,2627,1935179,2604,58761,3492,1876418,4364,475028,1801,460715,2549,14313,2101,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,1309,558,358758,3802,855780,5332,52708,3810,803072,5638,179686,1735,176968,1920,2718,761,1472078,6426,349307,3824,1908,821,347399,3836,897653,5403,57865,3535,839788,6589,225118,1959,222258,2094,2860,944,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,38228,4703,4710972,5685,11577968,9176,293248,10942,11284720,14040,1825311,3391,1719058,6444,106253,5498,18663090,7973,4539491,3888,31410,3392,4508081,5338,11771939,6474,300642,8036,11471297,10729,2351660,4990,2238665,6507,112995,4969,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,3417,1279,626422,3182,1592801,5038,38999,3357,1553802,6125,239600,1431,231668,1928,7932,1272,2494633,6292,596369,3090,2465,1003,593904,3111,1601729,4414,39301,3140,1562428,4540,296535,1791,287386,2138,9149,1423,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,1203,615,414942,1446,1080650,1981,32347,3641,1048303,4240,207322,1165,197643,2037,9679,1719,1815796,2076,398865,1282,1411,650,397454,1246,1139428,1712,34052,2956,1105376,3462,277503,1289,267665,1852,9838,1381,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,399,287,105084,1112,265250,1178,10019,1695,255231,2073,55472,575,54136,898,1336,724,459027,1568,100563,969,644,534,99919,1047,288519,1142,12024,1896,276495,1979,69945,566,68463,806,1482,701,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,279,301,50940,775,200415,1083,5701,1532,194714,1925,26736,414,24282,750,2454,582,315912,1126,49771,582,607,401,49164,718,225760,797,5980,1369,219780,1535,40381,1099,37248,1194,3133,964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,13461,2557,2026964,5769,5503186,7114,198143,7583,5305043,8972,1435899,3228,1379216,5666,56683,4302,9554571,6409,1949822,4738,12560,2737,1937262,5191,5832093,4854,213769,8459,5618324,10089,1772656,3805,1710021,4971,62635,3874,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
