GEO_ID,C06008_001E,C06008_001M,C06008_002E,C06008_002M,C06008_003E,C06008_003M,C06008_004E,C06008_004M,C06008_005E,C06008_005M,C06008_006E,C06008_006M,C06008_007E,C06008_007M,C06008_008E,C06008_008M,C06008_009E,C06008_009M,C06008_010E,C06008_010M,C06008_011E,C06008_011M,C06008_012E,C06008_012M,C06008_013E,C06008_013M,C06008_014E,C06008_014M,C06008_015E,C06008_015M,C06008_016E,C06008_016M,C06008_017E,C06008_017M,C06008_018E,C06008_018M,C06008_019E,C06008_019M,C06008_020E,C06008_020M,C06008_021E,C06008_021M,C06008_022E,C06008_022M,C06008_023E,C06008_023M,C06008_024E,C06008_024M,C06008_025E,C06008_025M,NAME,C06008_001EA,C06008_001MA,C06008_002MA,C06008_002EA,C06008_003MA,C06008_003EA,C06008_004EA,C06008_004MA,C06008_005MA,C06008_005EA,C06008_006MA,C06008_006EA,C06008_007MA,C06008_007EA,C06008_008MA,C06008_008EA,C06008_009MA,C06008_009EA,C06008_010EA,C06008_010MA,C06008_011MA,C06008_011EA,C06008_012MA,C06008_012EA,C06008_013EA,C06008_013MA,C06008_014EA,C06008_014MA,C06008_015EA,C06008_015MA,C06008_016EA,C06008_016MA,C06008_017EA,C06008_017MA,C06008_018MA,C06008_018EA,C06008_019EA,C06008_019MA,C06008_020EA,C06008_020MA,C06008_021EA,C06008_021MA,C06008_022EA,C06008_022MA,C06008_023MA,C06008_023EA,C06008_024MA,C06008_024EA,C06008_025EA,C06008_025MA,state
0400000US01,3849111,3291,1122601,16070,1854337,24359,591624,14791,280549,7959,2567620,18329,796270,13348,1164600,16901,401441,12352,205309,6300,1093873,16116,266129,9796,586528,12915,170793,7217,70423,4430,31886,3186,10110,2107,15090,2024,5976,1236,710,367,155732,6516,50092,4292,88119,5212,13414,2291,4107,1000,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558161,1252,176431,6388,278795,8331,81556,6182,21379,1947,165703,5203,88362,4199,52451,4001,20267,2401,4623,821,332787,6259,74611,5240,192116,6465,53044,4754,13016,1685,12115,1660,3661,956,6560,1373,1508,636,386,265,47556,3644,9797,1993,27668,2353,6737,1434,3354,822,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5051999,1686,1597369,16138,2476775,22585,702681,15100,275174,7496,1362601,21885,711772,13698,456870,12814,155277,7924,38682,3254,2815207,19714,668727,15277,1500241,17476,449610,11546,196629,6621,63756,4661,21243,2908,30790,2872,9550,1907,2173,904,810435,15494,195627,10889,488874,14203,88244,5606,37690,3274,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2329778,3252,614594,10401,1187781,15201,358767,10614,168636,5013,1324285,12534,378898,9920,637847,12481,206106,7711,101434,4179,869754,13420,193996,7632,471492,10057,140846,6336,63420,3530,14686,2083,5580,1439,7515,1358,1452,563,139,162,121053,5549,36120,5149,70927,4974,10363,1905,3643,992,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29705525,3415,10695059,43466,13941170,57300,3549326,35293,1519970,16508,13265248,57910,6569507,40795,4795255,44352,1513332,22177,387154,9809,6285755,34108,1508157,22477,3165053,27467,1016801,14186,595744,11416,388612,11799,134235,7665,185004,7281,52961,4638,16412,2096,9765910,56353,2483160,33627,5795858,45658,966232,18456,520660,10974,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4021728,2195,1233134,16015,2060635,20575,548132,11855,179827,5294,1351684,18486,563483,14157,564848,11826,170128,7364,53225,3456,2142912,18755,532136,11835,1189133,16644,315965,8456,105678,4448,62736,4438,22053,2775,30943,2958,9142,1741,598,305,464396,12485,115462,5531,275711,9623,52897,3912,20326,2712,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2911821,1051,960043,11980,1412013,15522,361462,9443,178303,5021,1447727,14510,569581,13437,621969,12393,176317,7129,79860,3794,891438,13235,230959,7987,476517,9602,115973,4948,67989,3304,110936,5834,41365,4121,43666,4170,18975,2459,6930,1102,461720,12405,118138,6241,269861,8784,50197,4157,23524,2315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,730643,811,241059,6070,349008,9981,93267,6160,47309,2818,283679,7677,120740,5250,111719,6003,36002,3402,15218,1902,366144,7869,98726,5469,189245,7062,49767,4065,28406,2241,12458,2734,4666,1596,5562,1512,1919,864,311,247,68362,3385,16927,2515,42482,3686,5579,1386,3374,905,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,520355,383,297920,6086,131641,5891,64876,3469,25918,1645,159883,4900,105149,4307,23810,2664,23366,2339,7558,1317,271982,6609,152852,6305,71437,4373,32300,2767,15393,1381,9652,1662,5405,1477,3309,877,848,551,90,109,78838,4536,34514,3977,33085,3503,8362,1338,2877,738,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15555825,4678,4690751,30634,7325899,41305,2432755,27510,1106420,13845,4050780,35261,2073393,25398,1311598,26661,530422,12562,135367,5549,7474255,36128,1606170,25334,3905692,32482,1256898,19305,705495,12188,522924,13581,154674,7982,247064,10627,89608,6109,31578,3727,3507866,33041,856514,21700,1861545,22745,555827,15550,233980,7825,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
