GEO_ID,B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,NAME,B05003F_001MA,B05003F_001EA,B05003F_002MA,B05003F_002EA,B05003F_003MA,B05003F_003EA,B05003F_004MA,B05003F_004EA,B05003F_005EA,B05003F_005MA,B05003F_006EA,B05003F_006MA,B05003F_007EA,B05003F_007MA,B05003F_008EA,B05003F_008MA,B05003F_009MA,B05003F_009EA,B05003F_010MA,B05003F_010EA,B05003F_011EA,B05003F_011MA,B05003F_012EA,B05003F_012MA,B05003F_013MA,B05003F_013EA,B05003F_014EA,B05003F_014MA,B05003F_015EA,B05003F_015MA,B05003F_016EA,B05003F_016MA,B05003F_017EA,B05003F_017MA,B05003F_018EA,B05003F_018MA,B05003F_019EA,B05003F_019MA,B05003F_020MA,B05003F_020EA,B05003F_021MA,B05003F_021EA,B05003F_022EA,B05003F_022MA,B05003F_023EA,B05003F_023MA,state
0400000US01,51693,6476,29486,4288,9092,2002,6715,1576,2377,1094,95,164,2282,1066,20394,3109,4303,1440,16091,3046,2121,899,13970,2909,22207,3038,8898,1518,7298,1446,1600,827,20,45,1580,826,13309,2112,3289,1077,10020,1888,1432,625,8588,1840,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6496,1747,2860,1079,405,271,405,271,0,246,0,246,0,246,2455,1003,1147,439,1308,881,743,755,565,405,3636,1023,847,482,847,482,0,246,0,246,0,246,2789,786,1270,523,1519,647,721,315,798,514,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,412806,22842,206335,12400,69787,6096,64731,5652,5056,1562,666,520,4390,1516,136548,8053,76355,6633,60193,4957,19537,2901,40656,4452,206471,12380,70172,5861,64939,5590,5233,1338,611,495,4622,1340,136299,8010,76522,5888,59777,4422,18593,2139,41184,3996,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,61388,6531,31956,3971,11374,1790,8724,1574,2650,950,199,165,2451,939,20582,2808,5284,1625,15298,2473,2609,859,12689,2541,29432,3635,10946,2151,9031,1813,1915,768,79,136,1836,771,18486,2105,4170,1036,14316,1887,2516,848,11800,2036,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4885973,67184,2492177,39987,807335,17146,744354,17100,62981,4588,4853,1499,58128,4251,1684842,29175,664770,18461,1020072,22925,275660,10209,744412,18965,2393796,32166,772276,15189,708492,14440,63784,5309,3995,1075,59789,5172,1621520,21877,673014,16937,948506,17576,309894,10359,638612,14869,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,282026,15805,148408,8418,51080,4948,46088,4889,4992,1485,413,389,4579,1415,97328,5587,49485,4510,47843,3992,10572,1835,37271,3807,133618,8934,48382,4927,44545,4903,3837,1371,534,424,3303,1338,85236,5082,46964,3706,38272,3421,9837,1837,28435,2931,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189961,10472,96431,6360,28160,3183,27125,3099,1035,632,16,27,1019,638,68271,4693,35190,3475,33081,4430,5105,1235,27976,4186,93530,5529,27294,2656,24890,2710,2404,904,220,202,2184,829,66236,3915,39693,3641,26543,3485,8074,1879,18469,2737,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17852,3914,9390,2178,3507,1022,3069,1056,438,418,0,265,438,418,5883,1462,1975,699,3908,1377,725,489,3183,1192,8462,2344,3146,1201,2728,1015,418,359,207,252,211,243,5316,1536,1961,937,3355,1063,1180,632,2175,831,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16825,3775,9318,2150,2067,987,1404,757,663,516,292,343,371,390,7251,1657,2637,841,4614,1301,2070,805,2544,1044,7507,2105,2167,1152,2088,1128,79,134,0,292,79,134,5340,1287,2000,940,3340,1089,1242,846,2098,777,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,495530,25289,254843,14912,63385,6076,57421,5674,5964,1654,1756,704,4208,1440,191458,12982,70661,5462,120797,12172,35596,4306,85201,11316,240687,13712,71447,6077,64287,5615,7160,2130,2387,1429,4773,1594,169240,9593,73346,5740,95894,7149,40193,4305,55701,5884,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
