GEO_ID,C17020I_001E,C17020I_001M,C17020I_002E,C17020I_002M,C17020I_003E,C17020I_003M,C17020I_004E,C17020I_004M,C17020I_005E,C17020I_005M,C17020I_006E,C17020I_006M,C17020I_007E,C17020I_007M,C17020I_008E,C17020I_008M,C17020I_009E,C17020I_009M,NAME,C17020I_001EA,C17020I_001MA,C17020I_002EA,C17020I_002MA,C17020I_003MA,C17020I_003EA,C17020I_004EA,C17020I_004MA,C17020I_005MA,C17020I_005EA,C17020I_006EA,C17020I_006MA,C17020I_007EA,C17020I_007MA,C17020I_008MA,C17020I_008EA,C17020I_009EA,C17020I_009MA,state
0400000US01,178770,2687,55063,6497,25262,3300,29488,3948,313,282,123707,6120,40937,3077,78934,4314,3836,1088,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39791,1587,3407,1209,1561,791,1755,652,91,124,36384,1970,12971,951,22528,1676,885,341,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1860757,3971,494637,22142,227850,12615,249848,11365,16939,2174,1366120,22790,469373,13014,816989,11780,79758,2291,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,178066,2088,56748,7036,27401,3882,28825,3884,522,443,121318,7203,43748,4002,74658,4143,2912,850,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13838308,7969,3169807,58769,1414838,34625,1640986,28056,113983,4732,10668501,59801,3276885,34253,6761895,28986,629721,6042,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1017539,3420,253560,13218,113908,7448,129661,6987,9991,1386,763979,14345,256073,7913,465283,7821,42623,1738,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467527,1939,110433,8998,44800,4810,60456,4961,5177,1291,357094,8755,113164,4783,228230,4797,15700,1256,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,71973,546,15610,4020,6851,2317,8258,2048,501,434,56363,4151,19762,2423,34604,2197,1997,596,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,53759,433,7899,2443,2489,1213,4748,1551,662,354,45860,2458,9714,1212,34039,1596,2107,354,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4192395,3831,913141,29211,310678,15539,508961,18265,93502,5029,3279254,29620,786089,15615,2151634,18533,341531,4718,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,836500,2559,266473,15686,126076,8320,138092,9459,2305,896,570027,15866,184569,7966,368267,9247,17191,1892,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,114304,1156,20437,3443,8515,2138,11302,1802,620,355,93867,3870,35343,2449,52509,1896,6015,760,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,173223,1004,49817,6362,24074,3691,24299,3311,1444,655,123406,6357,48719,3721,69843,3453,4844,1041,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2010876,2713,405570,20164,186910,11573,206251,10211,12409,2194,1605306,20390,532798,11708,1002555,10406,69953,2513,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,379413,1701,107134,8272,52177,4709,53443,4669,1514,654,272279,8221,98180,4558,163232,4918,10867,1038,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,145898,1805,39673,5448,20063,3300,19258,2732,352,308,106225,5513,39928,3386,63413,3145,2884,815,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
