GEO_ID,C05003A_001E,C05003A_001M,C05003A_002E,C05003A_002M,C05003A_003E,C05003A_003M,C05003A_004E,C05003A_004M,C05003A_005E,C05003A_005M,C05003A_006E,C05003A_006M,C05003A_007E,C05003A_007M,C05003A_008E,C05003A_008M,C05003A_009E,C05003A_009M,C05003A_010E,C05003A_010M,C05003A_011E,C05003A_011M,C05003A_012E,C05003A_012M,C05003A_013E,C05003A_013M,C05003A_014E,C05003A_014M,C05003A_015E,C05003A_015M,NAME,C05003A_001EA,C05003A_001MA,C05003A_002EA,C05003A_002MA,C05003A_003MA,C05003A_003EA,C05003A_004EA,C05003A_004MA,C05003A_005MA,C05003A_005EA,C05003A_006MA,C05003A_006EA,C05003A_007EA,C05003A_007MA,C05003A_008MA,C05003A_008EA,C05003A_009EA,C05003A_009MA,C05003A_010MA,C05003A_010EA,C05003A_011MA,C05003A_011EA,C05003A_012EA,C05003A_012MA,C05003A_013MA,C05003A_013EA,C05003A_014MA,C05003A_014EA,C05003A_015MA,C05003A_015EA,state
0400000US01,3324276,6847,1632612,5012,367497,3274,362556,3012,4941,1880,1265115,3173,1225683,2780,39432,3562,1691664,4081,348158,2768,343886,2880,4272,1347,1343506,2440,1307506,2558,36000,3023,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481446,2499,256403,2111,55587,1173,55123,1220,464,362,200816,1828,192347,1750,8469,2037,225043,1352,51174,942,50932,953,242,220,173869,880,165845,1528,8024,1377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5095378,24661,2531075,13774,610158,7151,590010,7357,20148,3053,1920917,8668,1663751,8085,257166,9980,2564303,13404,583147,6550,564440,5911,18707,3507,1981156,8595,1710254,9420,270902,10517,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2289695,6567,1130166,4929,262795,2990,259548,2861,3247,1070,867371,3113,835195,3481,32176,3363,1159529,3968,246500,2866,243386,3117,3114,1132,913029,2566,883439,2801,29590,2708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23322954,69327,11649682,40547,2739100,17835,2608149,17836,130951,7477,8910582,28903,6812702,24349,2097880,26766,11673272,34047,2621014,15992,2497292,16063,123722,6800,9052258,23981,6929470,25769,2122788,22323,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4208365,17302,2103940,9337,489153,5557,478426,5575,10727,1872,1614787,5950,1485625,7218,129162,6119,2104425,9635,459365,5694,448259,6065,11106,2029,1645060,5690,1520894,6543,124166,6375,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2797956,10233,1360038,6035,297854,2983,289770,3279,8084,1502,1062184,4663,951024,5950,111160,6427,1437918,5323,284437,2703,278201,2957,6236,1225,1153481,3648,1035025,5513,118456,5325,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636052,4915,310249,2514,64763,1312,63536,1249,1227,772,245486,1592,232163,1509,13323,2102,325803,2806,61070,1605,59836,1672,1234,628,264733,1756,250408,1599,14325,1897,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,242905,4030,120535,2115,12986,906,11987,818,999,541,107549,1680,89330,1623,18219,2137,122370,2275,11775,982,11366,915,409,308,110595,1569,92491,1946,18104,2217,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14411461,32433,7066879,18536,1395540,8598,1318996,9013,76544,5592,5671339,13263,4613009,16185,1058330,13560,7344582,17092,1317677,7462,1252301,8589,65376,5110,6026905,12290,4837290,15815,1189615,15461,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
