GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001MA,B13008_001EA,B13008_002EA,B13008_002MA,B13008_003MA,B13008_003EA,B13008_004MA,B13008_004EA,B13008_005EA,B13008_005MA,B13008_006MA,B13008_006EA,B13008_007MA,B13008_007EA,B13008_008EA,B13008_008MA,B13008_009EA,B13008_009MA,B13008_010MA,B13008_010EA,B13008_011EA,B13008_011MA,B13008_012EA,B13008_012MA,B13008_013EA,B13008_013MA,B13008_014EA,B13008_014MA,B13008_015EA,B13008_015MA,state
0400000US01,1174012,4189,66243,4226,36439,3180,32740,2990,3699,1167,29804,3013,27988,2996,1816,955,1107769,5691,506722,10338,472924,9899,33798,2258,601047,11340,582277,11074,18770,2834,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177281,1793,12494,1786,8507,1666,7567,1529,940,456,3987,767,3517,673,470,421,164787,2287,81585,3032,73962,3164,7623,1200,83202,3621,78764,3607,4438,1188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1527153,3857,86210,4956,50632,3628,36961,2610,13671,2121,35578,3696,30716,3211,4862,1653,1440943,6650,655005,10411,490764,9124,164241,7280,785938,10161,688190,11052,97748,6760,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,697187,4255,37344,3196,22740,2505,20256,2316,2484,1076,14604,2123,14245,2105,359,286,659843,5319,320189,6796,294363,6741,25826,2547,339654,6852,323050,6859,16604,2452,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9517677,8957,508113,12820,335864,10276,189386,7334,146478,7184,172249,7875,120155,6204,52094,4915,9009564,16738,3978491,22798,2158332,22229,1820159,19566,5031073,24012,3890659,23207,1140414,19242,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1257790,4477,68838,4408,48337,3694,37058,3046,11279,1907,20501,2477,16756,2260,3745,1028,1188952,6601,574488,8988,479273,8416,95215,5126,614464,10267,558235,9734,56229,4291,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,872153,2859,42002,3265,28557,2746,21907,2378,6650,1328,13445,1992,11058,1861,2387,939,830151,4250,361774,7334,277916,6192,83858,5129,468377,7179,411160,7536,57217,3624,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221127,1577,9902,1749,5693,1018,4363,973,1330,594,4209,1203,3935,1152,274,212,211225,2296,90090,3537,73975,3396,16115,1630,121135,3872,113513,3950,7622,1673,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,186080,1077,9098,1634,4250,1009,2784,767,1466,679,4848,1311,4259,1244,589,421,176982,2114,37802,2771,27662,2359,10140,1593,139180,3307,124675,3879,14505,2179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418652,6592,211737,10946,125965,6756,84543,5689,41422,3243,85772,7036,67478,5933,18294,3319,4206915,12631,1821564,18398,1270917,18209,550647,10983,2385351,21734,1950343,19472,435008,12904,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2520143,7529,145715,7387,88043,5139,65884,4575,22159,2564,57672,4828,53712,4710,3960,1282,2374428,9640,1082238,11428,898665,10361,183573,6237,1292190,13213,1186502,12186,105688,6160,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,318515,1552,19939,2404,13395,1832,9549,1560,3846,1013,6544,1346,5297,1176,1247,711,298576,2781,139061,3947,95621,4066,43440,3042,159515,3904,135492,4548,24023,2862,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,371571,2541,23489,2380,17508,2122,15700,2102,1808,661,5981,1317,5623,1314,358,314,348082,3707,179893,4685,161022,4008,18871,1951,168189,5608,159330,5347,8859,1617,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3214234,7146,179328,6763,115127,5545,82766,4569,32361,2928,64201,4429,54758,3897,9443,1952,3034906,9115,1337515,10478,1006898,10842,330617,7130,1697391,12594,1519432,12104,177959,7313,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1574955,3955,82273,4727,51519,3927,46715,3644,4804,1188,30754,2781,28312,2732,2442,815,1492682,6169,687297,9152,633520,8542,53777,3227,805385,9247,769631,9148,35754,2849,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,711187,3580,41387,2719,28751,2382,25367,2215,3384,823,12636,1787,11601,1796,1035,612,669800,4614,326811,5338,300844,4991,25967,2370,342989,6868,328043,6419,14946,1857,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
