GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001MA,C19201_001EA,C19201_002MA,C19201_002EA,C19201_003EA,C19201_003MA,C19201_004MA,C19201_004EA,C19201_005MA,C19201_005EA,C19201_006EA,C19201_006MA,C19201_007MA,C19201_007EA,C19201_008MA,C19201_008EA,C19201_009EA,C19201_009MA,C19201_010EA,C19201_010MA,C19201_011EA,C19201_011MA,state
0400000US01,587268,11440,116253,5975,82799,4499,113902,5315,77841,3709,82490,4841,65588,3871,23117,2379,17767,2082,4529,946,2982,944,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83751,4087,6934,1152,7960,1367,11120,1685,10107,1424,12840,1738,16158,1896,7914,1470,7515,1511,2050,636,1153,469,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,785622,11512,111337,5923,77893,3718,129036,5108,111606,5319,131136,5882,112906,4584,54025,3688,39227,3518,9829,1543,8627,1641,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,353541,8369,67552,4081,54049,3467,70170,3690,51616,3943,50559,3689,35366,3626,12303,2028,8286,1580,1396,632,2244,890,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3898619,22565,426306,11188,407169,10203,552116,11551,426290,10101,525142,12536,629218,12722,370746,10124,338952,10900,111403,5936,111277,5203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,701700,12583,89471,4785,68146,3396,112122,5336,93964,4588,107574,5578,117598,6188,53959,3585,41907,2911,9153,1579,7806,1239,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,468039,8409,52810,3480,40778,3095,73728,4298,54859,3860,72247,4046,77219,4292,41287,3524,32062,3122,12621,1751,10428,1356,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,107532,4730,13490,1739,10671,1580,17298,2459,13442,1769,15909,1818,19343,2213,7442,1400,6826,1573,1888,665,1223,552,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,150869,4823,19242,2115,10053,1624,12870,1902,12195,1939,17380,1998,25782,2411,18379,2078,18643,2201,7835,1218,8490,1522,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2478138,24583,368226,9466,277387,7704,449589,9087,351496,10147,383500,10391,341313,9569,143469,5679,103329,6282,29221,3107,30608,2711,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1096451,15818,183369,7613,120099,6148,187931,7334,147088,7015,155901,6417,159231,6089,68840,3827,49953,3591,12479,1788,11560,1700,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142737,5203,18046,2157,10394,1638,21107,2711,16824,2160,22041,2138,25271,2672,12001,1645,11188,1749,2781,839,3084,783,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,174903,5643,28052,2720,24414,2318,35642,3307,28236,2711,24318,2638,20801,2076,6829,1243,4757,1147,1039,518,815,471,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
