GEO_ID,C20005H_001E,C20005H_001M,C20005H_002E,C20005H_002M,C20005H_003E,C20005H_003M,C20005H_004E,C20005H_004M,C20005H_005E,C20005H_005M,C20005H_006E,C20005H_006M,C20005H_007E,C20005H_007M,C20005H_008E,C20005H_008M,C20005H_009E,C20005H_009M,C20005H_010E,C20005H_010M,C20005H_011E,C20005H_011M,C20005H_012E,C20005H_012M,C20005H_013E,C20005H_013M,C20005H_014E,C20005H_014M,C20005H_015E,C20005H_015M,C20005H_016E,C20005H_016M,C20005H_017E,C20005H_017M,C20005H_018E,C20005H_018M,C20005H_019E,C20005H_019M,C20005H_020E,C20005H_020M,C20005H_021E,C20005H_021M,C20005H_022E,C20005H_022M,C20005H_023E,C20005H_023M,C20005H_024E,C20005H_024M,C20005H_025E,C20005H_025M,C20005H_026E,C20005H_026M,C20005H_027E,C20005H_027M,C20005H_028E,C20005H_028M,C20005H_029E,C20005H_029M,C20005H_030E,C20005H_030M,C20005H_031E,C20005H_031M,C20005H_032E,C20005H_032M,C20005H_033E,C20005H_033M,C20005H_034E,C20005H_034M,C20005H_035E,C20005H_035M,C20005H_036E,C20005H_036M,C20005H_037E,C20005H_037M,C20005H_038E,C20005H_038M,C20005H_039E,C20005H_039M,NAME,C20005H_001MA,C20005H_001EA,C20005H_002EA,C20005H_002MA,C20005H_003EA,C20005H_003MA,C20005H_004MA,C20005H_004EA,C20005H_005MA,C20005H_005EA,C20005H_006EA,C20005H_006MA,C20005H_007EA,C20005H_007MA,C20005H_008MA,C20005H_008EA,C20005H_009MA,C20005H_009EA,C20005H_010EA,C20005H_010MA,C20005H_011EA,C20005H_011MA,C20005H_012EA,C20005H_012MA,C20005H_013EA,C20005H_013MA,C20005H_014MA,C20005H_014EA,C20005H_015MA,C20005H_015EA,C20005H_016EA,C20005H_016MA,C20005H_017EA,C20005H_017MA,C20005H_018EA,C20005H_018MA,C20005H_019MA,C20005H_019EA,C20005H_020MA,C20005H_020EA,C20005H_021EA,C20005H_021MA,C20005H_022EA,C20005H_022MA,C20005H_023MA,C20005H_023EA,C20005H_024EA,C20005H_024MA,C20005H_025MA,C20005H_025EA,C20005H_026EA,C20005H_026MA,C20005H_027MA,C20005H_027EA,C20005H_028EA,C20005H_028MA,C20005H_029MA,C20005H_029EA,C20005H_030EA,C20005H_030MA,C20005H_031MA,C20005H_031EA,C20005H_032EA,C20005H_032MA,C20005H_033MA,C20005H_033EA,C20005H_034EA,C20005H_034MA,C20005H_035EA,C20005H_035MA,C20005H_036MA,C20005H_036EA,C20005H_037MA,C20005H_037EA,C20005H_038MA,C20005H_038EA,C20005H_039MA,C20005H_039EA,state
0400000US01,2612741,2829,1264059,2151,591849,8391,54,89,591795,8381,10618,1745,45034,4352,82557,4584,174572,5922,141019,5752,137995,5708,672210,9309,400585,8209,271625,7999,120493,5167,66239,4503,33302,3404,27613,2548,13502,1816,10476,1697,1348682,1973,413017,7793,31,55,412986,7796,11356,1550,62776,4384,96412,5298,137098,5320,68846,4041,36498,3027,935665,7887,613522,8624,322143,7235,175379,6045,73739,3945,30167,2623,28072,2314,10906,1486,3880,1044,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,369778,1295,196262,939,100881,3866,155,164,100726,3861,1103,515,3967,960,9920,1638,19927,2334,30858,3067,34951,2611,95381,3823,33280,2276,62101,3291,19397,1969,10760,1307,8274,1505,7894,1587,7996,1378,7780,1345,173516,854,64863,3040,19,33,64844,3041,1756,698,5739,1214,7503,1197,21599,1938,14829,1645,13418,1699,108653,3133,48830,3035,59823,2875,24013,2198,13547,2157,9160,1352,7857,1326,3440,817,1806,711,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3105306,3007,1525285,2410,660548,8981,170,170,660378,8961,12004,1845,44540,3963,76631,4594,178878,7640,158384,7116,189941,6954,864737,9089,513411,8056,351326,8677,153425,6617,75857,5227,41127,3373,42652,3191,19211,2350,19054,2495,1580021,2367,492549,10862,61,102,492488,10844,9791,1839,41894,3376,85606,5240,181394,7419,102272,5229,71531,3454,1087472,11411,688137,8843,399335,9797,190252,6485,96994,5343,44502,3569,43317,4146,17649,2179,6621,1302,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1763984,2595,856427,2300,387003,6224,15,24,386988,6224,7361,1590,38003,2969,65473,3971,130181,5308,80240,4501,65730,3783,469424,6269,282401,5562,187023,5699,92943,4675,39202,2995,22714,2237,18068,1987,7939,1576,6157,1211,907557,2039,293497,6039,0,273,293497,6039,8205,1517,54852,4354,77721,4021,93328,4705,40302,2990,19089,2034,614060,6019,385131,6380,228929,6704,127461,5380,59442,3734,17502,2528,16641,1614,5504,946,2379,642,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12744310,7274,6313075,5336,2810900,20466,97,112,2810803,20481,45282,4268,129100,5571,211607,8318,552650,13173,653163,13507,1219001,15717,3502175,21384,1970392,19479,1531783,18256,580763,11177,299975,9559,179234,8142,203256,6940,125036,5597,143519,5578,6431235,4839,1943443,20297,433,350,1943010,20279,35266,3013,118722,5691,225752,8361,565130,13685,485521,10430,512619,10710,4487792,20587,2702395,21565,1785397,19703,724935,13519,382757,9469,229653,6749,217891,7372,128538,5644,101623,5476,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2898217,3860,1436374,2868,735898,8558,0,279,735898,8558,13226,1705,42964,3453,71647,4463,188781,6700,183518,5919,235762,7285,700476,8283,314485,6586,385991,7193,169441,5435,78774,4592,47938,3249,47074,3075,22475,2221,20289,2256,1461843,2663,539871,8526,0,279,539871,8526,11484,1741,48235,3416,80846,4281,188301,5823,121844,4867,89161,4881,921972,8814,481895,8121,440077,8018,202793,5889,106000,5711,57459,3477,44614,2663,19230,2195,9981,1393,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2112130,3349,1014118,2004,510112,7163,74,123,510038,7160,5629,1053,15780,1831,35273,3068,104802,4732,137581,6149,210973,5521,504006,7454,252842,5927,251164,6325,107837,4550,46667,2625,25214,2683,32555,2764,20887,1991,18004,2154,1098012,2190,370509,5883,107,126,370402,5852,5756,1181,20111,2234,43926,3339,116571,5281,98417,4251,85621,4352,727503,5903,398517,5789,328986,6636,137569,5046,72342,3726,42883,3120,39039,2752,23951,2162,13202,1592,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,491623,1085,235654,795,109579,3767,0,265,109579,3767,1126,496,7147,1436,10404,1512,31488,2564,28128,2466,31286,2800,126075,3852,72812,2905,53263,3086,23546,2232,10300,1524,5771,1575,6737,1508,3634,915,3275,820,255969,819,93129,3507,0,265,93129,3507,1758,706,8133,1479,14679,1884,33176,2805,22809,2520,12574,1582,162840,3772,98615,3807,64225,3021,32732,2304,14703,1926,5839,1187,6257,1011,3426,677,1268,456,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,193826,389,95558,330,58624,2321,0,292,58624,2321,425,304,659,364,2378,771,9456,1511,11724,1496,33982,2316,36934,2299,15728,1467,21206,2124,8095,1563,3090,872,2306,743,3486,1085,1840,634,2389,607,98268,231,49013,2391,0,292,49013,2391,826,643,1700,873,1258,552,11202,1725,13103,1738,20924,1722,49255,2366,22809,1830,26446,2133,12975,1574,3284,816,2198,755,3808,1106,1856,417,2325,833,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9293038,9024,4520010,5274,1823860,18421,355,269,1823505,18426,38743,3429,133432,5757,259017,9123,525151,12507,412434,10533,454728,9881,2696150,17602,1703593,13390,992557,16212,443384,10424,234726,7752,115190,6283,106727,6073,42393,3430,50137,3688,4773028,4998,1441917,14784,259,206,1441658,14732,34075,3259,164480,8329,293819,9501,516479,11693,269923,7661,162882,6285,3331111,15976,2222459,18187,1108652,14722,519548,10063,295063,8473,121146,5434,112267,5207,43303,3217,17325,2183,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
