GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001MA,B05003D_001EA,B05003D_002EA,B05003D_002MA,B05003D_003EA,B05003D_003MA,B05003D_004EA,B05003D_004MA,B05003D_005EA,B05003D_005MA,B05003D_006MA,B05003D_006EA,B05003D_007EA,B05003D_007MA,B05003D_008EA,B05003D_008MA,B05003D_009MA,B05003D_009EA,B05003D_010EA,B05003D_010MA,B05003D_011MA,B05003D_011EA,B05003D_012MA,B05003D_012EA,B05003D_013EA,B05003D_013MA,B05003D_014EA,B05003D_014MA,B05003D_015EA,B05003D_015MA,B05003D_016MA,B05003D_016EA,B05003D_017MA,B05003D_017EA,B05003D_018EA,B05003D_018MA,B05003D_019EA,B05003D_019MA,B05003D_020EA,B05003D_020MA,B05003D_021EA,B05003D_021MA,B05003D_022MA,B05003D_022EA,B05003D_023EA,B05003D_023MA,state
0400000US01,52789,2754,25112,1868,7208,1367,5255,1204,1953,745,174,208,1779,748,17904,1255,2735,840,15169,1462,6417,1171,8752,1080,27677,1720,5807,992,3628,876,2179,867,843,711,1336,595,21870,1304,3321,999,18549,1083,8512,1273,10037,1196,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39118,3257,18296,1912,4946,1060,4375,1054,571,383,139,202,432,328,13350,1399,2422,830,10928,1372,5832,1016,5096,1253,20822,1672,5365,946,4575,955,790,394,486,287,304,226,15457,1120,3534,919,11923,1169,6758,951,5165,895,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174039,4937,82076,3355,18535,2292,14796,2132,3739,1156,863,465,2876,1161,63541,2220,16440,2207,47101,2747,23985,2362,23116,2805,91963,2741,17764,2038,12402,1575,5362,1310,1902,878,3460,962,74199,1996,13455,1956,60744,2226,35336,2617,25408,2673,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33240,2165,15161,1510,3988,958,2807,954,1181,546,119,181,1062,511,11173,1004,2831,1174,8342,981,4292,839,4050,1091,18079,1613,4217,1055,3392,920,825,485,51,103,774,494,13862,1193,2899,1103,10963,1187,5170,935,5793,1350,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4900963,16077,2318556,9783,517392,6900,435216,7274,82176,5544,20961,2426,61215,4970,1801164,5681,461759,10990,1339405,10686,874789,11555,464616,11201,2582407,10331,492074,5974,413919,7720,78155,5102,25570,2312,52585,4461,2090333,7147,444118,11571,1646215,10766,1071938,12958,574277,11386,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133796,4212,59831,2967,14355,1839,10148,1277,4207,1276,1746,1061,2461,855,45476,2010,12920,1588,32556,1706,19392,1492,13164,1429,73965,2401,16359,1500,10691,1327,5668,1151,3662,1148,2006,776,57606,1810,11415,1330,46191,1882,26148,1580,20043,1870,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134338,2644,64786,1771,16204,1206,12201,1342,4003,1049,1308,620,2695,939,48582,1118,6602,1550,41980,1728,18878,1970,23102,2168,69552,1599,17252,1098,11398,1181,5854,1387,3375,1180,2479,805,52300,1122,6876,1377,45424,1458,22206,1782,23218,2093,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27482,1348,13348,956,3186,559,2658,499,528,307,371,297,157,109,10162,661,1045,473,9117,695,5685,984,3432,936,14134,802,2877,474,2168,567,709,348,458,303,251,183,11257,566,886,645,10371,817,5788,795,4583,900,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21552,966,9016,656,790,399,516,297,274,277,167,200,107,183,8226,439,3867,850,4359,823,2123,780,2236,735,12536,755,1026,352,549,272,477,352,406,335,71,117,11510,686,4027,872,7483,937,4029,924,3454,806,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,452580,7409,210152,4855,49065,2762,40176,2735,8889,1484,2116,885,6773,1414,161087,3292,30630,3203,130457,3458,77505,4020,52952,4029,242428,4372,47754,2697,37896,2656,9858,1875,4429,1336,5429,1311,194674,2944,24408,2201,170266,3373,103579,3839,66687,4208,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
