GEO_ID,C25121_001E,C25121_001M,C25121_002E,C25121_002M,C25121_003E,C25121_003M,C25121_004E,C25121_004M,C25121_005E,C25121_005M,C25121_006E,C25121_006M,C25121_007E,C25121_007M,C25121_008E,C25121_008M,C25121_009E,C25121_009M,C25121_010E,C25121_010M,C25121_011E,C25121_011M,C25121_012E,C25121_012M,C25121_013E,C25121_013M,C25121_014E,C25121_014M,C25121_015E,C25121_015M,C25121_016E,C25121_016M,C25121_017E,C25121_017M,C25121_018E,C25121_018M,C25121_019E,C25121_019M,C25121_020E,C25121_020M,C25121_021E,C25121_021M,C25121_022E,C25121_022M,C25121_023E,C25121_023M,C25121_024E,C25121_024M,C25121_025E,C25121_025M,C25121_026E,C25121_026M,C25121_027E,C25121_027M,C25121_028E,C25121_028M,C25121_029E,C25121_029M,C25121_030E,C25121_030M,C25121_031E,C25121_031M,NAME,C25121_001MA,C25121_001EA,C25121_002EA,C25121_002MA,C25121_003EA,C25121_003MA,C25121_004MA,C25121_004EA,C25121_005MA,C25121_005EA,C25121_006EA,C25121_006MA,C25121_007EA,C25121_007MA,C25121_008EA,C25121_008MA,C25121_009MA,C25121_009EA,C25121_010MA,C25121_010EA,C25121_011EA,C25121_011MA,C25121_012EA,C25121_012MA,C25121_013EA,C25121_013MA,C25121_014MA,C25121_014EA,C25121_015MA,C25121_015EA,C25121_016MA,C25121_016EA,C25121_017EA,C25121_017MA,C25121_018EA,C25121_018MA,C25121_019EA,C25121_019MA,C25121_020MA,C25121_020EA,C25121_021MA,C25121_021EA,C25121_022EA,C25121_022MA,C25121_023MA,C25121_023EA,C25121_024EA,C25121_024MA,C25121_025MA,C25121_025EA,C25121_026EA,C25121_026MA,C25121_027MA,C25121_027EA,C25121_028EA,C25121_028MA,C25121_029MA,C25121_029EA,C25121_030EA,C25121_030MA,C25121_031MA,C25121_031EA,state
0400000US01,1272846,12811,79026,4685,37048,2994,18314,2163,15548,1862,8116,1525,139367,5669,58878,3551,35279,2699,32763,3006,12447,1727,209312,7597,65821,4034,59722,4012,60017,3406,23752,2381,200832,7156,43332,3589,51731,3236,73680,4004,32089,3071,248018,8060,35378,2645,54442,4190,102292,4328,55906,3602,396291,9118,22542,2269,36512,2851,146243,6065,190994,5965,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,4466,1065,732,370,427,203,1718,737,1589,560,7761,1088,2116,686,712,262,2527,736,2406,743,15521,1597,2099,576,1290,432,6156,1136,5976,1156,15681,1595,1570,626,1598,562,5373,1023,7140,1184,29589,2456,2247,636,1534,558,10198,1523,15610,1883,89767,3868,2267,682,1480,456,14773,1682,71247,3638,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,66056,4987,18003,2001,11412,1589,21013,2367,15628,2234,124447,4572,33605,2525,21577,2516,41948,3172,27317,2241,228624,7497,44319,3319,42432,3954,87640,4852,54233,3564,225847,6948,29392,2621,40664,3224,91628,4969,64163,4503,317033,8704,24223,2232,38904,3402,144960,6593,108946,4688,560931,9028,17460,1937,30193,2924,172945,6128,340333,6966,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,38383,3345,18394,1856,9887,1553,7154,1473,2948,843,84997,4259,37054,3016,22449,2401,19029,2335,6465,1209,142483,5398,50186,2936,42183,3053,38422,3344,11692,1343,124874,5312,32452,2648,35883,2898,42580,3092,13959,1803,148403,5515,25030,2131,36928,2912,64291,4314,22154,2406,212428,6389,14786,1926,29185,2576,86572,4071,81885,4526,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,207628,6503,22050,2498,15392,1927,35914,3129,134272,4921,398638,10787,63286,3759,31106,2725,79624,4468,224622,8579,720820,12627,74631,4279,55042,3552,151466,5778,439681,8353,763844,14591,44486,3202,47155,3127,168997,6627,503206,12362,1208016,16435,48507,3218,52202,3070,237905,7054,869402,13057,3604229,23631,44147,3062,49013,3439,313893,8591,3197176,21452,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,41247,2803,6545,1209,3653,854,12482,1785,18567,1864,80376,4305,13621,1806,8850,1423,29370,2514,28535,3057,151717,6692,19067,1886,15167,2136,55578,4030,61905,4085,164861,5244,13645,1747,12348,1335,68599,4377,70269,3932,252933,7011,12165,1933,9744,1399,93956,3715,137068,5561,601658,8910,9692,1654,5574,1023,101313,4404,485079,7935,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,20590,2323,1342,568,1136,479,4816,975,13296,1924,45285,3476,2618,739,2469,690,13201,1671,26997,2836,83471,4416,4388,733,3864,904,25958,2384,49261,3561,96610,4101,3461,919,3160,816,29176,2431,60813,3555,162648,6523,3120,753,3273,780,44667,3593,111588,5024,515013,9122,3907,782,2926,943,60031,3656,448149,8447,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,8068,1440,1667,675,403,212,2296,619,3702,947,16261,1869,2544,743,1321,574,4868,1110,7528,1193,27976,2273,3948,928,1771,507,8599,1364,13658,1603,31584,1956,2799,822,1629,474,10361,1369,16795,1641,49375,2929,3534,925,1249,490,16032,2081,28560,2447,106620,3281,1921,538,1240,536,15325,1652,88134,2977,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,4775,925,230,257,98,115,413,333,4034,855,4426,889,300,218,312,323,585,315,3229,735,7522,1179,301,228,99,120,988,533,6134,1002,9087,1492,409,263,241,249,1065,576,7372,1151,15207,1762,475,329,121,198,1445,558,13166,1554,66176,3213,644,318,171,155,1853,619,63508,3067,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,254799,8514,65242,4529,51036,3763,77580,4784,60941,3656,460815,11038,115095,6138,107642,5299,144198,5964,93880,4728,788628,13703,144781,5769,161161,5994,295632,9619,187054,6795,737797,11962,95213,5607,139726,6733,303770,8207,199088,6562,952281,17385,78191,4814,137679,6087,404942,11398,331469,9318,1599810,18022,47113,3657,98228,5273,482006,11611,972463,12872,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
