GEO_ID,B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,NAME,B20017E_001MA,B20017E_001EA,B20017E_002EA,B20017E_002MA,B20017E_003MA,B20017E_003EA,B20017E_004MA,B20017E_004EA,B20017E_005MA,B20017E_005EA,B20017E_006EA,B20017E_006MA,B20017E_007EA,B20017E_007MA,state
0400000US01,61932,53084,80125,60801,80917,24324,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Alabama,null,null,null,null,null,null,**,-,**,-,-,**,-,**,01
0400000US02,23753,6011,24971,7693,29266,10974,5593,12640,14268,10710,26130,7596,2499,-333333333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,"2,500-",***,02
0400000US04,30283,8788,32724,6005,39834,7662,9564,7886,21429,4880,23584,10254,6019,6115,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19177,2700,17880,6919,20839,1011,7339,11627,20650,6600,24208,14181,10156,13971,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31075,1405,30461,2672,44465,5467,11731,1319,32029,3395,41184,1726,11698,2057,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,20771,7817,21726,20609,31058,21981,7308,15417,11481,19975,31467,5278,5396,4515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21987,38096,50882,38043,50026,61609,-666666666,-222222222,12861,44773,66469,61616,7562,489,Connecticut,null,null,null,null,null,null,**,-,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26060,1258,26397,2185,29406,4930,12438,6077,25677,4810,35633,5624,12015,6933,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,32391,12607,41660,16861,34679,57672,41832,25097,23125,24610,32151,17868,4535,1718,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
